SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
946826,rue de strasbourg,centre hospitalier universitaire annaba,,annaba,
946827,hopital de sétif,centre hospitalier universitaires sétif,,setif,
992275,boulevard doctor benzerdjeb,centre hospitalo universitaire doran,oran,oran,
992264,boulevard doctor benzerdjeb,centre hospitalo universitaire doran,oran,oran,
992265,rue belahcel mourad,centre hospitalo universitaire sidi bel abes,sidi bel abbès,sidi bel abbès,
989344,boulevard doctor benzerdjeb,chu oran,,oran,
946486,allées mohamed boudiaf,centre hospitalo universitaire de batna,batna,batna,5000
946485,boulevard mohamed v,centre hospitalier universitaire tlemcen,tlemcen,tlemcen,13000
948441,11 bp colonel amirouche,centre hospitalo universitaire de constantine,alger,alger,16000
949046,place du 1er mai 1945centre hospitalier universitaire mustapha pacha,centre pierre et marie curie,alger,sidi mhamed,16000
938530,issad hassani,chu beni messous,alger,,16000
976877,place du 1er mai 1945 sidi mhamed,chu mustapha pacha,,algiers,16000
982316,41 cité du 20 août oued erroumane el achour,hopital alger est,,algiers,16000
976908,hôpital n hamoud  exparnet réanimation pédiatrique,chu husseindey,,algiers,16040
992263,mascara,eph mascara,mascara,mascara,29000
992276,123 address,centre hospitalo universitaire de beni messous,,unknown city,algeria
946861,123 address,centre hospitalo universitaire de blida,,unknown city,algeria
946862,123 address,centre hospitalo universitaire de tizi ouzou,,unknown city,algeria
