SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
1006,avenida juan d peron 1500,hospital universitario austral,buenos aires,buenos aires,01629
1007,josé euriburu 1450,fundaleu  fundacion para combatir la leucemia,ciudad autonoma buenos aires,ciudad autonoma buenos aires,1114
1008,solis 2171,hospital británico,ciudad autonoma buenos aires,ciudad autonoma buenos aires,1134
1009,calle tte gral juan domingo peron 4190department of oncology,hospital italiano de buenos aires,ciudad autónoma de buenosaires,ciudad autonoma de buenos aires,1199
1010,perdriel 74,hospital britanico de buenos aires,ciudad autonoma buenos aires,ciudad autonoma buenos aires,1280
1011,perdriel 74,hospital britanico de buenos aires,ciudad autonoma buenos aires,ciudad autonoma buenos aires,1280
1012,uspallata 3400,complejo medico de la policia federal argentina churruca visca,ciudad autonoma buenos aires,ciudad autonoma buenos aires,1416
1013,uspallata 3400,complejo medico de la policia federal argentina churruca visca,ciudad autonoma buenos aires,ciudad autonoma buenos aires,1416
1014,ecuador 1481centro integral de gastroenterología,centro integral de gastroenterología,ciudad autónoma de buenosaires,buenos aires,1425
1015,ecuador 1481centro integral de gastroenterología,centro integral de gastroenterología,ciudad autónoma de buenosaires,buenos aires,1425
1016,ecuador 1481,centro integral de gastroenterología,ciudad autónoma de buenosaires,buenos aires,1425
1017,ecuador 1481centro integral de gastroenterología,centro integral de gastroenterología,ciudad autónoma de buenosaires,buenos aires,1425
1018,ecuador 1481centro integral de gastroenterología,centro integral de gastroenterología,ciudad autónoma de buenosaires,buenos aires,1425
1019,ecuador 1481centro integral de gastroenterología,centro integral de gastroenterología,ciudad autónoma de buenosaires,buenos aires,1425
1020,calle gallo 1330 division promocion y proteccion de lane saluddivision promocion y proteccion de lane salud,hospital de ninos ricardo gutierrez,ciudad autónoma de buenosaires,buenos aires,1426
1021,ruta 8 km 20500loma hermosa,hospital zonal general de agudos dr carlos bocalandro,ciudad autónoma de buenosaires,buenos aires,1657
1022,ruta 8 km 20500loma hermosa,hospital zonal general de agudos dr carlos bocalandro,ciudad autónoma de buenosaires,buenos aires,1657
1023,illia sn y marconi,hospital nacional alejandro posadas,buenos aires,el palomar,1684
1024,vincente lopez 1441,instituto cer sa,buenos aires,quilmes,1878
1025,vincente lopez 1441,instituto cer sa,buenos aires,quilmes,1878
1026,vincente lopez 1441,instituto cer sa,buenos aires,quilmes,1878
1027,vincente lopez 1441,instituto cer sa,buenos aires,quilmes,1878
1028,vincente lopez 1441,instituto cer sa,buenos aires,quilmes,1878
1029,vincente lopez 1441,instituto cer sa,buenos aires,quilmes,1878
1030,vincente lopez 1441,instituto cer sa,buenos aires,quilmes,1878
1031,calle 51 n° 315 entre 1 y 2,instituto medico platense,buenos aires,la plata,1897
1032,calle 14 nro 1631 sala 6,hospital de niños sor maria ludovica,buenos aires,la plata,1900
1033,calle 14 numero 1631hematologia y hemoterapia,hospital de niños sor maria ludovica,buenos aires,la plata,1900
1034,avenida 51 nº1725 e29 y 30,hospital italiano de la plata,buenos aires,la plata,1900
1035,calle 47 y 115facultad de ciencias exactas catedra de inmunologia,national university of la plata,buenos aires,la plata,1900
1036,laprida 1061,instituto de hematologia y medicina clinica dr ruben davoli,santa fe,rosario,2000
1037,laprida 1061,instituto de hematologia y medicina clinica dr ruben davoli,santa fe,rosario,2000
1038,presidente peron numero 450,hospital san martin,entre ríos,paraná,3100
1039,avenida domingo faustino sarmiento 157,centro para la atencion integral del paciente oncologico,tucuman,san miguel de tucuman,4000
1040,zabala 432,centro diagnostico zabala,salta,salta,4400
1041,zabala 432,centro diagnostico zabala,salta,salta,4400
1042,agustin garzon aguila 187,centro privado metabólico,córdoba,córdoba,5000
1043,agustin garzon aguila 187,centro privado metabólico,córdoba,córdoba,5000
1044,bajada pucará 1900,hospital san roque,córdoba,córdoba,5000
1045,rodriguez peña 285,hospital universitario de maternidad y neonatología,córdoba,córdoba,5000
1046,avenida duarte quiros 1948,sanatorio duarte quiros,cordoba,cordoba,5000
1047,av naciones unidas 346parque velez sarsfield,hospital privado centro medico de cordoba sa,cordoba,cordoba,5016
1048,av naciones unidas 346parque velez sarsfield,hospital privado centro medico de cordoba sa,cordoba,cordoba,5016
1049,montecaseros 1020,fundación centro oncológico de integración regional coir,mendoza,mendoza city,5500
1050,montecaseros 1020,fundación centro oncológico de integración regional coir,mendoza,mendoza city,5500
1051,montecaseros 1020,fundación centro oncológico de integración regional coir,mendoza,mendoza city,5500
1052,timoteo gordillo sn,hospital lagomaggiore,mendoza,mendoza city,5500
1053,timoteo gordillo sn,hospital lagomaggiore,mendoza,mendoza city,5500
1054,timoteo gordillo sn,hospital lagomaggiore,mendoza,mendoza city,5500
1055,timoteo gordillo sn,hospital lagomaggiore,mendoza,mendoza city,5500
1056,hipólito irigoyen 1020,instituto médico río cuarto,córdoba,rio cuarto,5800
1057,telen 1639,fundacion koriza,la pampa,santa rosa,6300
1058,sarmiento 557,clínica señor de los milagros,salta,salta,a4400erf
1059,avenida juan domingo peron 1500,hospital universitario austral,buenos aires,pilar,b1629ahj
1060,avenida juan d peron 1500 asociacion civil de estudios superiores,hospital universitario austral,ciudad autónoma de buenosaires,buenos aires,b1629ahj
1061,avenida juan d peron 1500 asociacion civil de estudios superiores,hospital universitario austral,ciudad autónoma de buenosaires,buenos aires,b1629ahj
1062,avenida juan domingo peron 1500,hospital universitario austral  pin,buenos aires,pilar,b1629ahj
1063,avenida puente juan domingo perón 234avenue porte,hospital universitario austral  pin,buenos aires,pilar,b1629ahj
1064,avenida juan domingo peron 1500,hospital universitario austral,buenos aires,pilar,b1629odt
1065,avenida juan domingo perón 1500,hospital universitario austral,buenos aires,pilar,b1629odt
1066,av pte juan domingo peron 1500ex ruta 234  derqui,hospital universitario austral,pilar,buenos aires,b1629odt
1067,avenida juan domingo perón 1500,hospital universitario austral  pin,buenos aires,pilar,b1629odt
1068,avenida del libertador n° 16131,centro médico santa maría de la salud,buenos aires,san isidro,b1642
1069,av marconi y pte illia,hospital nacional alejandro posadas,buenos aires,el palomar,b1684
1070,av marconi y pte illia,hospital nacional alejandro posadas,buenos aires,el palomar,b1684
1071,av marconi y pte illia,hospital nacional alejandro posadas,buenos aires,el palomar,b1684
1072,av marconi y pte illia,hospital nacional alejandro posadas,buenos aires,el palomar,b1684
1073,av marconi y pte illia,hospital nacional alejandro posadas,buenos aires,el palomar,b1684
1074,av marconi y pte illia,hospital nacional alejandro posadas,buenos aires,el palomar,b1684
1075,av marconi y pte illia,hospital nacional alejandro posadas,buenos aires,el palomar,b1684
1076,tucumán 1314,cimel,buenos aires,lanús,b1824 kaj
1077,alsina 174,sanatorio itoiz,buenos aires,avellaneda,b1870cid
1078,vicente lopez 1441,coiba centro de oncología e investigación buenos aires,buenos aires,quilmes,b1878dvb
1079,vicente lopez 1441,instituto medico cer,quilmes,buenos aires,b1878dvb
1080,vicente lopez 1441,instituto medico cer,quilmes,buenos aires,b1878dvb
1081,urquiza 1537,sanatorio urquiza,buenos aires,quilmes,b1878eme
1082,urquiza 1537,sanatorio urquiza,buenos aires,quilmes,b1878eme
1083,calle 51 numero 1724 entre 29 y 30,hospital italiano de la plata,buenos aires,la plata,b1900ax
1084,av 51 no 1725,hospital italiano de la plata,buenos aires,la plata,b1900axi
1085,av 51 entre 29 y 30,hospital italiano de la plata,la plata,buenos aires,b1900axi
1086,avenida 51 n 1725entre 29 y 30,hospital italiano la plata,buenos aires,la plata,b1900axi
1087,avenida 1 n° 1791,hospital interzonal general de agudos general san martín,buenos aires,la plata,b1904cfh
1088,avenida de mayo 1115,instituto de nefrología pergamino,buenos aires,pergamino,b2700cpm
1089,calle 8 n°866,centro nefrologico de la costa,buenos aires,santa teresita,b7107dir
1090,av colón 3083 1 y  5to piso,centro de investigaciones medicas mar del plata,mar del plata,buenos aires,b7600fyk
1091,av colón 3083 1 y  5to piso,centro de investigaciones medicas mar del plata,mar del plata,buenos aires,b7600fyk
1092,avenida colón 3651,clínica colón,buenos aires,mar del plata,b7600fzd
1093,lavalle 257,instituto lavalle de oncologia y terapia radiante,buenos aires,bahía blanca,b8000ine
1094,lavalle 257,office of horacio d caferri md,buenos aires,bahía blanca,b8000ine
1095,libertad 836 cordoba 2351,instituto de investigaciones metabólicas  idim,buenos aires,buenos aires,c1012aar
1096,av belgrano 1746,fundacion favaloro,ciudad autonoma buenos aires,ciudad autonoma buenos aires,c1093aas
1097,av belgrano 1746 7º piso,fundación favaloro,buenos aires,buenos aires,c1093aas
1098,av belgrano 1746 7º piso,fundación favaloro,buenos aires,buenos aires,c1093aas
1099,av belgrano 1746 7º piso,fundación favaloro,buenos aires,buenos aires,c1093aas
1100,av belgrano 1746 7º piso,fundación favaloro,buenos aires,buenos aires,c1093aas
1101,av belgrano 1746 7º piso,fundación favaloro,buenos aires,buenos aires,c1093aas
1102,av belgrano 1746 7º piso,fundación favaloro,buenos aires,buenos aires,c1093aas
1103,av belgrano 1746 7º piso,fundación favaloro,buenos aires,buenos aires,c1093aas
1104,avenida belgrano 1746,fundación favaloro,ciudad autónoma de buenosaires,buenos aires,c1093aas
1105,avenida belgrano 1746,fundación favaloro,ciudad autónoma de buenosaires,buenos aires,c1093aas
1106,avenida belgrano 1746,fundación favaloro,ciudad autónoma de buenosaires,buenos aires,c1093aas
1107,avenida belgrano 1746,fundación favaloro,ciudad autónoma de buenosaires,buenos aires,c1093aas
1108,avenida belgrano 1746,fundacion favaloro hospital universitario,buenos aires,ciudad autonoma de buenos aires,c1093aas
1109,presidente josé evaristo uriburu 1450,fundaleu,buenos aires,buenos aires,c1114aan
1110,jos e uriburu 1450,fundaleu,buenos aires,ciudad autonoma de buenos aires,c1114aan
1111,pte j east uriburu 1450 pte j east uriburu 1520,fundaleu,ciudad autónoma de buenosaires,buenos aires,c1114aan  c1114aap
1112,pte j east uriburu 1450 pte j east uriburu 1520,fundaleu,ciudad autónoma de buenosaires,buenos aires,c1114aan  c1114aap
1113,azcuénaga 1275,gedyt,buenos aires,buenos aires,c1115aai
1114,azcuénaga 1275,gedyt,buenos aires,buenos aires,c1115aai
1115,azcuénaga 1275,gedyt,buenos aires,buenos aires,c1115aai
1116,azcuénaga 1275,gedyt,buenos aires,buenos aires,c1115aai
1117,azcuénaga 1275,gedyt,buenos aires,buenos aires,c1115aai
1118,av pueyrredón 1640 c1118aat,hospital aleman,buenos aires,buenos aires,c1118aat
1119,av pueyrredón 1640 c1118aat,hospital aleman,buenos aires,buenos aires,c1118aat
1120,av pueyrredón 1640 c1118aat,hospital aleman,buenos aires,buenos aires,c1118aat
1121,av pueyrredón 1640 c1118aat,hospital aleman,buenos aires,buenos aires,c1118aat
1122,av pueyrredón 1640 c1118aat,hospital aleman,buenos aires,buenos aires,c1118aat
1123,av pueyrredón 1640 c1118aat,hospital aleman,buenos aires,buenos aires,c1118aat
1124,av pueyrredón 1640 c1118aat,hospital aleman,buenos aires,buenos aires,c1118aat
1125,av juan m de pueyrredón 1640,hospital alemán,ciudad autónoma de buenosaires,buenos aires,c1118aat
1126,av juan m de pueyrredón 1640,hospital alemán,ciudad autónoma de buenosaires,buenos aires,c1118aat
1127,av juan m de pueyrredón 1640,hospital alemán,ciudad autónoma de buenosaires,buenos aires,c1118aat
1128,av juan m de pueyrredón 1640,hospital alemán,ciudad autónoma de buenosaires,buenos aires,c1118aat
1129,av juan m de pueyrredón 1640,hospital alemán,ciudad autónoma de buenosaires,buenos aires,c1118aat
1130,av juan m de pueyrredón 1640,hospital alemán,ciudad autónoma de buenosaires,buenos aires,c1118aat
1131,av juan m de pueyrredón 1640,hospital alemán,ciudad autónoma de buenosaires,buenos aires,c1118aat
