SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
1891,große mohrengasse 9dermatologie und venerologie,krankenhaus der barmherzigen brüder,wien,wien,1020
1892,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1893,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1894,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1895,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1896,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1897,juchgasse 254 medizinische abteilung,krankenanstalt rudolfstiftung,wien,wien,1030
1898,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1899,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1900,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1901,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1902,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1903,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1904,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie,krankenanstalt rudolfstiftung,wien,wien,1030
1905,nikolsdorfergasse 2636,franzikusspital,wien,wien,1050
1906,nikolsdorfergasse 2636,franzikusspital,wien,wien,1050
1907,nikolsdorfergasse 2636,franzikusspital,wien,wien,1050
1908,nikolsdorfergasse 2636,franzikusspital,wien,wien,1050
1909,nikolsdorfergasse 2636,franzikusspital,wien,wien,1050
1910,nikolsdorfergasse 2636,franzikusspital,wien,wien,1050
1911,nikolsdorfergasse 2636,franzikusspital,wien,wien,1050
1912,stumpergasse 13,krankenhaus der barmherzigen schwestern wien,wien,wien,1060
1913,währinger gürtel 1820,akh wien,wien,wien,1090
1914,universitaetsklinik fuer innere medizin iwaehringer guertel 1820,allgemeines krankenhaus der stadt wien,vienna,vienna,1090
1915,währinger gürtel 18 – 20medizinischer universität wien,allgemeines krankenhaus der stadt wien,wien,wien,1090
1916,währinger gürtel 1820dermatologieebene 9d5,allgemeines krankenhaus der stadt wien,wien,wien,1090
1917,währinger gürtel 1820,allgemeines krankenhaus der stadt wien,wien,wien,1090
1918,währinger gürtel 1820abteilung für endokrinologie and stoffwechselabteilung für endokrinologie  stoffwechsel,allgemeines krankenhaus der stadt wien,wien,wien,1090
1919,währinger gürtel 1820,allgemeines krankenhaus der stadt wien,wien,wien,1090
1920,währinger gürtel 1820innere medizin iii,allgemeines krankenhaus der stadt wien,wien,wien,1090
1921,universittsklinik fr innere medizin iiiklinische abteilung fr gastroenterologie und hepatologiewhringer grtel 1820,allgemeines krankenhaus wien,vienna,wien,1090
1922,währinger straße,krankenanstalt rudolfstiftung,wien,wien,1090
1923,währinger gürtel 1820,medical university of vienna,wien,wien,1090
1924,währinger gürtel 1820dermatologie,medical university of vienna,wien,wien,1090
1925,währinger gürtel 1820,medizinische universitat wien medical university of vienna,wien,wien,1090
