SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
15059,15059,Tufts Medical Center - PPDS,Tufts Medical Center - PPDS,1.0,Massachusetts,Massachusetts,1.0,Boston,Boston,1.0,800 Washington Street,800 Washington Street,3.0,00211,00211,1.0,7.0
15060,15059,Tufts Medical Center - PPDS,Tufts Medical Center - PPDS,1.0,Massachusetts,Massachusetts,1.0,Boston,Boston,1.0,800 Washington Street,800 Washington Street,3.0,00211,00211,1.0,7.0
15061,15061,Ponce Medical School Foundation,Ponce Medical School Foundation,1.0,PR,PR,1.0,Ponce,Ponce,1.0,280 Monterrey Street,280 Monterrey Street,3.0,00716,00716,1.0,7.0
15062,15062,"Ponce Medical School Foundation, Inc.","Ponce Medical School Foundation, Inc.",1.0,Puerto Rico,Puerto Rico,1.0,Ponce,Ponce,1.0,280 Monterrey StreetCaimed Center,280 Monterrey StreetCaimed Center,3.0,00716,00716,1.0,7.0
15063,15063,Fundacion de Investigacion de Diego (FDI Clinical Research),Fundacion de Investigacion de Diego (FDI Clinical Research),1.0,Puerto Rico,Puerto Rico,1.0,Humacao,Humacao,1.0,355 Calle Font MarteloRyder Memorial Hospital & Nursing Home (RMHC),355 Calle Font MarteloRyder Memorial Hospital & Nursing Home (RMHC),3.0,00792,00792,1.0,7.0
15064,15064,Rafael H Zaragoza-Urdaz,Rafael H Zaragoza-Urdaz,1.0,San Juan,San Juan,1.0,Puerto Rico,Puerto Rico,1.0,317 Ave Manuel Domenech,317 Ave Manuel Domenech,3.0,00918,00918,1.0,7.0
15065,15065,Hospital Auxilio Mutuo Cancer Center,Hospital Auxilio Mutuo Cancer Center,1.0,Puerto Rico,Puerto Rico,1.0,San Juan,San Juan,1.0,"Avenida Ponce De Leon #725, Edificio Nino Jesus, Pda 371/2 Piso 4Internal Medicine","Avenida Ponce De Leon #725, Edificio Nino Jesus, Pda 371/2 Piso 4Internal Medicine",3.0,00919,00919,1.0,7.0
15066,15066,San Juan VA Medical Center - NAVREF - PPDS,San Juan VA Medical Center - NAVREF - PPDS,1.0,Puerto Rico,Puerto Rico,1.0,San Juan,San Juan,1.0,10 Casia Street,10 Casia Street,3.0,00921,00921,1.0,7.0
15067,15067,San Juan Community Oncology Group,San Juan Community Oncology Group,1.0,Puerto Rico,Puerto Rico,1.0,San Juan,San Juan,1.0,735 Ponce de León,735 Ponce de León,3.0,00922-1965,00922-1965,1.0,7.0
15068,15068,Puerto Rico Clinical and Translational Research Consortium,Puerto Rico Clinical and Translational Research Consortium,1.0,PR,PR,1.0,San Juan,San Juan,1.0,1st Floor University HospitalPO Box 365067,1st Floor University HospitalPO Box 365067,3.0,00936,00936,1.0,7.0
15069,15069,PR Hematology Oncology Group,PR Hematology Oncology Group,1.0,Puerto Rico,Puerto Rico,1.0,Bayamon,Bayamon,1.0,100 Paseo San PabloSuite 510,100 Paseo San PabloSuite 510,3.0,00961,00961,1.0,7.0
