SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
3121,avenida ipiranga 6690,hospital sao lucas da pontificia universidade catolica do rio grande do sul pucrs,rio grande do sul,porto alegre,90610000
3122,avenida ipiranga 6690centro de pesquisa4th floor,hospital sao lucas da pontificia universidade catolica do rio grande do sul pucrs,rio grande do sul,porto alegre,90610000
3123,avenida ipiranga 6690petrópolis,hospital sao lucas da pontificia universidade catolica do rio grande do sul pucrs,rio grande do sul,porto alegre,90610000
3124,avenue ipiranga 669centro de pesquisa em oncologia,hospital sao lucas da pontificia universidade catolica do rio grande do sul pucrs,rio grande do sul,porto alegrers,90610000
3125,rua francisco trein 596 1 andar sala 24 cristo redentor,hospital nossa senhora da conceição,rio grande do sul,porto alegre,91350200
3126,rua lvares cabral 529,instituto da crianca com diabetes,rio grande do sul,porto alegre,91350250
3127,rua francisco getúlio vargas 1130,instituto de pesquisas clínicas para estudos multicêntricos,rio grande do sul,caxias do sul,95070560
3128,rua francisco getúlio vargas 1130ipcem504,universidade de caxias do sul,rio grande do sul,caxias do sul,95070560
3129,rua francisco getúlio vargas 1130,universidade de caxias do sul,rio grande do sul,caxias do sul,95070560
3130,rua professor antônio vignoli 255presidente vargasana rech,universidade de caxias do sul,rio grande do sul,caxias do sul,95070561
3131,rua general osorio 235subsolo,hospital tacchini,rio grande do sul,bento gonçalves,95700084
3132,av david josé martins 152departamento de oncologia,associação hospital de caridade ijuí,rio grande do sul,ijuí,98700000
3133,avenida david josé martins 152departamento de oncologia,associação hospital de caridade ijuí,rio grande do sul,ijuí,98700000
3134,avenida david josé martins 152 centro cacondepartamento de oncologia,associação hospital de caridade ijuí,rio grande do sul,ijuí,98700000
3135,avenida david josé martins 152 centro cacondepartamento de oncologia,associação hospital de caridade ijuí,rio grande do sul,ijuí,98700000
3136,avenida david josé martins 152 centro cacondepartamento de oncologia,associação hospital de caridade ijuí,rio grande do sul,ijuí,98700000
3137,rua teixeira soares 808centro,hospital são vicente de paulo,passo fundo,rio grande do sul,99010080
3138,rua teixeira soares 808centro,hospital são vicente de paulo,passo fundo,rio grande do sul,99010080
3139,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3140,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3141,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3142,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3143,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3144,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3145,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3146,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3147,rua teixeira soares 808,hospital são vicente de paulo  ppds,rio grande do sul,passo fundo,99010080
3148,rua tiradentes 295,hospital da cidade,rio grande do sul,passo fundo,99010260
3149,rua tiradentes 295sector de oncologia,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3150,rua tiradentes 295 sector de oncologiacentro de pesquisa em oncologia,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3151,rua tiradentes 295 sector de oncologia,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3152,rua tiradentes 295,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3153,rua tiradentes 295,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3154,rua tiradentes 295,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3155,rua tiradentes 295,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3156,rua tiradentes 295,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3157,rua tiradentes 295,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
3158,rua tiradentes 295,hospital de clinicas de passo fundo,rio grande do sul,passo fundo,99010260
