SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
4,,imi contact address  tbd,,,
77,620 university ave8th floorroom 206,laboratory shipment address  princess margaret hospital,ontario,toronto,m5g 2c1
78,610 university ave5th floor room 207,university health network princess margaret hospital,ontario,toronto,m5g 2m9
92,600 west 10th avenue,bc cancer agency,british columbia,vancouver,v5z 1h6
118,1276 south park street,queen elizabeth ii health science centre,nova scotia,halifax,b3h 2y9
182,546 pine west,mcgill university  jewish general hospital,quebec,montreal,h2w 1s6
183,2291 kipling avenue,manna research inc,ontario,toronto,m9w 4l6
334,600 west 10th ave,bc cancer agency vancouver centre,british columbia,vancouver,v5z 4e6
335,fairmont medical building750 west broadway ste 1315,ubc bcca research ethics board,british columbia,vancouver,v5z ij3
336,11560 university avenue,cross cancer institute,alberta,edmonton,t6g 1z2
337,3755 côte stecatherine pavillion e 8th floor,jewish general hospital  oncology pharmacy,quebec,montreal,h3t 1e2
338,2155 guy st room 231,mcgill uhccenter for applied ethics,quebec,montreal,h3h 2r9
339,687 av des pins o,royal victoria hospital rvh  mcgill university health centre muhc,quebec,montreal,h3a 1a1
340,687 pine avenue pavillion a 3rd floor,royalvictoria hospital study coordinators office,quebec,montreal,h3a 1a1
341,department of medical oncology and hematology620 university avenue 6606,princess margaret cancer centre,ontario,toronto,m5g 2m9
342,610 university avenue,university health network uhn  princess margaret cancer centre  myeloma clinic,ontario,toronto,m5g 2m9
353,610 university averoom 4115,pharmacy  university health network,ontario,toronto,m5g 2m9
354,610 university avenue,princess margaret cancer centre,ontario,toronto,m5g 2m9
355,610 university ave,university health network,ontario,toronto,m5g 2m9
423,2075 bayview avenue 2nd floor,odette cancer centersunnybrook health sciences centre,ontario,toronto,m4n 3m5
424,1276 south park st bethune building,queen elizabeth ii health sciences centre,nova scotia,halifax,b3h 2y9
494,4480 oak street rm b315,childrens  womens health centre of british columbia,vancouver,british columbia,v6h 3v4
506,600 west 10th ave,bcca centre for lymphoid cancer,british columbia,vancouver,v5z 4e6
507,11560 university ave,cross cancer institute,alberta,edmonton,t6g 1z2
508,546 pine avenue w,gerald bronfman center for clinical research in oncology,qc,montreal,h2w 1s6
509,687 pine ave west,royal victoria hospital,quebec,montreal,h3a 1a1
510,687 pine avenue west pavillion a 2nd floor,royalvictoria hospital oncology pharmacy,quebec,montreal,h3a 1a1
528,8440 112th street nw2c242 wmc,university of alberta hospital,edmonton,alberta,t6g 2b7
529,339 windemere road room b7140,lhsc  university hospital,london,ontario,n6a 5a5
726,700 university ave2nd floor north sidework station  27,data coordinator including safety reports address,ontario,toronto,m5g 1z6
727,620 university ave8th floorroom 206,ert shipment address  princess margaret hospital,ontario,toronto,m5g 2c1
728,research ethics board700 university ave,university health network research ethics board,ontario,toronto,m5g 1z5
752,200  elizabeth streeteaton north 10th floor room 243,toronto general hospital,toronto,ontario,m5g 2c4
767,600 west 10th ave,bcca centre for lymphoid cancer,british columbia,vancouver,v5z 4e6
791,2075 bayview ave room c819,sunnybrook health sciences centre ethics board,ontario,toronto,m4n 3m5
842,546 pine west,mcgill university dept of oncology,quebec,montreal,h2w 1s6
843,610 university avenue,princess margaret hospital,ontario,toronto,m5g 2m9
844,700 bay street lucliff place,princess margaret hospital,ontario,toronto,m5g 1z6
845,675 mcdermot avenue,manitoba cancer treatment and research foundation,manitoba,winnipeg,r3e 0v9
967,200  elizabeth streeteaton north 10th floor room 243,toronto general hospital,toronto,ontario,m5g 2c4
968,2647 willow street room 100,vancouver general hospital,vancouver,british columbia,v5z 3p1
980,339 windermere road b10120,lhsc  university hospital,london,ontario,n6a 5a5
1306,,hamilton health sciences corporation,,,
1403,5788 university avenue,local laboratory,nova scotia,halifax,canada b3h 1v7
1404,1278 tower road room 4430,queen elizabeth hscvg site bethune building,nova scotia,halifax,b3h 2y9
1405,1276 south park street,queen elizabeth ii qeii health sciences centrecentennial building division dalhousie university,nova scotia,halifax,b3h 2y9
1406,1276 south park street,queen elizabeth ii health sciences center,,halifax ns,
1570,,centre de recherche dermatologique du quebec metropolitain,,,
1571,,dermatrials research inc,,,
1634,1200 main st w,hamilton health sciences centre,hamilton,ontario,l8n 3z5
1643,3801 university street207j,montreal neurological institute clinical research unit,montréal,quebec,h3a 2b4
1664,,lhsc  university hospital,,,
1668,,vancouver general hospital,,,
1692,3801 university street207j,montreal neurological institute clinical research unit,montréal,quebec,h3a 2b4
1790,,zeidler ledcor centre  university of alberta,,,
1807,,chum centre de recherche,,,
1890,,the medical arts health research group,,,
1900,,skin centre for dermatology,,,
1965,,lhsc  victoria hospital,,,
1966,,university of alberta,,,
1967,,hopital maisonneuverosemont dba ciusss de lestdelîledemontréal,,,
2099,,centre de santé et de services sociaux champlaincharlesle moyne,,,
2175,610 university ave,university health network,ontario,toronto,m5g 2m9
2176,3755 rue cote stecatherine,sir mortimer b davis jewish general hospital,quebec,montreal,h3t 1e2
2177,20 campus drive,saskatchewan cancer agency sca  saskatoon cancer centre scc,saskatchewan,saskatoon,s7n4h4
2208,,stratica medical,,,
2209,,north bay dermatology centre inc,,,
2273,,royal university hospital,,,
2274,,hotel dieu hospital,,,
2277,,giri gi research institute,,,
2338,5415 boulevard lassomption,hopital maisonneuverosemont dba ciusss de lestdelîledemontréal,montreal,quebec,h1t 2m4
2382,1001 boul decarie room c040119research institute mcgill university health center glen site,mcgill university health centreglen site  royal victoria hospital,montreal,quebec,h4a 3j1
2383,8440  112 streetzeidler ledcor centre,zeidler ledcor centre  university of alberta,edmonton,alberta,t6g 2x8
2408,600 west 10th avenue,bc cancer agency vancouver centre,british columbia,vancouver,v5z 4e6
2439,57090 university ave,nova scotia health authority research ethics board,nova scotia,halifax,b3h 1v7
2499,odette cancer centre2075 bayview ave,sunnybrook health sciences centre,ontario,toronto,m4n 3m5
