SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
4248,limache 1741,hospital clinico viña del mar,valparaíso,viña del mar,2352499
4249,anabaena 336,centro de investigaciones clinicas vina del mar,valparaiso,vina del mar,2540364
4250,profesor zanartu 1085 independencia,hospital roberto del rio,regiónmetropolitanadesantiago,santiago,257 100
4251,lago puyehue 1745,sociedad de investigaciones medicas,cautin,temuco,4810469
4252,beauchef 683,clinical research chile spa,los ríos,valdivia,5110683
4253,avenida bellavista 0415,clinica santa maria,regiónmetropolitanadesantiago,santiago,7500000
4254,general salvo 159,prosalud,regiónmetropolitanadesantiago,santiago,7500006
4255,avenida salvador 364,hospital del salvador,metropolitana,providencia,7500922
4256,avenida salvador 364providencia,hospital del salvador,regiónmetropolitanadesantiago,santiago,7500922
4257,américo vespucio norte 1314vitacura,iram cancer research,regiónmetropolitanadesantiago,santiago,7630370
4258,subida alessandri 1505,hospital naval almirante nef,valparaíso,viña del mar,7650568
4259,manzano 343,centro de investigacion clinica bradford hill,santiago,recoleta,76894
4260,avenida brillante 106unidad de neonatología,hospital san juan de dios,regiónmetropolitanadesantiago,santiago,8350488
4261,santos dumont 999,hospital clínico universidad de chile,regiónmetropolitanadesantiago,santiago,8380456
