SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
7864,7863,1,1,1,1,3,7,Italy
7865,7863,1,1,1,1,3,7,Italy
7866,7863,1,1,1,1,3,7,Italy
7867,7863,1,1,1,1,3,7,Italy
7868,7863,1,1,1,1,3,7,Italy
7869,7863,1,1,1,1,3,7,Italy
7871,7870,1,1,1,1,3,7,Italy
7873,7870,0,0,1,1,3,5,Italy
7876,7874,1,1,1,1,0,4,Italy
7877,7874,1,1,1,1,0,4,Italy
7878,7875,1,1,1,1,3,7,Italy
7880,7875,1,1,1,1,3,7,Italy
7882,7875,1,1,1,1,3,7,Italy
7883,7875,1,1,1,1,3,7,Italy
7884,7875,1,1,1,1,3,7,Italy
7885,7875,1,1,1,1,3,7,Italy
7881,7879,1,1,1,1,3,7,Italy
7891,7879,1,1,0,1,3,6,Italy
7887,7886,1,1,1,1,3,7,Italy
7888,7886,1,1,1,1,3,7,Italy
7889,7886,1,1,1,1,3,7,Italy
7890,7886,1,1,1,1,3,7,Italy
7892,7886,1,1,1,1,3,7,Italy
7894,7893,1,1,1,1,3,7,Italy
7945,7895,0,1,1,0,3,5,Italy
8081,7897,1,1,1,1,3,7,Italy
8083,7897,1,1,0,1,3,6,Italy
8082,7898,1,1,1,1,3,7,Italy
7912,7900,1,1,1,1,3,7,Italy
7914,7900,1,1,1,1,3,7,Italy
7911,7900,1,1,1,1,0,4,Italy
7904,7901,1,1,1,1,3,7,Italy
7905,7901,1,1,1,1,3,7,Italy
7906,7901,1,1,1,1,3,7,Italy
7913,7902,1,1,1,1,3,7,Italy
7916,7902,1,0,1,1,3,6,Italy
7907,7903,1,1,1,1,3,7,Italy
7908,7903,1,1,1,1,3,7,Italy
7909,7903,1,1,1,1,3,7,Italy
7910,7903,1,1,1,1,3,7,Italy
7917,7915,1,1,1,1,0,4,Italy
7920,7919,1,1,1,1,3,7,Italy
7921,7919,1,1,1,1,3,7,Italy
7922,7919,1,1,1,1,3,7,Italy
7923,7919,1,1,1,1,3,7,Italy
7925,7924,1,1,1,1,3,7,Italy
8010,7924,1,1,1,0,3,6,Italy
7947,7926,0,0,1,1,3,5,Italy
7930,7927,1,1,1,1,3,7,Italy
7932,7927,1,1,1,1,3,7,Italy
7940,7927,1,1,1,1,0,4,Italy
7929,7928,1,1,1,1,3,7,Italy
7931,7928,1,1,1,1,3,7,Italy
7933,7927,1,1,1,1,3,7,Italy
7934,7927,1,1,1,1,3,7,Italy
7935,7927,1,1,1,1,3,7,Italy
7938,7927,1,1,1,1,3,7,Italy
7937,7936,1,1,1,1,3,7,Italy
7939,7936,1,1,1,1,3,7,Italy
7942,7941,1,1,1,1,3,7,Italy
8087,7941,1,0,1,1,3,6,Italy
7944,7943,1,1,1,1,3,7,Italy
7950,7949,0,0,1,1,3,5,Italy
7958,7952,1,1,1,1,0,4,Italy
7954,7953,1,1,1,1,3,7,Italy
7955,7953,1,1,1,1,3,7,Italy
7956,7953,1,1,1,1,3,7,Italy
7957,7953,1,1,1,1,3,7,Italy
7961,7960,1,1,1,1,3,7,Italy
7962,7960,1,1,1,1,3,7,Italy
7963,7960,1,1,1,1,3,7,Italy
7964,7960,1,1,1,1,0,4,Italy
7967,7966,1,1,1,1,3,7,Italy
7968,7966,1,1,1,1,3,7,Italy
7969,7966,1,1,1,1,3,7,Italy
7970,7966,1,1,1,1,3,7,Italy
7971,7966,1,1,1,1,3,7,Italy
7973,7966,0,0,1,1,3,5,Italy
7984,7966,1,1,1,1,0,4,Italy
7985,7966,1,1,1,1,0,4,Italy
7987,7966,1,1,1,1,0,4,Italy
7988,7966,1,1,1,1,0,4,Italy
7989,7966,1,1,1,1,0,4,Italy
7993,7966,1,1,1,1,0,4,Italy
