SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
13529,13528,1,1,1,1,3,7,Turkey
13530,13528,1,1,1,1,3,7,Turkey
13531,13528,1,1,1,1,3,7,Turkey
13532,13528,1,1,1,1,3,7,Turkey
13533,13528,1,1,1,1,3,7,Turkey
13534,13528,1,1,1,1,3,7,Turkey
13536,13535,1,1,1,1,3,7,Turkey
13537,13535,1,1,1,1,3,7,Turkey
13538,13535,1,1,1,1,3,7,Turkey
13539,13535,1,1,1,1,3,7,Turkey
13540,13535,1,1,1,1,3,7,Turkey
13541,13535,1,1,1,1,3,7,Turkey
13543,13542,1,1,1,1,0,4,Turkey
13545,13544,1,1,1,1,3,7,Turkey
13546,13544,1,1,1,1,3,7,Turkey
13547,13544,1,1,1,1,3,7,Turkey
13548,13544,1,1,1,1,3,7,Turkey
13549,13544,1,1,1,1,3,7,Turkey
13557,13552,0,1,1,1,3,6,Turkey
13580,13552,1,0,0,0,3,4,Turkey
13554,13553,1,1,1,1,0,4,Turkey
13558,13553,1,1,1,1,0,4,Turkey
13556,13555,1,1,1,1,3,7,Turkey
13561,13560,1,1,1,1,0,4,Turkey
13562,13560,1,1,1,1,3,7,Turkey
13565,13564,1,1,1,1,3,7,Turkey
13566,13564,1,1,1,1,3,7,Turkey
13567,13564,1,1,1,1,3,7,Turkey
13568,13564,1,1,1,1,3,7,Turkey
13569,13564,1,1,1,1,3,7,Turkey
13570,13564,1,1,1,1,3,7,Turkey
13571,13564,1,1,1,1,0,4,Turkey
13572,13564,1,1,1,1,3,7,Turkey
13573,13564,1,1,1,1,3,7,Turkey
13574,13564,1,1,1,1,3,7,Turkey
13575,13564,1,1,1,1,3,7,Turkey
13576,13564,1,1,1,1,3,7,Turkey
13577,13564,1,1,1,1,3,7,Turkey
13581,13552,1,1,1,1,3,7,Turkey
13583,13582,1,1,1,1,3,7,Turkey
13584,13582,1,1,1,1,3,7,Turkey
13585,13582,1,1,1,1,3,7,Turkey
13586,13582,1,1,1,1,3,7,Turkey
13587,13582,1,1,1,1,3,7,Turkey
13588,13582,1,1,1,1,3,7,Turkey
13590,13589,1,1,1,1,0,4,Turkey
13591,13589,1,1,1,1,3,7,Turkey
13592,13589,1,1,1,1,3,7,Turkey
13593,13589,1,1,1,1,3,7,Turkey
13594,13589,1,1,1,1,3,7,Turkey
13595,13589,1,1,1,1,3,7,Turkey
13596,13589,1,1,1,1,3,7,Turkey
13597,13589,1,1,1,1,3,7,Turkey
13599,13598,1,1,1,1,3,7,Turkey
13600,13598,1,1,1,1,3,7,Turkey
13601,13598,1,1,1,1,3,7,Turkey
13602,13598,1,1,1,1,3,7,Turkey
13603,13598,1,1,1,1,3,7,Turkey
13604,13598,1,1,1,1,3,7,Turkey
13606,13605,1,1,1,1,0,4,Turkey
13607,13605,1,1,1,1,3,7,Turkey
13609,13608,1,1,1,1,3,7,Turkey
13610,13608,1,1,1,1,3,7,Turkey
13611,13608,1,1,1,1,3,7,Turkey
13612,13608,1,1,1,1,3,7,Turkey
13613,13608,1,1,1,1,3,7,Turkey
13614,13608,1,1,1,1,3,7,Turkey
13616,13615,1,1,1,1,3,7,Turkey
13617,13615,1,1,1,1,3,7,Turkey
13618,13615,1,1,1,1,3,7,Turkey
13619,13615,1,1,1,1,3,7,Turkey
13620,13615,1,1,1,1,3,7,Turkey
13621,13615,1,1,1,1,3,7,Turkey
13623,13622,1,1,1,1,3,7,Turkey
13624,13622,1,1,1,1,3,7,Turkey
13625,13622,1,1,1,1,3,7,Turkey
13626,13622,1,1,1,1,3,7,Turkey
13628,13627,1,1,1,1,3,7,Turkey
13629,13627,1,1,1,1,3,7,Turkey
13630,13627,1,1,1,1,3,7,Turkey
13631,13627,1,1,1,1,3,7,Turkey
13632,13627,1,1,1,1,3,7,Turkey
13636,13635,1,1,1,1,0,4,Turkey
13637,13635,1,1,1,1,3,7,Turkey
13638,13635,1,1,1,1,3,7,Turkey
13639,13635,1,1,1,1,3,7,Turkey
13640,13635,1,1,1,1,3,7,Turkey
13644,13643,1,1,1,1,3,7,Turkey
13645,13643,1,1,1,1,3,7,Turkey
13646,13643,1,1,1,1,3,7,Turkey
13648,13647,0,1,1,1,3,6,Turkey
13651,13647,0,1,1,1,3,6,Turkey
13649,13647,1,1,1,1,0,4,Turkey
13650,13647,1,1,1,1,0,4,Turkey
13653,13652,1,1,1,1,3,7,Turkey
13654,13652,1,1,1,1,3,7,Turkey
13655,13652,1,1,1,1,3,7,Turkey
13656,13652,1,1,1,1,3,7,Turkey
13657,13652,1,1,1,1,3,7,Turkey
13658,13652,1,1,1,1,3,7,Turkey
13659,13652,0,1,1,1,3,6,Turkey
13660,13652,1,1,1,1,0,4,Turkey
13661,13652,1,1,1,1,0,4,Turkey
13662,13652,1,1,1,1,0,4,Turkey
13668,13667,1,1,1,1,3,7,Turkey
13669,13667,1,1,1,1,3,7,Turkey
13670,13667,1,1,1,1,3,7,Turkey
13671,13667,1,1,1,1,3,7,Turkey
13672,13667,1,1,1,1,3,7,Turkey
13673,13667,1,1,1,1,3,7,Turkey
