SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
167,143,0,1,0,0,3,4,USA
146,144,0,1,0,0,3,4,USA
147,145,0,1,0,0,3,4,USA
170,149,0,1,0,0,3,4,USA
166,152,0,1,0,0,3,4,USA
173,152,0,1,0,0,3,4,USA
197,196,0,1,0,0,3,4,USA
202,200,0,1,0,0,3,4,USA
301,298,0,1,1,0,3,5,USA
306,299,0,1,1,0,3,5,USA
312,299,0,1,0,0,3,4,USA
321,316,0,1,0,0,3,4,USA
346,316,0,1,0,0,3,4,USA
367,316,0,1,0,0,3,4,USA
395,316,0,1,0,0,3,4,USA
409,316,0,1,0,0,3,4,USA
343,323,0,1,0,0,3,4,USA
360,331,0,1,0,0,3,4,USA
371,370,0,1,0,0,3,4,USA
410,397,0,1,0,0,3,4,USA
407,405,0,1,1,1,3,6,USA
476,433,0,1,0,0,3,4,USA
510,455,0,1,0,0,3,4,USA
500,480,0,1,0,0,3,4,USA
483,482,0,1,0,0,3,4,USA
516,494,0,1,0,0,3,4,USA
515,503,0,1,1,0,3,5,USA
