SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
104007,104006,0,1,1,1,3,6,United_States_of_America
104012,104011,0,1,1,1,3,6,United_States_of_America
104051,104031,0,1,0,0,3,4,United_States_of_America
104192,104039,0,1,0,0,3,4,United_States_of_America
104149,104053,0,1,0,0,3,4,United_States_of_America
104215,104053,0,1,0,0,3,4,United_States_of_America
104275,104055,0,1,0,0,3,4,United_States_of_America
104294,104055,0,1,0,0,3,4,United_States_of_America
104074,104073,0,1,1,1,3,6,United_States_of_America
104079,104076,0,1,1,0,3,5,United_States_of_America
104266,104077,0,1,0,0,3,4,United_States_of_America
104094,104093,0,1,1,1,3,6,United_States_of_America
104128,104096,0,1,0,0,3,4,United_States_of_America
104141,104098,0,1,0,0,3,4,United_States_of_America
104111,104110,0,1,1,1,3,6,United_States_of_America
104126,104124,0,1,1,1,3,6,United_States_of_America
104156,104132,0,1,0,0,3,4,United_States_of_America
104248,104132,0,1,0,0,3,4,United_States_of_America
104309,104132,0,1,0,0,3,4,United_States_of_America
104255,104137,0,1,0,0,3,4,United_States_of_America
104327,104160,0,1,0,0,3,4,United_States_of_America
104187,104185,0,1,1,1,3,6,United_States_of_America
104323,104314,0,1,0,0,3,4,United_States_of_America
104319,104318,0,1,1,1,3,6,United_States_of_America
104331,104330,0,1,1,1,3,6,United_States_of_America
104332,104330,0,1,1,1,3,6,United_States_of_America
104386,104344,0,1,0,0,3,4,United_States_of_America
104346,104345,0,1,1,1,3,6,United_States_of_America
104358,104357,0,1,1,1,3,6,United_States_of_America
104361,104360,0,1,1,1,3,6,United_States_of_America
104445,104435,0,1,0,0,3,4,United_States_of_America
104452,104451,0,1,1,1,3,6,United_States_of_America
104499,104478,0,1,0,0,3,4,United_States_of_America
104553,104503,0,1,0,0,3,4,United_States_of_America
104528,104504,0,1,0,0,3,4,United_States_of_America
104549,104509,0,1,0,0,3,4,United_States_of_America
104514,104511,0,1,0,0,3,4,United_States_of_America
104516,104511,0,1,0,0,3,4,United_States_of_America
104539,104511,0,1,0,0,3,4,United_States_of_America
104548,104515,0,1,0,0,3,4,United_States_of_America
104550,104515,0,1,0,0,3,4,United_States_of_America
104551,104515,0,1,0,0,3,4,United_States_of_America
104552,104515,0,1,0,0,3,4,United_States_of_America
104533,104511,0,1,0,0,3,4,United_States_of_America
104547,104519,0,1,0,0,3,4,United_States_of_America
104524,104522,0,1,0,0,3,4,United_States_of_America
104532,104522,0,1,0,0,3,4,United_States_of_America
104535,104522,0,1,0,0,3,4,United_States_of_America
104530,104504,0,1,0,0,3,4,United_States_of_America
104545,104504,0,1,0,0,3,4,United_States_of_America
104544,104511,0,1,0,0,3,4,United_States_of_America
104546,104511,0,1,0,0,3,4,United_States_of_America
104559,104556,0,1,1,0,3,5,United_States_of_America
104597,104564,0,1,0,0,3,4,United_States_of_America
104582,104578,0,1,1,0,3,5,United_States_of_America
104581,104580,0,1,1,1,3,6,United_States_of_America
104607,104606,0,1,0,0,3,4,United_States_of_America
104621,104620,0,1,1,0,3,5,United_States_of_America
104681,104651,0,1,0,0,3,4,United_States_of_America
104717,104705,0,1,1,0,3,5,United_States_of_America
104767,104764,0,1,0,0,3,4,United_States_of_America
105075,104776,0,1,0,0,3,4,United_States_of_America
104790,104789,0,1,1,1,3,6,United_States_of_America
104900,104799,0,1,0,0,3,4,United_States_of_America
104811,104800,0,1,0,0,3,4,United_States_of_America
104830,104820,0,1,0,0,3,4,United_States_of_America
105045,104871,0,1,0,0,3,4,United_States_of_America
105050,104871,0,1,0,0,3,4,United_States_of_America
104888,104880,0,1,0,0,3,4,United_States_of_America
104954,104880,0,1,0,0,3,4,United_States_of_America
105118,104918,0,1,0,0,3,4,United_States_of_America
104981,104941,0,1,0,0,3,4,United_States_of_America
104964,104962,0,1,1,0,3,5,United_States_of_America
105044,105043,0,1,1,1,3,6,United_States_of_America
105093,105070,0,1,0,0,3,4,United_States_of_America
105090,105089,0,1,1,1,3,6,United_States_of_America
105094,105092,0,1,1,1,3,6,United_States_of_America
105147,105146,0,1,1,1,3,6,United_States_of_America
105173,105172,0,1,1,1,3,6,United_States_of_America
105202,105178,0,1,0,0,3,4,United_States_of_America
105301,105300,0,1,1,1,3,6,United_States_of_America
