SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
1059,1006,1,1,0,0,3,5,Argentina
1249,1006,1,1,0,0,3,5,Argentina
1110,1007,0,0,1,0,3,4,Argentina
1011,1010,1,1,1,1,3,7,Argentina
1185,1010,1,0,0,0,3,4,Argentina
1013,1012,1,1,1,1,3,7,Argentina
1015,1014,1,1,1,1,3,7,Argentina
1017,1014,1,1,1,1,3,7,Argentina
1018,1014,1,1,1,1,3,7,Argentina
1019,1014,1,1,1,1,3,7,Argentina
1016,1014,1,1,1,1,0,4,Argentina
1022,1021,1,1,1,1,3,7,Argentina
1025,1024,1,1,1,1,3,7,Argentina
1026,1024,1,1,1,1,3,7,Argentina
1027,1024,1,1,1,1,3,7,Argentina
1028,1024,1,1,1,1,3,7,Argentina
1029,1024,1,1,1,1,3,7,Argentina
1030,1024,1,1,1,1,3,7,Argentina
1078,1024,0,1,1,0,3,5,Argentina
1033,1032,1,1,1,1,0,4,Argentina
1086,1034,1,1,1,0,3,6,Argentina
1037,1036,1,1,1,1,3,7,Argentina
1041,1040,1,1,1,1,3,7,Argentina
1043,1042,1,1,1,1,3,7,Argentina
1048,1047,1,1,1,1,3,7,Argentina
1050,1049,1,1,1,1,3,7,Argentina
1051,1049,1,1,1,1,3,7,Argentina
1053,1052,1,1,1,1,3,7,Argentina
1054,1052,1,1,1,1,3,7,Argentina
1055,1052,1,1,1,1,3,7,Argentina
1062,1006,1,1,1,1,3,7,Argentina
1064,1006,1,1,1,0,3,6,Argentina
1063,1006,1,1,1,1,0,4,Argentina
1061,1060,1,1,1,1,3,7,Argentina
1065,1006,1,1,1,1,3,7,Argentina
1067,1006,1,1,1,1,3,7,Argentina
1070,1069,1,1,1,1,3,7,Argentina
1071,1069,1,1,1,1,3,7,Argentina
1072,1069,1,1,1,1,3,7,Argentina
1073,1069,1,1,1,1,3,7,Argentina
1074,1069,1,1,1,1,3,7,Argentina
1075,1069,1,1,1,1,3,7,Argentina
1080,1079,1,1,1,1,3,7,Argentina
1082,1081,1,1,1,1,3,7,Argentina
1084,1083,1,1,1,1,0,4,Argentina
1091,1090,1,1,1,1,3,7,Argentina
1094,1093,0,1,1,1,3,6,Argentina
1108,1096,0,0,1,1,3,5,Argentina
1098,1097,1,1,1,1,3,7,Argentina
1099,1097,1,1,1,1,3,7,Argentina
1100,1097,1,1,1,1,3,7,Argentina
1101,1097,1,1,1,1,3,7,Argentina
1102,1097,1,1,1,1,3,7,Argentina
1103,1097,1,1,1,1,3,7,Argentina
1105,1104,1,1,1,1,3,7,Argentina
1106,1104,1,1,1,1,3,7,Argentina
1107,1104,1,1,1,1,3,7,Argentina
1174,1104,0,1,1,0,3,5,Argentina
