SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
1893,1892,1,1,1,1,3,7,Austria
1894,1892,1,1,1,1,3,7,Austria
1895,1892,1,1,1,1,3,7,Austria
1896,1892,1,1,1,1,3,7,Austria
1898,1892,1,1,1,1,3,7,Austria
1899,1892,1,1,1,1,3,7,Austria
1900,1892,1,1,1,1,3,7,Austria
1901,1892,1,1,1,1,3,7,Austria
1902,1892,1,1,1,1,3,7,Austria
1903,1892,1,1,1,1,3,7,Austria
1904,1892,1,1,1,1,3,7,Austria
1897,1892,1,1,1,1,0,4,Austria
1906,1905,1,1,1,1,3,7,Austria
1907,1905,1,1,1,1,3,7,Austria
1908,1905,1,1,1,1,3,7,Austria
1909,1905,1,1,1,1,3,7,Austria
1910,1905,1,1,1,1,3,7,Austria
1911,1905,1,1,1,1,3,7,Austria
1923,1913,0,1,1,1,3,6,Austria
1934,1913,0,0,1,1,3,5,Austria
1916,1915,1,1,1,1,0,4,Austria
1918,1915,1,1,1,1,0,4,Austria
1920,1915,1,1,1,1,0,4,Austria
1924,1915,0,1,1,1,3,6,Austria
1931,1915,0,1,1,1,3,6,Austria
1919,1917,1,1,1,1,3,7,Austria
2119,1917,1,0,1,0,3,5,Austria
1926,1925,1,1,1,1,3,7,Austria
1927,1925,1,1,1,1,3,7,Austria
1932,1925,1,1,1,1,3,7,Austria
1928,1925,1,1,1,1,0,4,Austria
1929,1925,1,1,1,1,0,4,Austria
1930,1925,1,1,1,1,0,4,Austria
1938,1937,1,1,1,1,3,7,Austria
1939,1937,1,1,1,1,3,7,Austria
1940,1937,1,1,1,1,3,7,Austria
1941,1937,1,1,1,1,3,7,Austria
1943,1937,1,1,1,1,3,7,Austria
1945,1937,1,1,1,1,3,7,Austria
1942,1937,1,1,1,1,0,4,Austria
1944,1937,1,1,1,1,3,7,Austria
1958,1947,0,1,1,1,3,6,Austria
1948,1947,1,1,1,1,0,4,Austria
1950,1947,1,1,1,1,0,4,Austria
1951,1947,1,1,1,1,0,4,Austria
1949,1947,1,1,1,1,3,7,Austria
1952,1947,1,1,1,1,3,7,Austria
1953,1947,1,1,1,1,3,7,Austria
1955,1947,1,1,1,1,3,7,Austria
1956,1947,1,1,1,1,3,7,Austria
1957,1947,1,1,1,1,3,7,Austria
1954,1947,1,1,1,1,3,7,Austria
1960,1959,1,1,1,1,3,7,Austria
1961,1959,1,1,1,1,3,7,Austria
1962,1959,1,1,1,1,3,7,Austria
1963,1959,1,1,1,1,3,7,Austria
1967,1966,1,1,1,1,3,7,Austria
1971,1970,1,1,1,1,3,7,Austria
1972,1970,1,1,1,1,3,7,Austria
1973,1970,1,1,1,1,3,7,Austria
1974,1970,1,1,1,1,3,7,Austria
