SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
727,77,1,1,1,1,3,7,Canada
78,77,0,1,1,0,3,5,Canada
21094,92,1,1,1,0,3,6,Canada
2701,92,1,1,1,1,0,4,Canada
21103,118,1,1,1,1,3,7,Canada
22295,118,1,1,1,1,3,7,Canada
25803,118,1,1,1,1,3,7,Canada
1405,118,0,1,1,1,3,6,Canada
14213,118,0,1,1,1,3,6,Canada
19133,118,0,1,1,1,3,6,Canada
23692,118,0,1,1,1,3,6,Canada
27412,118,0,1,1,1,3,6,Canada
1406,118,1,0,0,0,3,4,Canada
842,182,0,1,1,1,3,6,Canada
34162,183,0,0,1,1,3,5,Canada
2408,334,1,1,1,1,3,7,Canada
2662,334,1,1,1,1,3,7,Canada
21553,334,0,1,1,1,3,6,Canada
507,336,1,1,1,1,3,7,Canada
9090,336,1,1,1,1,3,7,Canada
9334,336,1,1,1,1,3,7,Canada
10557,336,1,1,1,1,3,7,Canada
11485,336,1,1,1,1,3,7,Canada
16099,336,1,1,1,1,3,7,Canada
12812,336,1,1,1,1,0,4,Canada
30033,336,1,1,1,1,0,4,Canada
2703,337,0,0,1,1,3,5,Canada
510,340,0,1,1,1,3,6,Canada
2664,342,0,1,1,0,3,5,Canada
11488,353,0,1,1,0,3,5,Canada
33923,354,1,1,1,1,3,7,Canada
21088,354,1,1,0,1,3,6,Canada
2175,355,1,1,1,1,3,7,Canada
2913,355,1,1,1,1,3,7,Canada
11280,355,1,1,1,1,3,7,Canada
11973,355,1,1,1,1,3,7,Canada
15861,355,1,1,1,1,3,7,Canada
8982,355,1,0,1,1,3,6,Canada
28941,355,1,1,1,0,3,6,Canada
2599,423,1,1,1,1,3,7,Canada
13077,424,1,1,1,1,3,7,Canada
767,506,1,1,1,1,3,7,Canada
13410,508,0,0,1,1,3,5,Canada
23659,509,1,1,1,1,3,7,Canada
19136,509,0,1,1,1,3,6,Canada
35474,509,0,1,1,1,3,6,Canada
4216,528,1,1,1,1,3,7,Canada
3665,528,0,1,1,1,3,6,Canada
7147,529,1,1,1,1,3,7,Canada
980,529,1,1,1,1,0,4,Canada
4178,529,1,1,1,1,0,4,Canada
967,752,1,1,1,1,3,7,Canada
7662,752,1,1,1,1,0,4,Canada
8360,843,1,1,1,1,3,7,Canada
9075,843,1,1,1,1,3,7,Canada
9600,843,1,1,1,1,3,7,Canada
10107,843,1,1,1,1,3,7,Canada
10225,843,1,1,1,1,3,7,Canada
11972,843,1,1,1,1,3,7,Canada
22273,843,1,1,1,1,3,7,Canada
29366,843,1,1,1,1,3,7,Canada
12939,843,1,1,1,0,3,6,Canada
11680,843,1,1,1,1,0,4,Canada
25048,843,1,1,1,1,0,4,Canada
25469,843,1,1,1,1,0,4,Canada
10195,844,1,1,1,1,0,4,Canada
8539,529,1,1,1,1,3,7,Canada
5787,1634,0,1,1,1,3,6,Canada
1692,1643,1,1,1,1,3,7,Canada
28327,1643,0,0,0,1,3,4,Canada
9751,2176,1,1,1,1,0,4,Canada
30206,2176,1,1,1,1,0,4,Canada
11107,2177,0,1,1,1,3,6,Canada
10707,2338,1,1,1,1,3,7,Canada
7721,2338,1,1,1,1,0,4,Canada
2957,2383,1,1,1,1,3,7,Canada
27268,2439,0,1,1,1,3,6,Canada
29956,2439,0,1,1,1,3,6,Canada
8324,2499,1,1,1,1,0,4,Canada
28552,2499,1,1,1,1,0,4,Canada
34570,2499,1,1,1,1,0,4,Canada
25921,92,0,1,1,1,3,6,Canada
26946,2704,0,1,1,1,3,6,Canada
5694,2704,0,0,0,1,3,4,Canada
9245,2704,1,1,1,1,0,4,Canada
17780,2809,0,1,1,1,3,6,Canada
25432,2809,0,1,1,1,3,6,Canada
26343,2809,0,1,1,1,3,6,Canada
27495,2809,0,1,1,1,3,6,Canada
27616,2809,0,1,1,1,3,6,Canada
32587,2809,0,1,1,1,3,6,Canada
26008,2912,0,0,1,1,3,5,Canada
4889,3831,1,1,1,1,3,7,Canada
4949,4007,1,1,1,1,3,7,Canada
5588,4007,1,1,1,1,0,4,Canada
6120,4007,1,1,1,1,0,4,Canada
10044,4007,1,1,1,1,0,4,Canada
4950,4008,1,1,1,1,3,7,Canada
7810,4008,1,1,1,1,3,7,Canada
7719,529,1,1,1,1,3,7,Canada
5169,4312,1,1,1,1,3,7,Canada
5907,4312,1,1,1,1,3,7,Canada
6318,4355,1,1,1,0,3,6,Canada
4544,4355,1,1,1,1,0,4,Canada
5170,4355,1,1,1,1,3,7,Canada
5908,4355,1,1,1,1,3,7,Canada
9229,4355,1,1,1,1,3,7,Canada
7432,5025,1,1,1,1,3,7,Canada
7433,5026,1,1,1,1,3,7,Canada
9476,5026,1,1,1,1,3,7,Canada
7025,5544,1,1,1,1,3,7,Canada
25637,5544,1,0,0,1,3,5,Canada
5718,5603,1,1,1,1,3,7,Canada
12040,7475,1,1,1,1,3,7,Canada
14652,7475,1,1,1,1,3,7,Canada
15475,7475,1,1,1,1,3,7,Canada
18069,7475,1,1,1,1,3,7,Canada
18612,7475,1,1,1,1,3,7,Canada
18670,7475,1,1,1,1,3,7,Canada
23381,7475,1,1,1,1,3,7,Canada
24361,7475,1,1,1,1,3,7,Canada
24871,7475,1,1,1,1,3,7,Canada
25412,7475,1,1,1,1,3,7,Canada
26459,7475,1,1,1,1,3,7,Canada
26805,7475,1,1,1,1,3,7,Canada
27027,7475,1,1,1,1,3,7,Canada
27409,7475,1,1,1,1,3,7,Canada
27593,7475,1,1,1,1,3,7,Canada
27716,7475,1,1,1,1,3,7,Canada
28261,7475,1,1,1,1,3,7,Canada
29123,7475,1,1,1,1,3,7,Canada
29501,7475,1,1,1,1,3,7,Canada
24875,7475,0,1,1,1,3,6,Canada
26620,7475,0,1,1,1,3,6,Canada
31584,7475,0,1,1,1,3,6,Canada
18678,7475,1,1,1,1,0,4,Canada
8175,7529,1,1,1,1,3,7,Canada
7887,7536,1,1,1,1,3,7,Canada
8180,7536,1,1,1,1,3,7,Canada
10958,7536,1,1,1,1,3,7,Canada
29011,7536,1,1,1,1,3,7,Canada
29037,7536,1,1,1,1,3,7,Canada
27397,7536,0,1,1,1,3,6,Canada
8155,7749,1,1,1,1,3,7,Canada
14655,7749,1,1,1,1,3,7,Canada
19083,7749,1,1,1,1,3,7,Canada
22910,7749,1,1,1,1,3,7,Canada
30998,7749,1,1,1,1,3,7,Canada
31207,7749,1,1,1,1,3,7,Canada
7906,7889,1,1,1,1,3,7,Canada
8157,7889,1,1,1,1,3,7,Canada
11101,7889,1,1,1,1,3,7,Canada
14545,7889,1,1,1,1,3,7,Canada
17486,7889,1,1,1,1,3,7,Canada
18673,7889,1,1,1,1,3,7,Canada
19411,7889,1,1,1,1,3,7,Canada
23352,7889,1,1,1,1,3,7,Canada
23409,7889,1,1,1,1,3,7,Canada
23500,7889,1,1,1,1,3,7,Canada
29500,7889,1,1,1,1,3,7,Canada
31932,7889,1,1,1,1,3,7,Canada
33508,7889,1,1,1,1,3,7,Canada
25223,7889,1,1,1,0,3,6,Canada
10959,7899,1,1,1,1,3,7,Canada
11448,7899,1,1,1,1,3,7,Canada
12257,7899,1,1,1,1,3,7,Canada
14839,7899,1,1,1,1,0,4,Canada
17975,7899,1,1,1,1,0,4,Canada
8453,8120,1,1,1,1,3,7,Canada
9146,8120,1,1,1,1,3,7,Canada
11410,8120,1,1,1,1,3,7,Canada
12049,8120,1,1,1,1,3,7,Canada
13119,8120,1,1,1,1,3,7,Canada
30279,8120,1,1,1,1,3,7,Canada
8359,8120,1,1,1,0,3,6,Canada
9598,8120,1,0,1,1,3,6,Canada
13345,8120,1,1,1,0,3,6,Canada
32537,8120,1,1,1,0,3,6,Canada
8461,8123,1,1,1,0,3,6,Canada
16096,8144,0,1,1,0,3,5,Canada
9689,8146,0,1,1,1,3,6,Canada
13981,8146,0,1,1,1,3,6,Canada
12320,8215,1,1,1,0,3,6,Canada
12819,8215,1,1,1,0,3,6,Canada
12935,8215,1,1,1,0,3,6,Canada
22296,8215,1,1,1,0,3,6,Canada
10584,8221,1,1,1,1,3,7,Canada
12072,8221,1,1,1,1,3,7,Canada
16333,8221,1,1,1,1,3,7,Canada
16399,8221,1,1,1,1,3,7,Canada
22901,8221,1,1,1,1,3,7,Canada
22952,8221,1,1,1,1,3,7,Canada
9794,2499,1,1,1,1,3,7,Canada
10369,2499,1,1,1,1,3,7,Canada
13049,2499,1,1,1,1,3,7,Canada
13983,2499,1,1,1,1,3,7,Canada
15427,2499,1,1,1,1,3,7,Canada
15893,2499,1,1,1,1,3,7,Canada
16548,2499,1,1,1,1,3,7,Canada
22274,2499,1,1,1,1,3,7,Canada
22938,2499,1,1,1,1,3,7,Canada
25471,2499,1,1,1,1,3,7,Canada
30529,2499,1,1,1,1,3,7,Canada
30738,2499,1,1,1,1,3,7,Canada
13344,2499,1,1,1,0,3,6,Canada
26219,2499,1,1,1,0,3,6,Canada
31828,2499,0,1,1,0,3,5,Canada
35289,2499,1,0,0,0,3,4,Canada
11102,8332,1,1,1,1,3,7,Canada
31461,8332,1,1,1,1,3,7,Canada
16342,8332,0,1,1,0,3,5,Canada
22349,8332,1,1,1,1,0,4,Canada
33319,8120,1,1,1,1,0,4,Canada
9685,8361,1,1,1,1,0,4,Canada
13563,8361,1,1,1,1,0,4,Canada
30020,8361,1,1,1,1,0,4,Canada
10955,8395,1,1,1,1,3,7,Canada
12038,8459,1,1,1,1,3,7,Canada
11956,8460,1,1,1,1,3,7,Canada
17766,8460,1,1,1,1,3,7,Canada
27398,8460,1,1,1,1,3,7,Canada
19788,8460,0,1,0,1,3,5,Canada
24286,8479,1,1,1,1,3,7,Canada
30525,8479,1,1,1,1,3,7,Canada
31986,8479,1,1,1,1,3,7,Canada
32090,8603,1,1,1,1,0,4,Canada
10517,8794,1,1,1,1,3,7,Canada
14718,8794,1,1,0,1,3,6,Canada
16073,8794,1,1,1,0,3,6,Canada
8994,8951,1,1,1,1,3,7,Canada
11508,8954,1,1,1,1,3,7,Canada
22914,8954,1,1,1,1,3,7,Canada
9785,8954,1,0,1,1,3,6,Canada
9586,8983,1,1,1,1,3,7,Canada
12649,8983,1,1,1,1,3,7,Canada
15181,8983,1,1,1,1,3,7,Canada
28620,8983,1,1,1,1,3,7,Canada
34494,8983,1,1,1,1,3,7,Canada
9597,8983,0,1,1,1,3,6,Canada
12732,8983,0,1,1,1,3,6,Canada
13379,8983,1,1,1,0,3,6,Canada
