SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
21560,21559,1,1,1,1,3,7,United_States
21561,21559,1,1,1,1,3,7,United_States
21562,21559,1,1,1,1,3,7,United_States
21563,21559,1,1,1,1,3,7,United_States
21565,21564,1,1,1,1,3,7,United_States
21566,21564,1,1,1,1,3,7,United_States
21567,21564,1,1,1,1,3,7,United_States
21568,21564,1,1,1,1,3,7,United_States
21569,21564,1,1,1,1,3,7,United_States
21570,21564,1,1,1,1,3,7,United_States
21572,21571,1,1,1,1,3,7,United_States
21575,21574,1,1,1,1,3,7,United_States
21580,21576,0,1,1,1,3,6,United_States
21578,21577,1,1,1,1,3,7,United_States
21583,21582,1,1,1,1,3,7,United_States
21585,21584,1,1,1,1,3,7,United_States
21586,21584,1,1,1,1,3,7,United_States
21587,21584,1,1,1,1,3,7,United_States
21588,21584,1,1,1,1,3,7,United_States
21589,21584,1,1,1,1,3,7,United_States
21590,21584,1,1,1,1,3,7,United_States
21592,21591,1,1,1,1,3,7,United_States
21594,21593,0,1,1,1,3,6,United_States
21596,21595,0,1,1,1,3,6,United_States
21598,21597,1,1,1,1,3,7,United_States
21600,21599,1,1,1,1,3,7,United_States
21601,21599,1,1,1,1,3,7,United_States
21602,21599,1,1,1,1,3,7,United_States
21603,21599,1,1,1,1,3,7,United_States
21604,21599,1,1,1,1,3,7,United_States
21605,21599,1,1,1,1,3,7,United_States
21606,21599,1,1,1,1,3,7,United_States
21608,21607,1,1,1,1,3,7,United_States
21610,21609,1,1,1,1,3,7,United_States
21612,21611,1,1,1,1,3,7,United_States
21613,21611,1,1,1,1,3,7,United_States
21614,21611,1,1,1,1,3,7,United_States
21615,21611,1,1,1,1,3,7,United_States
21616,21611,1,1,1,1,3,7,United_States
21652,21618,0,1,1,1,3,6,United_States
21635,21618,0,0,1,1,3,5,United_States
21619,21618,1,1,1,1,0,4,United_States
21620,21618,1,1,1,1,0,4,United_States
21623,21618,1,1,1,1,0,4,United_States
21621,21618,1,1,1,1,3,7,United_States
21622,21618,1,1,1,1,3,7,United_States
21627,21624,1,1,1,1,0,4,United_States
21629,21624,1,1,1,1,0,4,United_States
21626,21625,1,1,1,1,3,7,United_States
21630,21625,1,0,1,1,3,6,United_States
21628,21624,1,1,1,1,3,7,United_States
21633,21624,1,1,1,1,3,7,United_States
21631,21625,1,1,1,1,3,7,United_States
21632,21625,1,1,1,1,3,7,United_States
21638,21625,0,1,1,1,3,6,United_States
21640,21625,0,1,1,1,3,6,United_States
21641,21625,0,1,1,1,3,6,United_States
21651,21625,0,1,1,1,3,6,United_States
21637,21636,1,1,1,1,3,7,United_States
21645,21639,1,1,1,1,3,7,United_States
21643,21639,1,1,1,1,0,4,United_States
21646,21639,1,1,1,1,0,4,United_States
21685,21642,1,1,1,0,3,6,United_States
21647,21644,1,1,1,1,3,7,United_States
21649,21644,1,1,1,1,3,7,United_States
21657,21644,1,1,1,0,3,6,United_States
21650,21648,1,1,1,1,3,7,United_States
21654,21653,1,1,1,1,3,7,United_States
21655,21653,1,1,1,1,3,7,United_States
21659,21658,1,1,1,1,3,7,United_States
21660,21658,1,1,1,1,3,7,United_States
21661,21658,1,1,1,1,3,7,United_States
21662,21658,1,1,1,1,3,7,United_States
21663,21658,1,1,1,1,3,7,United_States
21664,21658,1,1,1,1,3,7,United_States
21665,21658,1,1,1,1,3,7,United_States
21666,21658,1,1,1,1,3,7,United_States
21668,21667,1,1,1,1,3,7,United_States
21669,21667,1,1,1,1,0,4,United_States
21670,21667,1,1,1,1,3,7,United_States
21671,21667,1,1,1,1,3,7,United_States
21672,21667,1,1,1,1,3,7,United_States
21673,21667,1,1,1,1,3,7,United_States
21675,21674,0,1,1,1,3,6,United_States
21678,21677,1,1,1,0,3,6,United_States
21682,21681,1,1,1,1,3,7,United_States
21683,21681,1,1,1,1,3,7,United_States
21684,21681,1,0,1,1,3,6,United_States
21698,21686,1,1,1,1,3,7,United_States
21713,21686,1,1,1,1,0,4,United_States
21689,21687,1,1,0,1,3,6,United_States
21688,21687,1,1,1,1,0,4,United_States
21700,21687,1,0,0,0,3,4,United_States
21718,21687,1,1,1,1,0,4,United_States
21691,21687,1,0,0,1,3,5,United_States
21690,21687,1,1,1,1,3,7,United_States
21692,21687,1,1,1,1,0,4,United_States
21693,21687,1,1,1,1,0,4,United_States
21694,21687,1,1,1,1,0,4,United_States
21719,21687,1,1,1,1,0,4,United_States
21720,21687,1,1,1,1,0,4,United_States
21722,21687,1,1,1,1,0,4,United_States
21724,21687,1,1,1,1,0,4,United_States
21725,21687,1,1,1,1,0,4,United_States
21726,21687,1,1,1,1,0,4,United_States
21728,21687,1,1,1,1,0,4,United_States
21695,21687,1,1,1,1,3,7,United_States
21696,21687,1,1,1,1,3,7,United_States
21697,21687,1,1,1,1,3,7,United_States
21701,21687,1,1,1,1,3,7,United_States
21702,21687,1,1,1,1,3,7,United_States
21703,21687,1,1,1,1,3,7,United_States
21704,21687,1,1,1,1,3,7,United_States
21705,21687,1,1,1,1,3,7,United_States
21706,21687,1,1,1,1,3,7,United_States
21707,21687,1,1,1,1,3,7,United_States
21739,21710,0,1,1,0,3,5,United_States
21715,21714,1,1,1,1,3,7,United_States
21727,21714,0,1,1,1,3,6,United_States
21717,21716,1,1,1,1,3,7,United_States
21721,21687,1,1,1,1,3,7,United_States
21723,21687,1,1,1,1,3,7,United_States
21730,21687,1,0,1,1,3,6,United_States
21737,21687,1,1,1,0,3,6,United_States
21740,21714,1,1,1,0,3,6,United_States
21729,21687,1,1,1,1,3,7,United_States
