SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
100002,100002,1.0,1.0,1.0,3.0,1.0,USA,7.0
100003,100003,1.0,1.0,1.0,3.0,1.0,USA,7.0
100004,100003,1.0,1.0,1.0,3.0,1.0,USA,7.0
100005,100005,1.0,1.0,1.0,3.0,1.0,USA,7.0
100006,100005,1.0,1.0,1.0,3.0,1.0,USA,7.0
100007,100007,1.0,1.0,1.0,3.0,1.0,USA,7.0
100008,100007,1.0,1.0,1.0,3.0,1.0,USA,7.0
100009,100009,1.0,1.0,1.0,3.0,1.0,USA,7.0
100010,100010,1.0,1.0,1.0,3.0,1.0,USA,7.0
100011,100011,1.0,1.0,1.0,3.0,1.0,USA,7.0
100012,100012,1.0,1.0,1.0,3.0,1.0,USA,7.0
100013,100013,1.0,1.0,1.0,3.0,1.0,USA,7.0
100014,100014,1.0,1.0,1.0,3.0,1.0,USA,7.0
100015,100015,1.0,1.0,1.0,3.0,1.0,USA,7.0
100016,100016,1.0,1.0,1.0,3.0,1.0,USA,7.0
100017,100017,1.0,1.0,1.0,3.0,1.0,USA,7.0
100018,100018,1.0,1.0,1.0,3.0,1.0,USA,7.0
100019,100019,1.0,1.0,1.0,3.0,1.0,USA,7.0
100020,100020,1.0,1.0,1.0,3.0,1.0,USA,7.0
100021,100021,1.0,1.0,1.0,3.0,1.0,USA,7.0
100022,100022,1.0,1.0,1.0,3.0,1.0,USA,7.0
100023,100023,1.0,1.0,1.0,3.0,1.0,USA,7.0
100024,100022,0.0,1.0,0.0,3.0,1.0,USA,5.0
100025,100025,1.0,1.0,1.0,3.0,1.0,USA,7.0
100026,100021,1.0,1.0,1.0,3.0,1.0,USA,7.0
100027,100021,1.0,1.0,1.0,3.0,1.0,USA,7.0
100028,100021,1.0,1.0,1.0,3.0,1.0,USA,7.0
100029,100029,1.0,1.0,1.0,3.0,1.0,USA,7.0
100030,100030,1.0,1.0,1.0,3.0,1.0,USA,7.0
100031,100031,1.0,1.0,1.0,3.0,1.0,USA,7.0
100032,100031,1.0,1.0,1.0,3.0,1.0,USA,7.0
100033,100033,1.0,1.0,1.0,3.0,1.0,USA,7.0
100034,100034,1.0,1.0,1.0,3.0,1.0,USA,7.0
100035,100035,1.0,1.0,1.0,3.0,1.0,USA,7.0
100036,100036,1.0,1.0,1.0,3.0,1.0,USA,7.0
100037,100037,1.0,1.0,1.0,3.0,1.0,USA,7.0
100038,100037,0.0,1.0,0.0,3.0,0.0,USA,4.0
100039,100039,1.0,1.0,1.0,3.0,1.0,USA,7.0
100040,100040,1.0,1.0,1.0,3.0,1.0,USA,7.0
100041,100041,1.0,1.0,1.0,3.0,1.0,USA,7.0
100042,100042,1.0,1.0,1.0,3.0,1.0,USA,7.0
100043,100043,1.0,1.0,1.0,3.0,1.0,USA,7.0
100044,100043,1.0,1.0,1.0,3.0,1.0,USA,7.0
100045,100042,0.0,1.0,0.0,3.0,1.0,USA,5.0
100046,100046,1.0,1.0,1.0,3.0,1.0,USA,7.0
100047,100046,1.0,1.0,1.0,3.0,1.0,USA,7.0
100048,100048,1.0,1.0,1.0,3.0,1.0,USA,7.0
100049,100048,1.0,1.0,1.0,3.0,1.0,USA,7.0
100050,100050,1.0,1.0,1.0,3.0,1.0,USA,7.0
100051,100051,1.0,1.0,1.0,3.0,1.0,USA,7.0
100052,100051,0.0,1.0,1.0,3.0,1.0,USA,6.0
100053,100053,1.0,1.0,1.0,3.0,1.0,USA,7.0
100054,100054,1.0,1.0,1.0,3.0,1.0,USA,7.0
100055,100055,1.0,1.0,1.0,3.0,1.0,USA,7.0
100056,100056,1.0,1.0,1.0,3.0,1.0,USA,7.0
100057,100056,1.0,1.0,1.0,3.0,1.0,USA,7.0
100058,100058,1.0,1.0,1.0,3.0,1.0,USA,7.0
100059,100059,1.0,1.0,1.0,3.0,1.0,USA,7.0
100060,100059,0.0,1.0,1.0,3.0,1.0,USA,6.0
100061,100061,1.0,1.0,1.0,3.0,1.0,USA,7.0
100062,100062,1.0,1.0,1.0,3.0,1.0,USA,7.0
100063,100063,1.0,1.0,1.0,3.0,1.0,USA,7.0
100064,100064,1.0,1.0,1.0,3.0,1.0,USA,7.0
100065,100065,1.0,1.0,1.0,3.0,1.0,USA,7.0
