SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM
100002,USA,923,HOSPITAL SAN FRANCISCO,PR,SAN JUAN,371 DE DIE,GO AVE,,SAN JUAN,(787) 767-5100,Acute Care Hospitals,Proprietary,20284
100003,USA,3301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NH,CONCORD,36 CLINTON,STREET,,MERRIMACK,(603) 271-5300,Psychiatric,Government - State,65841
100004,USA,3301,NEW HAMPSHIRE HOSP-PSYCH UNIT,NH,CONCORD,36 CLINTON,STREET,,MERRIMACK,(603) 271-5300,Psychiatric,Government - State,86810
100005,USA,3304,NEW HAMPSHIRE PSYCHIATRIC HOSPITAL,MH,CONCORDIA,36 CLINTON,ST.,,MERIMAK,(603) 271-5300,Psychiatric,Government - State,71022
100006,USA,3304,NEW HAMPSHIRE PSYCHIATRIC HOSPITAL,MH,CONCORDIA,36 CLINTON,ST.,,MERIMAK,(603) 271-5300,Psychiatric,Government - State,55316
100007,USA,4092,SPRING HARBOR HOSPITAL,ME,WESTBROOK,123 ANDOVE,R ROAD,,CUMBERLAND,(207) 761-2200,Psychiatric,Government - Federal,15027
100008,USA,4092,SPRING HARBOR HOSPITAL,ME,WESTBROOK,123 ANDOVE,R ROAD,,CUMBERLAND,(207) 761-2200,Psychiatric,Government - Federal,40281
100009,USA,6250,NATCHAUG HOSPITAL,CT,MANSFIELD CENTER,189 STORRS,RD,,TOLLAND,(860) 456-1311,Psychiatric,Voluntary non-profit - Private,33239
100010,USA,7112,NEWARK BETH ISRAEL MEDICAL CENTER,NJ,NEWARK,201 LYONS,AVE,,ESSEX,(973) 926-7850,Acute Care Hospitals,Voluntary non-profit - Private,18877
100011,USA,19460,PHOENIXVILLE HOSPITAL,PA,PHOENIXVILLE,140 NUTT R,OAD,,CHESTER,(610) 983-1000,Acute Care Hospitals,Proprietary,44494
100012,USA,19605,ST JOSEPH MEDICAL CENTER,PA,READING,2500 BERNV,ILLE ROAD,,BERKS,(610) 378-2000,Acute Care Hospitals,Voluntary non-profit - Church,13958
100013,USA,20904,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,MD,SILVER SPRING,12100 PLUM,ORCHARD D,RIVE,MONTGOMERY,(301) 891-5651,Acute Care Hospitals,Voluntary non-profit - Private,65228
100014,USA,21209,MOUNT WASHINGTON PEDIATRIC HOSPITAL,MD,BALTIMORE,1708 WEST,ROGERS AVE,NUE,BALTIMORE CITY,(410) 578-5050,Childrens,Voluntary non-profit - Private,30570
100015,USA,21613,EASTERN SHORE HOSPITAL CENTER,MD,CAMBRIDGE,POST OFFIC,E BOX 800,,DORCHESTER,(410) 221-2525,Psychiatric,Government - State,44283
