nRows,Val,Units,Normalized_val
18,0.162385,secs,0.162385
461,2.514823,secs,2.514823
739,5.358154,secs,5.358154
478,2.798855,secs,2.798855
5,0.1638198,secs,0.1638198
692,4.786693,secs,4.786693
143,0.3991098,secs,0.3991098
691,6.278231,secs,6.278231
295,1.390667,secs,1.390667
1391,20.84592,secs,20.84592
85,0.2186606,secs,0.2186606
790,8.051106,secs,8.051106
289,1.236409,secs,1.236409
4,0.164834,secs,0.164834
259,0.8634248,secs,0.8634248
490,2.519342,secs,2.519342
245,0.7913284,secs,0.7913284
4,0.1868141,secs,0.1868141
28,0.1782372,secs,0.1782372
63,0.1952877,secs,0.1952877
152,0.439065,secs,0.439065
1628,30.74594,secs,30.74594
31,0.2138782,secs,0.2138782
2275,1.011339,mins,60.68034
344,1.530595,secs,1.530595
67,0.2374897,secs,0.2374897
454,2.5992,secs,2.5992
244,0.8169038,secs,0.8169038
142,0.3752799,secs,0.3752799
468,2.369104,secs,2.369104
1380,27.70621,secs,27.70621
1569,27.63436,secs,27.63436
30,0.1884813,secs,0.1884813
14,0.1794927,secs,0.1794927
498,3.257926,secs,3.257926
27,0.1953666,secs,0.1953666
112,0.3807364,secs,0.3807364
87,0.2593045,secs,0.2593045
2,0.1764984,secs,0.1764984
181,0.5314238,secs,0.5314238
578,4.509128,secs,4.509128
10,0.1939182,secs,0.1939182
572,3.778172,secs,3.778172
146,0.4195981,secs,0.4195981
2,0.1878366,secs,0.1878366
3,0.1799228,secs,0.1799228
235,0.8465466,secs,0.8465466
3,0.1865003,secs,0.1865003
14,0.1970809,secs,0.1970809
42,0.1981814,secs,0.1981814
58,0.2119491,secs,0.2119491
1223,19.56762,secs,19.56762
325,1.766668,secs,1.766668
2,0.1652262,secs,0.1652262
431,2.32609,secs,2.32609
720,6.596787,secs,6.596787
39,0.1779418,secs,0.1779418
189,0.5509074,secs,0.5509074
70,0.2214856,secs,0.2214856
321,1.231915,secs,1.231915
27,0.1906068,secs,0.1906068
283,0.9570034,secs,0.9570034
1466,27.47529,secs,27.47529
5,0.1640475,secs,0.1640475
356,1.606666,secs,1.606666
308,1.229162,secs,1.229162
280,1.112172,secs,1.112172
56,0.1914046,secs,0.1914046
65,0.1893914,secs,0.1893914
632,5.53076,secs,5.53076
747,9.601472,secs,9.601472
4,0.1825411,secs,0.1825411
1885,37.91655,secs,37.91655
22882,34.59,mins,2075.4
4,0.1632266,secs,0.1632266
74,0.2193062,secs,0.2193062
