SR_NUM,CONCAT_ADDRESS,SITE_NAME,STATE,CITY,POSTAL_CODE
7861,corso bramante 8890,azienda ospedaliera città della salute e della scienza di torino,torino,torino,00126
7862,dipto oncologia medicavia alvaro del portillo 200,policlinico universitario campus biomedico,roma,roma,00128
7863,via alvaro del portillo 200,policlinico universitario campus biomedico di roma,roma,roma,00128
7864,via alvaro del portillo 200,policlinico universitario campus biomedico di roma,roma,roma,00128
7865,via alvaro del portillo 200,policlinico universitario campus biomedico di roma,roma,roma,00128
7866,via alvaro del portillo 200,policlinico universitario campus biomedico di roma,roma,roma,00128
7867,via alvaro del portillo 200,policlinico universitario campus biomedico di roma,roma,roma,00128
7868,via alvaro del portillo 200,policlinico universitario campus biomedico di roma,roma,roma,00128
7869,via alvaro del portillo 200,policlinico universitario campus biomedico di roma,roma,roma,00128
7870,viale oxford 81azienda ospedaliera univ pol tor vergata  dermatologia,azienda ospedaliera universitaria policlinico tor vergata,roma,roma,00133
7871,viale oxford 81azienda ospedaliera univ pol tor vergata  dermatologia,azienda ospedaliera universitaria policlinico tor vergata,roma,roma,00133
7872,viale oxford 81,azienda ospedaliera universitaria policlinico tor vergata,rome,roma,00133
7873,viale oxford 81azienda ospedaliera univ pol tor vergata  dermatologia,fondazione ptv  policlinico tor vergata,rome,roma,00133
7874,via montpellier 1dipartimento di neuroscienze,fondazione ptv policlinico tor vergata,lazio,roma,00133
7875,viale oxford 81uoc gastroenterologia ed endoscopia digestiva,fondazione ptv policlinico tor vergata,lazio,roma,00133
7876,viale oxford 81uoc servizio di reumatologia,fondazione ptv policlinico tor vergata,lazio,roma,00133
7877,viale oxford 81uoc oncoematologia,fondazione ptv policlinico tor vergata,lazio,roma,00133
7878,viale oxford 81uoc gastroenterologia ed endoscopia digestiva,fondazione ptv policlinico tor vergata,lazio,roma,00133
7879,viale oxford 81,fondazione ptv policlinico tor vergata,lazio,roma,00133
7880,viale oxford 81uoc gastroenterologia ed endoscopia digestiva,fondazione ptv policlinico tor vergata,lazio,roma,00133
7881,viale oxford 81,fondazione ptv policlinico tor vergata,lazio,roma,00133
7882,viale oxford 81uoc gastroenterologia ed endoscopia digestiva,fondazione ptv policlinico tor vergata,lazio,roma,00133
7883,viale oxford 81uoc gastroenterologia ed endoscopia digestiva,fondazione ptv policlinico tor vergata,lazio,roma,00133
7884,viale oxford 81uoc gastroenterologia ed endoscopia digestiva,fondazione ptv policlinico tor vergata,lazio,roma,00133
7885,viale oxford 81uoc gastroenterologia ed endoscopia digestiva,fondazione ptv policlinico tor vergata,lazio,roma,00133
7886,viale oxford 81azienda ospedaliera universitaria policlinico tor vergata,fondazione ptv policlinico tor vergata,lazio,rome,00133
7887,viale oxford 81azienda ospedaliera universitaria policlinico tor vergata,fondazione ptv policlinico tor vergata,lazio,rome,00133
7888,viale oxford 81azienda ospedaliera universitaria policlinico tor vergata,fondazione ptv policlinico tor vergata,lazio,rome,00133
7889,viale oxford 81azienda ospedaliera universitaria policlinico tor vergata,fondazione ptv policlinico tor vergata,lazio,rome,00133
7890,viale oxford 81azienda ospedaliera universitaria policlinico tor vergata,fondazione ptv policlinico tor vergata,lazio,rome,00133
