SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,CONCAT_ADDRESS
938530,CDM,IQVIA,91501,410,1-4CSCIDY,Algeria,CHU Beni Messous,Alger,,16000,Selected,Issad Hassani
992263,CDM,PPD,C16021,1-8B6YRJ,,Algeria,EPH Mascara,Mascara,Mascara,29000,Disqualified,Mascara
992265,CDM,PPD,C16021,1-8B77BV,,Algeria,Centre Hospitalo Universitaire Sidi Bel Abes,Sidi Bel Abbès,Sidi Bel Abbès,,Disqualified,Rue Belahcel Mourad
946826,CDM,PPD,C16021,1-8B6YPK,,Algeria,Centre Hospitalier Universitaire Annaba,,Annaba,,Disqualified,Rue de Strasbourg
946827,CDM,PPD,C16021,1-8B6YQF,,Algeria,Centre Hospitalier Universitaires Sétif,,Setif,,Disqualified,Hopital de Sétif
982316,CDM,PPD,SHP-ELA-401,1-C929YY,,Algeria,Hopital Alger Est,,Algiers,16000,Disqualified,"41 Cité du 20 Août, Oued Erroumane El Achour"
976877,CDM,PPD,SHP675-301,1-49X0AEZ,,Algeria,Chu Mustapha Pacha,,Algiers,16000,Void,"Place du 1er Mai 1945, Sidi M'Hamed"
976908,CDM,PPD,SHP-ELA-401,1-C92A0B,,Algeria,CHU Hussein-Dey,,Algiers,16040,Disqualified,Hôpital N. Hamoud ( Ex-Parnet )Réanimation Pédiatrique
992275,CDM,PPD,C16021,1-8DTJE4,,Algeria,Centre Hospitalo Universitaire d'Oran,Oran,Oran,,Disqualified,Boulevard Doctor Benzerdjeb
992276,CDM,PPD,C16021,1-8DTJEN,,Algeria,Centre Hospitalo Universitaire de Beni Messous,,Unknown City,Algeria,Disqualified,123 Address
946485,CDM,PPD,C16021,1-8B6YS3,,Algeria,Centre Hospitalier Universitaire Tlemcen,Tlemcen,Tlemcen,13000,Disqualified,Boulevard Mohamed V
946486,CDM,PPD,C16021,1-8B77A7,,Algeria,Centre Hospitalo Universitaire de Batna,Batna,Batna,5000,Disqualified,Allées Mohamed Boudiaf
949046,CDM,PPD,C16021,1-8B6YQZ,,Algeria,Centre Pierre et Marie Curie,Alger,Sidi M'Hamed,16000,Disqualified,Place du 1er Mai 1945Centre Hospitalier Universitaire Mustapha Pacha
948441,CDM,PPD,C16021,1-8B77AR,,Algeria,Centre Hospitalo Universitaire de Constantine,Alger,Alger,16000,Disqualified,"11 BP, Colonel Amirouche"
