SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
938530,938530,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
946485,946485,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
946486,946486,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
946826,946826,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
946827,946827,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
946861,992276,0.0,0.0,1.0,3.0,1.0,Algeria,5.0
946862,992276,0.0,0.0,1.0,3.0,1.0,Algeria,5.0
948441,948441,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
949046,949046,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
976877,976877,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
976908,976908,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
982316,982316,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
989344,992275,0.0,0.0,1.0,3.0,0.0,Algeria,4.0
992263,992263,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
992264,992275,1.0,1.0,1.0,3.0,0.0,Algeria,6.0
992265,992265,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
992275,992275,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
992276,992276,1.0,1.0,1.0,3.0,1.0,Algeria,7.0
