SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
1024,CDM,PPD,SHP647-303,1-15FCJWR,,Argentina,Instituto CER S.A.,Buenos Aires,Quilmes,1878,,19,Vincente Lopez 1441
1280,CDM,PPD,SHP647-305,1-XVOCEY,,Argentina,Hospital Provincial Del Centenario,Santa Fe,Rosario,S2000KDS,,275,Urquiza 3100
1282,CDM,PPD,C16021,1-8DTJF6,,Argentina,Instituto de Oncologia Y Especialidades Medicas,Santa Fe,Rosario,S2000KZE,,277,Cordoba 2457
1286,CDM,PPD,C16021,01102,,Argentina,Hospital Iturraspe,Santa Fe,Santa Fe,S3000ADL,,281,Boulevard Carlos Pellegrini 3551
1031,CDM,PPD,C16021,1-8DTJFP,,Argentina,Instituto Medico Platense,Buenos Aires,La Plata,1897,,26,Calle 51 N° 315 Entre 1 Y 2
1288,CDM,PPD,C16019,01902,,Argentina,Hospital Iturraspe,Santa Fe,Santa Fe,S3006FTP,,283,Blas Parera 830-8349
1032,CDM,PPD,SHP607-202,1-15NDZEL,,Argentina,Hospital de Niños Sor Maria Ludovica,Buenos Aires,La Plata,1900,,27,"Calle 14 Nro 1631, Sala 6"
1034,CDM,PPD,Pevonedistat-3001,1-17Y2SJ8,,Argentina,Hospital Italiano de La Plata,Buenos Aires,La Plata,1900,,29,Avenida 51 nº1725 e/29 y 30
1035,CDM,PPD,FOS,161,,Argentina,National University of La Plata,Buenos Aires,La Plata,1900,,30,"Calle 47 y 115Facultad de Ciencias Exactas, Catedra de Inmunologia"
1291,CDM,PPD,HOS,127,,Argentina,Hospital de Niños de La Santisima Trinidad,Córdoba,Córdoba,X5000BNB,,286,"Bajada Pucara 1900, Departamento De Infectologia, Polo Hospitalario De Cordoba"
1292,CDM,IQVIA,MLN0002SC-3030,01003,1-2H5JBPO,Argentina,Centro de Investigaciones Clinicas Instituto del Corazon,Cordoba,Cordoba,X5000EVQ,,287,La Rioja 881
1038,CDM,PPD,C16021,1-CPUXQW,,Argentina,Hospital San Martin,Entre Ríos,Paraná,3100,,33,Presidente Peron Numero 450
1039,CDM,PRA,Brigatinib-3001,01002,1-1LRDX2U,Argentina,Centro Para la Atencion Integral del Paciente Oncologico,TUCUMAN,San Miguel De Tucuman,4000,,34,Avenida Domingo Faustino Sarmiento 157
1289,CDM,PPD,SHP607-202,1-1DINJAI,,Argentina,Instituto de Maternidad Nuestra Señora de La Merced,Tucumán,San Miguel de Tucumán,T4000CPC,,284,Avenida Fernando Mate de Luna 1535
1036,CDM,PPD,C16021,1-8B77E4,,Argentina,Instituto de Hematologia Y Medicina Clinica Dr Ruben Davoli,Santa Fe,Rosario,2000,,31,Laprida 1061
1293,CDM,PPD,SHP647-303,1-15ERY56,,Argentina,Clinica Universitaria Reina Fabiola,Córdoba,Córdoba,X5000FHP,,288,Oncativo 1248
1040,CDM,PPD,SHP647-301,1-XVMKOV,,Argentina,Centro Diagnostico Zabala,Salta,Salta,4400,,35,Zabala 432
1044,CDM,PPD,C16021,1-CPUXPI,,Argentina,Hospital San Roque,Córdoba,Córdoba,5000,,39,Bajada Pucará 1900
1045,CDM,PPD,SHP607-202,1-15NDZDM,,Argentina,Hospital Universitario de Maternidad Y Neonatología,Córdoba,Córdoba,5000,,40,Rodriguez Peña 285
1046,CDM,PRA,Brigatinib-3001,01004,1-1LR6Q30,Argentina,Sanatorio Duarte Quiros,CORDOBA,Cordoba,5000,,41,Avenida Duarte Quiros 1948
1042,CDM,PPD,GOS,1103,,Argentina,Centro Privado Metabólico,Córdoba,Córdoba,5000,,37,Agustin Garzon Aguila 187
1301,CDM,PRA,Ponatinib-3001,01002,1-1KD1XEI,Argentina,Sanatorio Allende,CORDOBA,Cordoba,X5000JHQ,,296,Avenida Hiplito Yrigoyen 384
1047,CDM,IQVIA,CHL-5001,032004,1-34Y578I,Argentina,Hospital Privado Centro Medico de Cordoba S.A,Cordoba,Cordoba,5016,,42,Av. Naciones Unidas 346Parque Velez Sarsfield
1306,CDM,PPD,C16021,1035,,Argentina,Hospital Cordoba,Córdoba,Córdoba,X5004CDT,,301,Avenida Patria 656
1307,CDM,PPD,C16021,1-CPUXOG,,Argentina,IPAC CARAFFA,Córdoba,Córdoba,X5009BSN,,302,Avenue Caraffa 2532
1049,CDM,PPD,C16019,1-2PWBPJ,,Argentina,Fundación Centro Oncológico de Integración Regional (COIR),Mendoza,Mendoza City,5500,,44,Montecaseros 1020
1304,CDM,PPD,C16021,1-CPUXRX,,Argentina,Hospital Italiano,Córdoba,Córdoba,X5004BAL,,299,Roma 550
1052,CDM,PPD,C16021,1-CPUXR9,,Argentina,Hospital Lagomaggiore,Mendoza,Mendoza City,5500,,47,Timoteo Gordillo S/n
1308,CDM,PRA,Ponatinib-3001,01003,1-1KD4OEQ,Argentina,Hospital Privado Centro Medico de Cordoba,CORDOBA,Cordoba,X5014KEH,,303,Naciones Unidas 346
1056,CDM,PPD,TAK-788-3001,1525ZZZZ,,Argentina,Instituto Médico Río Cuarto,Córdoba,Rio Cuarto,5800,,51,Hipólito Irigoyen 1020
1057,CDM,PPD,TAK-788-3001,1-50EM49C,,Argentina,Fundacion Koriza,La Pampa,Santa Rosa,6300,,52,Telen 1639
1058,CDM,PPD,C16021,1-CPUXP5,,Argentina,Clínica Señor de Los Milagros,Salta,Salta,A4400ERF,,53,Sarmiento 557
1060,CDM,PPD,SHP609-302,006,,Argentina,Hospital Universitario Austral,Ciudad Autónoma de BuenosAires,Buenos Aires,B1629AHJ,,55,"Avenida Juan D. Peron 1500, Asociacion Civil De Estudios Superiores"
1066,CDM,IQVIA,CHL-5001,032005,1-34Y574A,Argentina,Hospital Universitario Austral,Pilar,Buenos Aires,B1629ODT,,61,Av. Pte. Juan Domingo Peron 1500Ex Ruta 234 - Derqui
1068,CDM,PPD,SHP675-301,1-78W14RI,,Argentina,Centro Médico Santa María de la Salud,Buenos Aires,San Isidro,B1642,,63,Avenida del Libertador N° 16131
1069,CDM,PPD,SHP647-301,1-43I9S93,,Argentina,Hospital Nacional Alejandro Posadas,Buenos Aires,El Palomar,B1684,,64,Av. Marconi y Pte. Illia
1076,CDM,PPD,C16021,1-8DTJIZ,,Argentina,CIMEL,Buenos Aires,Lanús,B1824 KAJ,,71,Tucumán 1314
1077,CDM,PPD,C16021,1-8DTJHW,,Argentina,Sanatorio Itoiz,Buenos Aires,Avellaneda,B1870CID,,72,Alsina 174
1079,CDM,IQVIA,MLN0002SC-3030,01002,1-2H5JBP9,Argentina,Instituto Medico CER,Quilmes,Buenos Aires,B1878DVB,,74,Vicente Lopez 1441
1081,CDM,PPD,FOS,422,,Argentina,Sanatorio Urquiza,Buenos Aires,Quilmes,B1878EME,,76,Urquiza 1537
1083,CDM,PPD,C16019,01906,,Argentina,Hospital Italiano de La Plata,Buenos Aires,La Plata,B1900AX,,78,Calle 51 Numero 1724 Entre 29 Y 30
1085,CDM,IQVIA,NDMM-5002,032003,1-3ARZ359,Argentina,Hospital Italiano de La Plata,La Plata,Buenos Aires,B1900AXI,,80,Av. 51 entre 29 y 30
1087,CDM,PPD,Pevonedistat-3001,1-17Y2SIK,,Argentina,Hospital Interzonal General de Agudos General San Martín,Buenos Aires,La Plata,B1904CFH,,82,"Avenida 1, N° 1791"
