SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
1006,1006,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1007,1007,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1008,1008,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1009,1009,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1010,1010,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1011,1010,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1012,1012,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1013,1012,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1014,1014,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1015,1014,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1016,1014,1.0,1.0,1.0,0.0,1.0,Argentina,4.0
1017,1014,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1018,1014,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1019,1014,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1020,1020,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1021,1021,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1022,1021,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1023,1023,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1024,1024,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1025,1024,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1026,1024,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1027,1024,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1028,1024,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1029,1024,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1030,1024,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1031,1031,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1032,1032,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1033,1032,1.0,1.0,1.0,0.0,1.0,Argentina,4.0
1034,1034,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1035,1035,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1036,1036,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1037,1036,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1038,1038,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1039,1039,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1040,1040,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1041,1040,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1042,1042,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1043,1042,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1044,1044,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1045,1045,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1046,1046,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1047,1047,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1048,1047,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1049,1049,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1050,1049,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1051,1049,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1052,1052,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1053,1052,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1054,1052,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1055,1052,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1056,1056,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1057,1057,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1058,1058,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1059,1006,1.0,1.0,0.0,3.0,0.0,Argentina,5.0
1060,1060,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1061,1060,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1062,1006,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1063,1006,1.0,1.0,1.0,0.0,1.0,Argentina,4.0
1064,1006,1.0,1.0,1.0,3.0,0.0,Argentina,6.0
1065,1006,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1066,1066,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1067,1006,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1068,1068,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1069,1069,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1070,1069,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1071,1069,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1072,1069,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1073,1069,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1074,1069,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1075,1069,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1076,1076,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1077,1077,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1078,1024,0.0,1.0,1.0,3.0,0.0,Argentina,5.0
1079,1079,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1080,1079,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1081,1081,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1082,1081,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1083,1083,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1084,1083,1.0,1.0,1.0,0.0,1.0,Argentina,4.0
1085,1085,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1086,1034,1.0,1.0,1.0,3.0,0.0,Argentina,6.0
1087,1087,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1088,1088,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1089,1089,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1090,1090,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1091,1090,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1092,1092,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1093,1093,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1094,1093,0.0,1.0,1.0,3.0,1.0,Argentina,6.0
1095,1095,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1096,1096,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1097,1097,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1098,1097,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1099,1097,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1100,1097,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1101,1097,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1102,1097,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1103,1097,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1104,1104,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1105,1104,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1106,1104,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1107,1104,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1108,1096,0.0,0.0,1.0,3.0,1.0,Argentina,5.0
1109,1109,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1110,1007,0.0,0.0,1.0,3.0,0.0,Argentina,4.0
1111,1111,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1112,1111,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1113,1113,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1114,1113,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1115,1113,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1116,1113,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1117,1113,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1118,1118,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1119,1118,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1120,1118,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1121,1118,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1122,1118,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1123,1118,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1124,1118,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1125,1125,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1126,1125,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1127,1125,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1128,1125,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1129,1125,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1130,1125,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1131,1125,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1132,1125,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1133,1133,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1134,1134,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1135,1134,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1136,1136,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1137,1136,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1138,1138,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1139,1139,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1140,1140,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1141,1141,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1142,1142,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1143,1143,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1144,1144,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1145,1144,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1146,1144,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1147,1144,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1148,1144,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1149,1144,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1150,1144,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1151,1144,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1152,1152,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
