SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
1540,CDM,PPD,TAK-007-2001,1-BX0K5YC,,Australia,Peter MacCallum Cancer Centre,Victoria,Melbourne,3052,,226,"Grattan Street, ParkvilleMedical Oncology, Level 2"
1541,CDM,PPD,MLN0002-3025,3025-02001,,Australia,Royal Children's Hospital Melbourne - PIN,Victoria,Parkville,3052,,227,50 Flemington Rd
1553,CDM,PRA,Brigatinib-2002,02004,1-1KA4276,Australia,Saint Vincent's Hospital Melbourne,VIC,Fitzroy,3065,,239,41 Victoria Parade
1555,CDM,IQVIA,MLN0002SC-3030,02010,1-27YXAXT,Australia,"Sanz,Ruth St Vincent's Hospital Melbourne",Fitzroy,Victoria,3065,,241,"41 Victoria Parade, Pharmacy DepartmentLevel 2 Healy Wing"
1559,CDM,PPD,SHP647-301,1-XVZKRX,,Australia,St Vincents Hospital Melbourne - PPDS,Vic,Fitzroy,3065,,245,"Regent Street, Ip Pharmacy Store, Loading DockDepartment Of Gastroenterology"
1561,CDM,PPD,SHP647-307,307-004,,Australia,St Vincents Hospital Melbourne - PPDS,Victoria,Fitzroy,3065,,247,35 Victoria Parade
1566,CDM,PPD,SHP620-302,1-B8RE18O,,Australia,St Vincents Hospital Melbourne - PPDS,Victoria,Melbourne,3065,,252,"41 Victoria Parade, Fitzroyhaematology trials unit"
1575,CDM,PPD,Pevonedistat-2001,1-D87MYR,,Australia,Northern Hospital,Victoria,Epping,3076,,261,185 Cooper Street
1577,CDM,IQVIA,CHL-5001,036004,1-3C0R3MB,Australia,Austin Health,Heidelberg Heights,Victoria,3081,,263,"300 Waterdale Road, Heidelberg Repatriation Hospital"
1578,CDM,PRA,Vedolizumab-3035,02002,1-1LL83E1,Australia,Austin Health,VIC,Heidelberg,3084,,264,145 Studley Road
1579,CDM,PPD,TAK-788-3001,1-507A3WB,,Australia,Austin Health,Victoria,Heidelberg,3084,,265,145 Studley RoadLvl 8 Harold Stokes buildingAustin Health
1588,CDM,ICON,C25003,,87177,Australia,Austin Hospital,VIC,Heidelberg,3084,,274,"Cancer Clinical Trials, Level 4Austin Hospital, 145 Studley RoadPO Box 5555"
1589,CDM,PPD,TAK-007-2001,1-8DNKYUV,,Australia,Austin Hospital,Victoria,Heidelberg,3084,,275,"145 Studley RdLevel 5, Harold Stokes BuildingInstitute of Breathing and Sleep (IBAS)"
1591,CDM,PPD,SHP647-301,1-XVZWRU,,Australia,Austin Hospital,Victoria,Heidelberg,3084,,277,145 Studley Road
1601,CDM,PRA,TAK-041-2001,Stough,1-1L8GD83,Australia,Swinburne University of Technology,VIC,Hawthorn,3122,,287,Brain Sciences Institute400 Burwood Road
1602,CDM,IQVIA,TAK-883-3001,303,1-4TQYWJ2,Australia,Box Hill Hospital,Box Hill,Victoria,3128,,288,8 Arnold Street
1605,CDM,PRA,Ponatinib-3001,02002,1-1KRDLJ6,Australia,Box Hill Hospital,VIC,Box Hill,3128,,291,ECRU Level 25 Arnold Street
1606,CDM,PPD,TAK-007-2001,1-8DBWBUS,,Australia,Box Hill Hospital,Victoria,Box Hill,3128,,292,28-32 Arnold StECRU Oncology Research
1616,CDM,PRA,C31004,02005,1-1C4P6NL,Australia,Cabrini Hospital - Malvern,VIC,Malvern,3144,,302,183 Wattletree RoadSuite 19 Cabrini Malvern
1617,CDM,PPD,TAK-788-3001,1-507A44E,,Australia,Cabrini Hospital Malvern,Victoria,Malven,3144,,303,183 Wattletree RdCabrini Hospital
1628,CDM,PPD,TAK-788-3001,1-507A3VL,,Australia,Monash Medical Centre - Moorabbin Campus,Victoria,East Bentleigh,3165,,314,823-865 Centre RoadMedical Oncology Unit
1629,CDM,IQVIA,MLN0002SC-3030,02002,1-27YXB2K,Australia,Monash Medical Centre Clayton,Bentleigh East,Victoria,3165,,315,823-865 Centre Road
1630,CDM,PPD,MLN0002-3024,1-7K1HL1H,,Australia,Monash Children's Hospital,Victoria,Clayton,3168,,316,246 Clayton Rd
1632,CDM,PPD,SHP647-306,1-16CZMMJ,,Australia,"Monash Health, Monash Medical Centre",Vic,Clayton,3168,,318,246 Clayton Road
1640,CDM,PPD,MLN0002-3024,3024-02003,,Australia,"Monash Health, Monash Medical Centre",Victoria,Clayton,3168,,326,246 Clayton Rd
1646,CDM,PRA,C31004,02008,1-1C4P6TV,Australia,Monash Medical Centre,VIC,Clayton,3168,,332,246 Clayton Road
1649,CDM,IQVIA,CHL-5001,036002,1-34Y4PJ4,Australia,Monash Medical Centre Clayton,Clayton,Victoria,3168,,335,"246 Clayton RoadSt AlbansMonash health, Monash Medical Center"
1652,CDM,IQVIA,MLN0002SC-3030,02014,1-27YXB25,Australia,The Alfred Hospital,Melbourne,Victoria,3181,,338,"The Alfred (AIRMED, Level 5, Main Ward Block)55 Commercial Road"
1654,CDM,PPD,SHP647-306,1-1G0SO3U,,Australia,The Alfred Hospital,Vic,"Melbourne, VIC",3181,,340,"Commercial Road , PrahranIntensive Care Unit"
1657,CDM,PRA,C31004,02005A,1-1JM5UZM,Australia,Cabrini Hospital - Brighton,VIC,Brighton,3186,,343,243 New Street
1658,CDM,IQVIA,TAK-883-3001,304,1-4TQYWL4,Australia,Frankston Hospital,Frankston,Victoria,3199,,344,"Hastings Road, Oncology Day UnitPeninsula Heart Centre"
1659,CDM,PPD,C16029,1-Y2R3J7,,Australia,Frankston Hospital,Vic,Frankston,3199,,345,525 McClelland Drive
1660,CDM,PPD,C16021,02102,,Australia,Frankston Hospital,Victoria,Frankston,3199,,346,Hastings Road
1661,CDM,PPD,SHP647-307,1-192HH2O,,Australia,Frankston Private Day Surgery,Victoria,Frankston,3199,,347,24-28 Frankston-Flinders RoadLevel 2
1665,CDM,PRA,Brigatinib-2002,02002,1-1KA9GCQ,Australia,Peninsula & South Eastern Haematology and Oncology Group,VIC,Frankston,3199,,351,Frankston Private2428 FrankstonFlinders Road
1667,CDM,PRA,TAK-788-1004 DDI,02001,1-1NO1DLC,Australia,Peninsula and Southeast Oncology,VIC,Frankston,3199,,353,2428 FrankstonFlinders Road
1668,CDM,PPD,Pevonedistat-2001,1-D87N16,,Australia,Peninsula Health,Victoria,Frankston,3199,,354,Hastings RoadOncology Day Unit
1670,CDM,PPD,TAK-007-2001,1-8DBWBPA,,Australia,Andrew Love Cancer Center,Victoria,Geelong,3220,,356,70 Swanston St
1671,CDM,PPD,TAK-788-3001,1-507A3VY,,Australia,Barwon Health,Victoria,Geelong,3220,,357,70 Swanston StreetAndrew Love Cancer Centre
1672,CDM,PPD,SHP620-303,1-TI7BMH,,Australia,Geelong Hospital,Victoria,Geelong,3220,,358,PO Box 281
1674,CDM,ICON,C25003,,87185,Australia,The Geelong Hospital,VIC,Geelong,3220,,360,The Geelong Hospital70 Swanston St
1675,CDM,IQVIA,MLN0002SC-3030,02008,1-27YXAU7,Australia,Ballarat Base Hospital,Ballarat,Victoria,3350,,361,Drummond Street North
1677,CDM,PPD,TAK-007-2001,1-8DBWBPY,,Australia,Ballarat Health Services,Victoria,Ballarat Central,3350,,363,Drummond St
