SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
1315,1315,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1316,1316,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1317,1316,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1318,1316,1.0,0.0,1.0,3.0,1.0,Australia,6.0
1319,1319,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1320,1320,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1321,1320,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1322,1322,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1323,1322,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1324,1322,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1325,1322,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1326,1322,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1327,1322,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1328,1328,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1329,1329,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1330,1329,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1331,1329,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1332,1329,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1333,1329,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1334,1329,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1335,1329,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1336,1329,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1337,1329,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1338,1329,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1339,1339,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1340,1340,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1341,1340,0.0,0.0,0.0,3.0,1.0,Australia,4.0
1342,1342,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1343,1342,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1344,1342,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1345,1342,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1346,1346,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1347,1346,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1348,1348,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1349,1348,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1350,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1351,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1352,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1353,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1354,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1355,1350,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1356,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1357,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1358,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1359,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1360,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1361,1350,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1362,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1363,1350,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1364,1364,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1365,1365,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1366,1366,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1367,1366,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1368,1368,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1369,1369,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1370,1369,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1371,1369,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1372,1372,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1373,1372,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1374,1372,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1375,1375,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1376,1375,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1377,1377,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1378,1378,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1379,1379,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1380,1379,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1381,1381,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1382,1381,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1383,1381,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1384,1381,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1385,1381,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1386,1381,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1387,1381,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1388,1381,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1389,1381,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1390,1381,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1391,1391,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1392,1381,1.0,0.0,1.0,3.0,1.0,Australia,6.0
1393,1391,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1394,1394,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1395,1395,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1396,1395,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1397,1395,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1398,1395,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1399,1395,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1400,1395,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1401,1395,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1402,1402,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1403,1395,1.0,0.0,1.0,3.0,1.0,Australia,6.0
1404,1404,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1405,1404,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1406,1404,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1407,1404,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1408,1404,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1409,1404,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1410,1404,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1411,1411,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1412,1404,1.0,0.0,1.0,3.0,1.0,Australia,6.0
1413,1411,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1414,1411,1.0,1.0,1.0,0.0,1.0,Australia,4.0
1415,1415,1.0,1.0,1.0,3.0,1.0,Australia,7.0
