SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
2621,29973.0,Instituto Do Câncer Arnaldo Vieira de Carvalho,Instituto Do Câncer Arnaldo Vieira de Carvalho,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,Rua Aurora 8583o. andar,Rua Aurora 8583o. andar,3.0,01209-000,01209-000,1.0,7.0
2622,29974.0,IPEC - Instituto de Pesquisa Clínica,IPEC - Instituto de Pesquisa Clínica,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Marques de Itu, 503Conj. 31","Rua Marques de Itu, 503Conj. 31",3.0,01223-001,01223-001,1.0,7.0
2623,2622.0,IPEC - Instituto de Pesquisa Clínica,IPEC - Instituto de Pesquisa Clínica,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Marques de Itu, 503Conj. 31","Rua Marques de Itu, 503Conj. 31",3.0,01223-001,01223-001,1.0,7.0
2624,2622.0,IPEC - Instituto de Pesquisa Clínica,IPEC - Instituto de Pesquisa Clínica,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Marques de Itu, 503Conj. 31","Rua Marques de Itu, 503Conj. 31",3.0,01223-001,01223-001,1.0,7.0
2625,2622.0,IPEC - Instituto de Pesquisa Clínica,IPEC - Instituto de Pesquisa Clínica,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Marques de Itu, 503Conj. 31","Rua Marques de Itu, 503Conj. 31",3.0,01223-001,01223-001,1.0,7.0
2626,2622.0,IPEC - Instituto de Pesquisa Clínica,IPEC - Instituto de Pesquisa Clínica,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Marques de Itu, 503Conj. 31","Rua Marques de Itu, 503Conj. 31",3.0,01223-001,01223-001,1.0,7.0
2627,2622.0,IPEC - Instituto de Pesquisa Clínica,IPEC - Instituto de Pesquisa Clínica,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Marques de Itu, 503Conj. 31","Rua Marques de Itu, 503Conj. 31",3.0,01223-001,01223-001,1.0,7.0
2628,2622.0,IPEC - Instituto de Pesquisa Clínica,IPEC - Instituto de Pesquisa Clínica,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Marques de Itu, 503Conj. 31","Rua Marques de Itu, 503Conj. 31",3.0,01223-001,01223-001,1.0,7.0
2629,29981.0,Instituto de Ensino E Pesquisa São Lucas,Instituto de Ensino E Pesquisa São Lucas,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Arnolfo De Azevedo, 121","Rua Arnolfo De Azevedo, 121",3.0,01236-030,01236-030,1.0,7.0
2630,2629.0,Instituto de Ensino E Pesquisa São Lucas,Instituto de Ensino E Pesquisa São Lucas,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Arnolfo De Azevedo, 121","Rua Arnolfo De Azevedo, 121",3.0,01236-030,01236-030,1.0,7.0
2631,2629.0,Instituto de Ensino E Pesquisa São Lucas,Instituto de Ensino E Pesquisa São Lucas,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Arnolfo de Azevedo, 121, PacaembuPacaembuSão Paulo - SP","Rua Arnolfo De Azevedo, 121",0.0,01236-030,01236-030,1.0,4.0
2632,29984.0,Hospital São Paulo,Hospital São Paulo,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Novo Horizonte 94, Ap. 22, Sender Miszputen","Rua Novo Horizonte 94, Ap. 22, Sender Miszputen",3.0,01244-020,01244-020,1.0,7.0
2633,2632.0,Hospital São Paulo,Hospital São Paulo,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Novo Horizonte 94, Ap. 22, Sender Miszputen","Rua Novo Horizonte 94, Ap. 22, Sender Miszputen",3.0,01244-020,01244-020,1.0,7.0
2634,2632.0,Hospital São Paulo,Hospital São Paulo,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Novo Horizonte 94, Ap. 22, Sender Miszputen","Rua Novo Horizonte 94, Ap. 22, Sender Miszputen",3.0,01244-020,01244-020,1.0,7.0
2635,2632.0,Hospital São Paulo,Hospital São Paulo,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Novo Horizonte 94, Ap. 22, Sender Miszputen","Rua Novo Horizonte 94, Ap. 22, Sender Miszputen",3.0,01244-020,01244-020,1.0,7.0
2636,2632.0,Hospital São Paulo,Hospital São Paulo,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Novo Horizonte 94, Ap. 22, Sender Miszputen","Rua Novo Horizonte 94, Ap. 22, Sender Miszputen",3.0,01244-020,01244-020,1.0,7.0
2637,29989.0,Instituto Do Câncer Do Estado de São Paulo Octávio Frias de Oliveira,Instituto Do Câncer Do Estado de São Paulo Octávio Frias de Oliveira,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,Avenida Doutor Arnaldo Numero 251Oncologia Clinica Pesquisa Clinica,Avenida Doutor Arnaldo Numero 251Oncologia Clinica Pesquisa Clinica,3.0,01246 000,01246 000,1.0,7.0
2638,29990.0,Centro de Oncologia Inrad HCFMUSP,Centro de Oncologia Inrad HCFMUSP,1.0,São Paulo,São Paulo,1.0,São Paulo,São Paulo,1.0,"Rua Drive Arnaldo 251, 5º Andar","Rua Drive Arnaldo 251, 5º Andar",3.0,01246-000,01246-000,1.0,7.0
2639,29991.0,Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo,Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo,1.0,SAO PAULO,SAO PAULO,1.0,Sao Paulo,Sao Paulo,1.0,Avendia Doutor Arnaldo 251Pesquisa ClnicaCerqueira Cesar,Avendia Doutor Arnaldo 251Pesquisa ClnicaCerqueira Cesar,3.0,01246-000,01246-000,1.0,7.0
