SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
2621,2621,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2622,2622,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2623,2622,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2624,2622,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2625,2622,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2626,2622,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2627,2622,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2628,2622,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2629,2629,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2630,2629,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2631,2629,1.0,1.0,1.0,0.0,1.0,Brazil,4.0
2632,2632,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2633,2632,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2634,2632,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2635,2632,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2636,2632,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2637,2637,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2638,2638,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2639,2639,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2640,2639,0.0,1.0,1.0,3.0,1.0,Brazil,6.0
2641,2641,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2642,2642,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2643,2643,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2644,2643,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
