SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,CONCAT_ADDRESS
14339,CDM,PPD,FEB-1008,1-D1V3PB,,Canada,Montreal Children's Hospital,Quebec,Montreal,H3H 1P3,Disqualified,2300 Rue Tupper
4,CDM,ICON,C16007,,,Canada,IMI Contact Address - TBD,,,,ACTIVE,
14340,CDM,PPD,FEB-1008,1-D1V3PO,,Canada,Sainte Justine Hospital,Quebec,Montreal,H3T 1C5,Disqualified,"3175 Ch De Lane Côte-sainte-catherine, Pediatrics"
6152,CDM,IQVIA,TAK-883-3001,203,1-4RTU1EU,Canada,Institut Universitaire de Cardiologie et de Pneumologie de Quebec,Quebec,Quebec,G1V 4G5,Dropped,"2725 Chemin Ste-Foy, U-1771"
16398,CDM,PPD,C16029,1-YWQSNZ,,Canada,Windsor Regional Hospital,Ontario,Windsor,N8W 1L9,Disqualified,1995 Lens Avenue
36887,CDM,PRA,TAK-981-1501,07001,8180,Canada,Jewish General Hospital,Quebec,Montreal,H3T 1E2,Active Enrolling,3755 Chemin de la CteSainteCatherine
8215,CDM,PPD,C14023,1-41ZL995,,Canada,Tom Baker Cancer Centre,Alberta,Calgary,AB T2N 2T9,Disqualified,1403 29 Street Northwest
34843,CDM,PPD,TMX-67_301,3519,,Canada,"Alpha Clinical Research, LLC",Quebec,Quebec,G3K 2P8,Closed,1147 boul Pie XI N
18460,CDM,PPD,HGT-FIR-096,1-1KV34O,,Canada,McGill University Health Center,Quebec,Montreal,H3G 1A4,Disqualified,1650 Cedar Avenue
34844,CDM,PPD,TMX-67_301,3520,,Canada,Groupe de Recherche en Maladies Osseuses Inc.,Quebec,Quebec City,G1V 3M7,Closed,1200 Avenue Germains Des Pres.
8221,CDM,PPD,C14023,1-4204N9J,,Canada,Cancer Care Manitoba,Manitoba,Winnipeg,R3E 0V9,Void,675 McDermot Avenue
38945,CDM,PPD,Vedolizumab-4005,1-V6HALX,,Canada,Vancouver General Hospital,British Columbia,Vancouver,V5Z 1M9,Disqualified,855 West 12th Avenue
12321,CDM,PPD,C16014,1-E8Q6N,,Canada,Memorial University of Newfoundland,Newfoundland,Saint John's,A1B 3V6,Disqualified,300 Prince Philip Drive
45091,CTMS,PRA,AP26113-13-201,,,Canada,,,,,,
36908,CDM,PRA,AP26113-13-301,083,1-1F5KUQG,Canada,Princess Margaret Cancer Centre,ON,Toronto,M5G 2M9,Activated,610 University AvenueFloor 5207
2099,CDM,IQVIA,C14018,7101,1-14CAU66,Canada,Centre de santé et de services sociaux Champlain-Charles-Le Moyne,,,,,
41012,CTMS,PPD,C21005,07003,,Canada,Centre Hospitalier Universitaire de Sherbrooke-Hospital Fleurimont,,,,Closed,
41013,CTMS,PPD,C21005,07010,,Canada,Southern Interior Medical Research Incorporated,,,,Closed,
38968,CTMS,,C14005,07002,,Canada,Hopital Maisonneuve - Rosemont,,,,Closed,
38971,CTMS,,C14005,AML11,,Canada,Northwest Alabama Cancer Center,,,,Under Consideration,
38972,CTMS,,C14005,AML15,,Canada,Rush University Medical Center,,,,Under Consideration,
45117,CTMS,PPD,C21012,1-1IDB9UG,,Canada,Urology Resource Centre,,,,Withdrawn,
16446,CDM,PPD,HGT-FIR-096,1-1FOO0R,,Canada,Rockyview General Hospital,,Calgary,T2V 1,Disqualified,"7007 14th Street, Southwest"
41028,CTMS,PPD,C21004,07004,,Canada,London Health Sciences Centre/University Hospital,,,,Closed,
41029,CTMS,PPD,C21004,07006,,Canada,Guelph Urology Associates,,,,Closed,
41030,CTMS,PPD,C21004,07008,,Canada,Dr Ken Jansz,,,,Closed,
41031,CTMS,PPD,C21004,07026,,Canada,Sinkaf Incorporated,,,,Withdrawn,
45127,CTMS,Quintiles,AALL07P1,11001,,Canada,Montreal Children's Hospital,,,,Active,
12358,CDM,PPD,C16029,07002,,Canada,Lakeridge Health Center,Ontario,Oshawa,L1G 2B9,Closed,1 Hospital CourtLakeridge Health
77,CDM,ICON,C16007,,,Canada,Laboratory Shipment Address - Princess Margaret Hospital,Ontario,Toronto,M5G 2C1,ACTIVE,620 University Ave.8th FloorRoom 206
