SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
4,4,1.0,1.0,1.0,3.0,1.0,Canada,7.0
77,77,1.0,1.0,1.0,3.0,1.0,Canada,7.0
78,77,0.0,1.0,1.0,3.0,0.0,Canada,5.0
92,92,1.0,1.0,1.0,3.0,1.0,Canada,7.0
118,118,1.0,1.0,1.0,3.0,1.0,Canada,7.0
182,182,1.0,1.0,1.0,3.0,1.0,Canada,7.0
183,183,1.0,1.0,1.0,3.0,1.0,Canada,7.0
334,334,1.0,1.0,1.0,3.0,1.0,Canada,7.0
335,335,1.0,1.0,1.0,3.0,1.0,Canada,7.0
336,336,1.0,1.0,1.0,3.0,1.0,Canada,7.0
337,337,1.0,1.0,1.0,3.0,1.0,Canada,7.0
338,338,1.0,1.0,1.0,3.0,1.0,Canada,7.0
339,339,1.0,1.0,1.0,3.0,1.0,Canada,7.0
340,340,1.0,1.0,1.0,3.0,1.0,Canada,7.0
341,341,1.0,1.0,1.0,3.0,1.0,Canada,7.0
342,342,1.0,1.0,1.0,3.0,1.0,Canada,7.0
353,353,1.0,1.0,1.0,3.0,1.0,Canada,7.0
354,354,1.0,1.0,1.0,3.0,1.0,Canada,7.0
355,355,1.0,1.0,1.0,3.0,1.0,Canada,7.0
423,423,1.0,1.0,1.0,3.0,1.0,Canada,7.0
424,424,1.0,1.0,1.0,3.0,1.0,Canada,7.0
494,494,1.0,1.0,1.0,3.0,1.0,Canada,7.0
506,506,1.0,1.0,1.0,3.0,1.0,Canada,7.0
507,336,1.0,1.0,1.0,3.0,1.0,Canada,7.0
508,508,1.0,1.0,1.0,3.0,1.0,Canada,7.0
509,509,1.0,1.0,1.0,3.0,1.0,Canada,7.0
510,340,0.0,1.0,1.0,3.0,1.0,Canada,6.0
528,528,1.0,1.0,1.0,3.0,1.0,Canada,7.0
529,529,1.0,1.0,1.0,3.0,1.0,Canada,7.0
726,726,1.0,1.0,1.0,3.0,1.0,Canada,7.0
727,77,1.0,1.0,1.0,3.0,1.0,Canada,7.0
728,728,1.0,1.0,1.0,3.0,1.0,Canada,7.0
752,752,1.0,1.0,1.0,3.0,1.0,Canada,7.0
767,506,1.0,1.0,1.0,3.0,1.0,Canada,7.0
791,791,1.0,1.0,1.0,3.0,1.0,Canada,7.0
842,182,0.0,1.0,1.0,3.0,1.0,Canada,6.0
843,843,1.0,1.0,1.0,3.0,1.0,Canada,7.0
