SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,Unnamed: 15,CONCAT_ADDRESS
8193,CDM,IQVIA,261203,545,1-1XGRFSY,Italy,Fondazione IRCCS CA' Granda Ospedale Maggiore Policlinico,Milano,Milano,20122,,333,Via Pace 9
8195,CDM,IQVIA,SHP655-201,601,1-44KZA6W,Italy,Fondazione IRCCS CA' Granda Ospedale Maggiore Policlinico,Milano,Milano,20122,,335,"Via Pace, 9U.O.C. Medicina Generale- Emostasi e Trombosi"
8198,CDM,PPD,SHP634-401,401512,,Italy,Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico,Lombardia,Milano,20122,,338,Via Francesco SforzaEndocrinologia e Malattie Metabolichepadiglione Zonda
8199,CDM,PPD,SHP647-306,1-194Q8JR,,Italy,Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico,Lombardia,Milano,20122,,339,Via Francesco Sforza 28
8206,CDM,PPD,SHP647-304,1-4MONB8T,,Italy,Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico,Lombardia,Milano,20122,,346,Via Francesco Sforza 28U.O. Gastroenterologia ed Endoscopia Digestiva
8214,CDM,PPD,C16029,28018,,Italy,Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico,Milano,Milano,20122,,354,Via Francesco Sforza 35Dipartimento delle Units multispecialistiche e dei trapianti Area Ematologica Trasfusionale UOC Onc
8219,CDM,IQVIA,TAK-994-1501,28003,1-53CJ2HN,Italy,Ospedale San Raffaele (San Raffaele Turro),Milano,Milano,20127,,359,"Via Stamira D'Ancona, 20"
8220,CDM,PRA,Ponatinib-3001,28003,1-1KR0U49,Italy,Istituto Scientifico Universitario San Raffaele,MILANO,Milano,20132,,360,Dipartimento di OncoematologicaVia Olgettina 60
8221,CDM,PRA,Brigatinib-3001,28015,1-1L6OLO8,Italy,Istituto Scientifico Universitario San Raffaele,MILANO,Milano,20132,,361,Unit Operativa di Oncologia MedicaVia Olgettina 60
8223,CDM,IQVIA,C34001,28003,1-2NB9B0I,Italy,Ospedale San Raffaele,Milan,Milano,20132,,363,"Via Olgettina, 60Ambulatori di Ematologia settore R piano -1"
8224,CDM,PRA,Brigatinib-1001,28001,1-1K6TWDB,Italy,Ospedale San Raffaele,MILANO,Milano,20132,,364,Via Olgettina 60Dipartimento di Oncologia MedicaSettore Q  1 piano
8225,CDM,PPD,SHP647-307,1-4MLX3S8,,Italy,Ospedale San Raffaele S.r.l. - PPDS,Lombardia,Milan,20132,,365,Via Olgettina 60
8228,CDM,PPD,SHP647-301,1-XGCP7R,,Italy,Ospedale San Raffaele S.r.l. - PPDS,Lombardia,Milano,20132,,368,Via Olgettina 60Unità Funzionale Epatogastroenterologia Clinica
8233,CDM,PPD,TAK-079-1005,1-5D7EOWR,,Italy,Ospedale San Raffaele S.r.l. - PPDS,Milano,Milan,20132,,373,Via Olgettina 48Unità Operativa Di Neurologia
8234,CDM,PRA,C31004,28001,1-1C5QLEE,Italy,Fondazione IRCCS - Istituto Nazionale dei Tumori - Milano,MILANO,Milano,20133,,374,Via Giacomo Venezian 1
8235,CDM,PPD,TAK-079-1005,1-5D7EOWE,,Italy,Fondazione IRCCS Di Rilievo Nazionale Istituto Nazionale Neurologico Carlo Besta,Lombardia,Milano,20133,,375,"Via Celoria, 11U.O.C. NEUROLOGIA 4 - Neuroimmunologia e Malattie Neuromuscolari"
8236,CDM,ICON,C25003,,5593,Italy,Fondazione IRCCS Istituto Nazionale dei Tumori,Lombardy,Milano,20133,,376,via Venezian 1
