SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
1,1,1.0,1.0,1.0,3.0,1.0,Italy,7.0
2,2,1.0,1.0,1.0,3.0,1.0,Italy,7.0
3,3,1.0,1.0,1.0,3.0,1.0,Italy,7.0
4,4,1.0,1.0,1.0,3.0,1.0,Italy,7.0
5,5,1.0,1.0,1.0,3.0,1.0,Italy,7.0
6,1,0.0,0.0,1.0,3.0,1.0,Italy,5.0
7,7,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8,8,1.0,1.0,1.0,3.0,1.0,Italy,7.0
9,9,1.0,1.0,1.0,3.0,1.0,Italy,7.0
10,4,1.0,1.0,1.0,3.0,1.0,Italy,7.0
11,11,1.0,1.0,1.0,3.0,1.0,Italy,7.0
12,12,1.0,1.0,1.0,3.0,1.0,Italy,7.0
13,12,0.0,0.0,0.0,3.0,1.0,Italy,4.0
14,14,1.0,1.0,1.0,3.0,1.0,Italy,7.0
15,15,1.0,1.0,1.0,3.0,1.0,Italy,7.0
16,15,0.0,0.0,1.0,3.0,1.0,Italy,5.0
17,15,0.0,0.0,1.0,3.0,1.0,Italy,5.0
18,18,1.0,1.0,1.0,3.0,1.0,Italy,7.0
19,19,1.0,1.0,1.0,3.0,1.0,Italy,7.0
20,19,0.0,0.0,0.0,3.0,1.0,Italy,4.0
21,21,1.0,1.0,1.0,3.0,1.0,Italy,7.0
22,1,1.0,0.0,1.0,3.0,1.0,Italy,6.0
23,23,1.0,1.0,1.0,3.0,1.0,Italy,7.0
24,24,1.0,1.0,1.0,3.0,1.0,Italy,7.0
25,25,1.0,1.0,1.0,3.0,1.0,Italy,7.0
26,25,0.0,1.0,1.0,3.0,1.0,Italy,6.0
27,27,1.0,1.0,1.0,3.0,1.0,Italy,7.0
28,28,1.0,1.0,1.0,3.0,1.0,Italy,7.0
29,29,1.0,1.0,1.0,3.0,1.0,Italy,7.0
30,30,1.0,1.0,1.0,3.0,1.0,Italy,7.0
31,31,1.0,1.0,1.0,3.0,1.0,Italy,7.0
32,32,1.0,1.0,1.0,3.0,1.0,Italy,7.0
33,33,1.0,1.0,1.0,3.0,1.0,Italy,7.0
34,34,1.0,1.0,1.0,3.0,1.0,Italy,7.0
35,35,1.0,1.0,1.0,3.0,1.0,Italy,7.0
36,36,1.0,1.0,1.0,3.0,1.0,Italy,7.0
37,25,0.0,0.0,1.0,3.0,1.0,Italy,5.0
38,25,0.0,0.0,1.0,3.0,1.0,Italy,5.0
39,15,1.0,0.0,1.0,3.0,1.0,Italy,6.0
40,15,1.0,0.0,1.0,3.0,1.0,Italy,6.0
41,29,0.0,0.0,1.0,3.0,1.0,Italy,5.0
42,42,1.0,1.0,1.0,3.0,1.0,Italy,7.0
43,43,1.0,1.0,1.0,3.0,1.0,Italy,7.0
44,44,1.0,1.0,1.0,3.0,1.0,Italy,7.0
45,45,1.0,1.0,1.0,3.0,1.0,Italy,7.0
46,46,1.0,1.0,1.0,3.0,1.0,Italy,7.0
47,47,1.0,1.0,1.0,3.0,1.0,Italy,7.0
48,48,1.0,1.0,1.0,3.0,1.0,Italy,7.0
49,48,0.0,0.0,1.0,3.0,1.0,Italy,5.0
50,1,0.0,0.0,1.0,3.0,1.0,Italy,5.0
51,31,1.0,1.0,1.0,3.0,1.0,Italy,7.0
52,52,1.0,1.0,1.0,3.0,1.0,Italy,7.0
53,53,1.0,1.0,1.0,3.0,1.0,Italy,7.0
54,54,1.0,1.0,1.0,3.0,1.0,Italy,7.0
55,55,1.0,1.0,1.0,3.0,1.0,Italy,7.0
56,56,1.0,1.0,1.0,3.0,1.0,Italy,7.0
57,57,1.0,1.0,1.0,3.0,1.0,Italy,7.0
58,58,1.0,1.0,1.0,3.0,1.0,Italy,7.0
59,59,1.0,1.0,1.0,3.0,1.0,Italy,7.0
60,33,0.0,0.0,1.0,3.0,1.0,Italy,5.0
61,61,1.0,1.0,1.0,3.0,1.0,Italy,7.0
62,25,0.0,0.0,1.0,3.0,1.0,Italy,5.0
63,15,1.0,0.0,1.0,3.0,1.0,Italy,6.0
64,64,1.0,1.0,1.0,3.0,1.0,Italy,7.0
65,65,1.0,1.0,1.0,3.0,1.0,Italy,7.0
66,19,0.0,0.0,1.0,3.0,1.0,Italy,5.0
67,45,0.0,0.0,1.0,3.0,1.0,Italy,5.0
68,45,1.0,0.0,1.0,3.0,1.0,Italy,6.0
69,48,0.0,0.0,1.0,3.0,1.0,Italy,5.0
70,1,0.0,0.0,1.0,3.0,1.0,Italy,5.0
71,71,1.0,1.0,1.0,3.0,1.0,Italy,7.0
72,72,1.0,1.0,1.0,3.0,1.0,Italy,7.0
73,73,1.0,1.0,1.0,3.0,1.0,Italy,7.0
74,74,1.0,1.0,1.0,3.0,1.0,Italy,7.0
75,73,1.0,1.0,1.0,0.0,1.0,Italy,4.0
76,76,1.0,1.0,1.0,3.0,1.0,Italy,7.0
77,53,1.0,1.0,1.0,0.0,1.0,Italy,4.0
78,78,1.0,1.0,1.0,3.0,1.0,Italy,7.0
79,79,1.0,1.0,1.0,3.0,1.0,Italy,7.0
80,80,1.0,1.0,1.0,3.0,1.0,Italy,7.0
81,81,1.0,1.0,1.0,3.0,1.0,Italy,7.0
82,82,1.0,1.0,1.0,3.0,1.0,Italy,7.0
83,83,1.0,1.0,1.0,3.0,1.0,Italy,7.0
84,84,1.0,1.0,1.0,3.0,1.0,Italy,7.0
85,85,1.0,1.0,1.0,3.0,1.0,Italy,7.0
86,86,1.0,1.0,1.0,3.0,1.0,Italy,7.0
87,7,0.0,0.0,1.0,3.0,1.0,Italy,5.0
88,8,0.0,0.0,1.0,3.0,1.0,Italy,5.0
89,89,1.0,1.0,1.0,3.0,1.0,Italy,7.0
90,90,1.0,1.0,1.0,3.0,1.0,Italy,7.0
91,48,0.0,0.0,0.0,3.0,1.0,Italy,4.0
92,92,1.0,1.0,1.0,3.0,1.0,Italy,7.0
93,32,0.0,1.0,1.0,3.0,1.0,Italy,6.0
94,94,1.0,1.0,1.0,3.0,1.0,Italy,7.0
95,95,1.0,1.0,1.0,3.0,1.0,Italy,7.0
96,33,0.0,0.0,1.0,3.0,1.0,Italy,5.0
97,97,1.0,1.0,1.0,3.0,1.0,Italy,7.0
98,42,0.0,1.0,1.0,3.0,1.0,Italy,6.0
99,99,1.0,1.0,1.0,3.0,1.0,Italy,7.0
100,100,1.0,1.0,1.0,3.0,1.0,Italy,7.0
101,99,0.0,0.0,1.0,3.0,1.0,Italy,5.0
102,102,1.0,1.0,1.0,3.0,1.0,Italy,7.0
103,47,0.0,0.0,1.0,3.0,1.0,Italy,5.0
104,48,0.0,0.0,1.0,3.0,1.0,Italy,5.0
105,105,1.0,1.0,1.0,3.0,1.0,Italy,7.0
106,106,1.0,1.0,1.0,3.0,1.0,Italy,7.0
107,107,1.0,1.0,1.0,3.0,1.0,Italy,7.0
108,108,1.0,1.0,1.0,3.0,1.0,Italy,7.0
109,32,0.0,0.0,1.0,3.0,1.0,Italy,5.0
110,110,1.0,1.0,1.0,3.0,1.0,Italy,7.0
111,73,1.0,1.0,1.0,3.0,1.0,Italy,7.0
112,112,1.0,1.0,1.0,3.0,1.0,Italy,7.0
113,113,1.0,1.0,1.0,3.0,1.0,Italy,7.0
114,114,1.0,1.0,1.0,3.0,1.0,Italy,7.0
115,115,1.0,1.0,1.0,3.0,1.0,Italy,7.0
116,116,1.0,1.0,1.0,3.0,1.0,Italy,7.0
117,117,1.0,1.0,1.0,3.0,1.0,Italy,7.0
118,35,1.0,1.0,1.0,0.0,1.0,Italy,4.0
119,35,1.0,1.0,1.0,3.0,1.0,Italy,7.0
120,120,1.0,1.0,1.0,3.0,1.0,Italy,7.0
121,56,1.0,1.0,1.0,0.0,1.0,Italy,4.0
122,122,1.0,1.0,1.0,3.0,1.0,Italy,7.0
123,123,1.0,1.0,1.0,3.0,1.0,Italy,7.0
124,124,1.0,1.0,1.0,3.0,1.0,Italy,7.0
125,35,1.0,1.0,1.0,3.0,1.0,Italy,7.0
126,126,1.0,1.0,1.0,3.0,1.0,Italy,7.0
127,127,1.0,1.0,1.0,3.0,1.0,Italy,7.0
128,128,1.0,1.0,1.0,3.0,1.0,Italy,7.0
129,129,1.0,1.0,1.0,3.0,1.0,Italy,7.0
130,130,1.0,1.0,1.0,3.0,1.0,Italy,7.0
131,131,1.0,1.0,1.0,3.0,1.0,Italy,7.0
132,132,1.0,1.0,1.0,3.0,1.0,Italy,7.0
133,133,1.0,1.0,1.0,3.0,1.0,Italy,7.0
134,134,1.0,1.0,1.0,3.0,1.0,Italy,7.0
135,135,1.0,1.0,1.0,3.0,1.0,Italy,7.0
136,136,1.0,1.0,1.0,3.0,1.0,Italy,7.0
137,137,1.0,1.0,1.0,3.0,1.0,Italy,7.0
138,138,1.0,1.0,1.0,3.0,1.0,Italy,7.0
139,139,1.0,1.0,1.0,3.0,1.0,Italy,7.0
140,140,1.0,1.0,1.0,3.0,1.0,Italy,7.0
141,141,1.0,1.0,1.0,3.0,1.0,Italy,7.0
142,142,1.0,1.0,1.0,3.0,1.0,Italy,7.0
143,143,1.0,1.0,1.0,3.0,1.0,Italy,7.0
144,144,1.0,1.0,1.0,3.0,1.0,Italy,7.0
145,145,1.0,1.0,1.0,3.0,1.0,Italy,7.0
146,146,1.0,1.0,1.0,3.0,1.0,Italy,7.0
147,147,1.0,1.0,1.0,3.0,1.0,Italy,7.0
148,148,1.0,1.0,1.0,3.0,1.0,Italy,7.0
