SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
938530,938530,CHU Beni Messous,CHU Beni Messous,1.0,Alger,Alger,1.0,,,1.0,Issad Hassani,Issad Hassani,3.0,16000,16000,1.0,7.0
946485,946485,Centre Hospitalier Universitaire Tlemcen,Centre Hospitalier Universitaire Tlemcen,1.0,Tlemcen,Tlemcen,1.0,Tlemcen,Tlemcen,1.0,Boulevard Mohamed V,Boulevard Mohamed V,3.0,13000,13000,1.0,7.0
946486,946486,Centre Hospitalo Universitaire de Batna,Centre Hospitalo Universitaire de Batna,1.0,Batna,Batna,1.0,Batna,Batna,1.0,Allées Mohamed Boudiaf,Allées Mohamed Boudiaf,3.0,5000,5000,1.0,7.0
946826,946826,Centre Hospitalier Universitaire Annaba,Centre Hospitalier Universitaire Annaba,1.0,,,1.0,Annaba,Annaba,1.0,Rue de Strasbourg,Rue de Strasbourg,3.0,,,1.0,7.0
946827,946827,Centre Hospitalier Universitaires Sétif,Centre Hospitalier Universitaires Sétif,1.0,,,1.0,Setif,Setif,1.0,Hopital de Sétif,Hopital de Sétif,3.0,,,1.0,7.0
946861,992276,Centre Hospitalo Universitaire de Blida,Centre Hospitalo Universitaire de Beni Messous,0.0,,,0.0,Unknown City,Unknown City,1.0,123 Address,123 Address,3.0,Algeria,Algeria,1.0,5.0
946862,992276,Centre Hospitalo Universitaire de Tizi Ouzou,Centre Hospitalo Universitaire de Beni Messous,0.0,,,0.0,Unknown City,Unknown City,1.0,123 Address,123 Address,3.0,Algeria,Algeria,1.0,5.0
948441,948441,Centre Hospitalo Universitaire de Constantine,Centre Hospitalo Universitaire de Constantine,1.0,Alger,Alger,1.0,Alger,Alger,1.0,"11 BP, Colonel Amirouche","11 BP, Colonel Amirouche",3.0,16000,16000,1.0,7.0
949046,949046,Centre Pierre et Marie Curie,Centre Pierre et Marie Curie,1.0,Alger,Alger,1.0,Sidi M'Hamed,Sidi M'Hamed,1.0,Place du 1er Mai 1945Centre Hospitalier Universitaire Mustapha Pacha,Place du 1er Mai 1945Centre Hospitalier Universitaire Mustapha Pacha,3.0,16000,16000,1.0,7.0
976877,976877,Chu Mustapha Pacha,Chu Mustapha Pacha,1.0,,,1.0,Algiers,Algiers,1.0,"Place du 1er Mai 1945, Sidi M'Hamed","Place du 1er Mai 1945, Sidi M'Hamed",3.0,16000,16000,1.0,7.0
976908,976908,CHU Hussein-Dey,CHU Hussein-Dey,1.0,,,1.0,Algiers,Algiers,1.0,Hôpital N. Hamoud ( Ex-Parnet )Réanimation Pédiatrique,Hôpital N. Hamoud ( Ex-Parnet )Réanimation Pédiatrique,3.0,16040,16040,1.0,7.0
982316,982316,Hopital Alger Est,Hopital Alger Est,1.0,,,1.0,Algiers,Algiers,1.0,"41 Cité du 20 Août, Oued Erroumane El Achour","41 Cité du 20 Août, Oued Erroumane El Achour",3.0,16000,16000,1.0,7.0
989344,992275,CHU ORAN,Centre Hospitalo Universitaire d'Oran,0.0,,Oran,0.0,Oran,Oran,1.0,Boulevard Doctor Benzerdjeb,Boulevard Doctor Benzerdjeb,3.0,,,0.0,4.0
992263,992263,EPH Mascara,EPH Mascara,1.0,Mascara,Mascara,1.0,Mascara,Mascara,1.0,Mascara,Mascara,3.0,29000,29000,1.0,7.0
992264,992275,Centre Hospitalo Universitaire d'Oran,Centre Hospitalo Universitaire d'Oran,1.0,Oran,Oran,1.0,Oran,Oran,1.0,Boulevard Doctor Benzerdjeb,Boulevard Doctor Benzerdjeb,3.0,,,0.0,6.0
992265,992265,Centre Hospitalo Universitaire Sidi Bel Abes,Centre Hospitalo Universitaire Sidi Bel Abes,1.0,Sidi Bel Abbès,Sidi Bel Abbès,1.0,Sidi Bel Abbès,Sidi Bel Abbès,1.0,Rue Belahcel Mourad,Rue Belahcel Mourad,3.0,,,1.0,7.0
992275,992275,Centre Hospitalo Universitaire d'Oran,Centre Hospitalo Universitaire d'Oran,1.0,Oran,Oran,1.0,Oran,Oran,1.0,Boulevard Doctor Benzerdjeb,Boulevard Doctor Benzerdjeb,3.0,,,1.0,7.0
992276,992276,Centre Hospitalo Universitaire de Beni Messous,Centre Hospitalo Universitaire de Beni Messous,1.0,,,1.0,Unknown City,Unknown City,1.0,123 Address,123 Address,3.0,Algeria,Algeria,1.0,7.0
