SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,CONCAT_ADDRESS
938530,CDM,IQVIA,91501,410,1-4CSCIDY,Algeria,chu beni messous,alger,,16000,Selected,issad hassani
992263,CDM,PPD,C16021,1-8B6YRJ,,Algeria,eph mascara,mascara,mascara,29000,Disqualified,mascara
992265,CDM,PPD,C16021,1-8B77BV,,Algeria,centre hospitalo universitaire sidi bel abes,sidi bel abbès,sidi bel abbès,,Disqualified,rue belahcel mourad
946826,CDM,PPD,C16021,1-8B6YPK,,Algeria,centre hospitalier universitaire annaba,,annaba,,Disqualified,rue de strasbourg
946827,CDM,PPD,C16021,1-8B6YQF,,Algeria,centre hospitalier universitaires sétif,,setif,,Disqualified,hopital de sétif
982316,CDM,PPD,SHP-ELA-401,1-C929YY,,Algeria,hopital alger est,,algiers,16000,Disqualified,41 cité du 20 août oued erroumane el achour
976877,CDM,PPD,SHP675-301,1-49X0AEZ,,Algeria,chu mustapha pacha,,algiers,16000,Void,place du 1er mai 1945 sidi mhamed
976908,CDM,PPD,SHP-ELA-401,1-C92A0B,,Algeria,chu husseindey,,algiers,16040,Disqualified,hôpital n hamoud  exparnet réanimation pédiatrique
992275,CDM,PPD,C16021,1-8DTJE4,,Algeria,centre hospitalo universitaire doran,oran,oran,,Disqualified,boulevard doctor benzerdjeb
992276,CDM,PPD,C16021,1-8DTJEN,,Algeria,centre hospitalo universitaire de beni messous,,unknown city,algeria,Disqualified,123 address
946485,CDM,PPD,C16021,1-8B6YS3,,Algeria,centre hospitalier universitaire tlemcen,tlemcen,tlemcen,13000,Disqualified,boulevard mohamed v
946486,CDM,PPD,C16021,1-8B77A7,,Algeria,centre hospitalo universitaire de batna,batna,batna,5000,Disqualified,allées mohamed boudiaf
949046,CDM,PPD,C16021,1-8B6YQZ,,Algeria,centre pierre et marie curie,alger,sidi mhamed,16000,Disqualified,place du 1er mai 1945centre hospitalier universitaire mustapha pacha
948441,CDM,PPD,C16021,1-8B77AR,,Algeria,centre hospitalo universitaire de constantine,alger,alger,16000,Disqualified,11 bp colonel amirouche
