SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
1006,1006,Hospital Universitario Austral,Hospital Universitario Austral,1.0,Buenos Aires,Buenos Aires,1.0,Buenos Aires,Buenos Aires,1.0,Avenida Juan D. Peron 1500,Avenida Juan D. Peron 1500,3.0,01629,01629,1.0,7.0
1007,1007,FUNDALEU - Fundacion para combatir la Leucemia,FUNDALEU - Fundacion para combatir la Leucemia,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,José E.Uriburu 1450,José E.Uriburu 1450,3.0,1114,1114,1.0,7.0
1008,1008,Hospital Británico,Hospital Británico,1.0,CIUDAD AUTONOMA BUENOS AIRES,CIUDAD AUTONOMA BUENOS AIRES,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Solis 2171,Solis 2171,3.0,1134,1134,1.0,7.0
1009,1009,Hospital Italiano de Buenos Aires,Hospital Italiano de Buenos Aires,1.0,Ciudad Autónoma de BuenosAires,Ciudad Autónoma de BuenosAires,1.0,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1.0,Calle Tte Gral Juan Domingo Peron 4190Department of Oncology,Calle Tte Gral Juan Domingo Peron 4190Department of Oncology,3.0,1199,1199,1.0,7.0
1010,1010,Hospital Britanico de Buenos Aires,Hospital Britanico de Buenos Aires,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Perdriel 74,Perdriel 74,3.0,1280,1280,1.0,7.0
1011,1010,Hospital Britanico de Buenos Aires,Hospital Britanico de Buenos Aires,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Perdriel 74,Perdriel 74,3.0,1280,1280,1.0,7.0
1012,1012,Complejo Medico de la Policia Federal Argentina Churruca Visca,Complejo Medico de la Policia Federal Argentina Churruca Visca,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Uspallata 3400,Uspallata 3400,3.0,1416,1416,1.0,7.0
1013,1012,Complejo Medico de la Policia Federal Argentina Churruca Visca,Complejo Medico de la Policia Federal Argentina Churruca Visca,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Ciudad Autonoma Buenos Aires,Ciudad Autonoma Buenos Aires,1.0,Uspallata 3400,Uspallata 3400,3.0,1416,1416,1.0,7.0
1014,1014,Centro Integral de Gastroenterología,Centro Integral de Gastroenterología,1.0,Ciudad Autónoma de BuenosAires,Ciudad Autónoma de BuenosAires,1.0,Buenos Aires,Buenos Aires,1.0,Ecuador 1481Centro Integral de Gastroenterología,Ecuador 1481Centro Integral de Gastroenterología,3.0,1425,1425,1.0,7.0
1015,1014,Centro Integral de Gastroenterología,Centro Integral de Gastroenterología,1.0,Ciudad Autónoma de BuenosAires,Ciudad Autónoma de BuenosAires,1.0,Buenos Aires,Buenos Aires,1.0,Ecuador 1481Centro Integral de Gastroenterología,Ecuador 1481Centro Integral de Gastroenterología,3.0,1425,1425,1.0,7.0
1016,1014,Centro Integral de Gastroenterología,Centro Integral de Gastroenterología,1.0,Ciudad Autónoma de BuenosAires,Ciudad Autónoma de BuenosAires,1.0,Buenos Aires,Buenos Aires,1.0,Ecuador 1481,Ecuador 1481Centro Integral de Gastroenterología,0.0,1425,1425,1.0,4.0
