SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
1024,CDM,PPD,SHP647-303,1-15FCJWR,,Argentina,instituto cer sa,buenos aires,quilmes,1878,,19,vincente lopez 1441
1280,CDM,PPD,SHP647-305,1-XVOCEY,,Argentina,hospital provincial del centenario,santa fe,rosario,s2000kds,,275,urquiza 3100
1282,CDM,PPD,C16021,1-8DTJF6,,Argentina,instituto de oncologia y especialidades medicas,santa fe,rosario,s2000kze,,277,cordoba 2457
1286,CDM,PPD,C16021,01102,,Argentina,hospital iturraspe,santa fe,santa fe,s3000adl,,281,boulevard carlos pellegrini 3551
1031,CDM,PPD,C16021,1-8DTJFP,,Argentina,instituto medico platense,buenos aires,la plata,1897,,26,calle 51 n° 315 entre 1 y 2
1288,CDM,PPD,C16019,01902,,Argentina,hospital iturraspe,santa fe,santa fe,s3006ftp,,283,blas parera 8308349
1032,CDM,PPD,SHP607-202,1-15NDZEL,,Argentina,hospital de niños sor maria ludovica,buenos aires,la plata,1900,,27,calle 14 nro 1631 sala 6
1034,CDM,PPD,Pevonedistat-3001,1-17Y2SJ8,,Argentina,hospital italiano de la plata,buenos aires,la plata,1900,,29,avenida 51 nº1725 e29 y 30
1035,CDM,PPD,FOS,161,,Argentina,national university of la plata,buenos aires,la plata,1900,,30,calle 47 y 115facultad de ciencias exactas catedra de inmunologia
1291,CDM,PPD,HOS,127,,Argentina,hospital de niños de la santisima trinidad,córdoba,córdoba,x5000bnb,,286,bajada pucara 1900 departamento de infectologia polo hospitalario de cordoba
1292,CDM,IQVIA,MLN0002SC-3030,01003,1-2H5JBPO,Argentina,centro de investigaciones clinicas instituto del corazon,cordoba,cordoba,x5000evq,,287,la rioja 881
1038,CDM,PPD,C16021,1-CPUXQW,,Argentina,hospital san martin,entre ríos,paraná,3100,,33,presidente peron numero 450
1039,CDM,PRA,Brigatinib-3001,01002,1-1LRDX2U,Argentina,centro para la atencion integral del paciente oncologico,tucuman,san miguel de tucuman,4000,,34,avenida domingo faustino sarmiento 157
1289,CDM,PPD,SHP607-202,1-1DINJAI,,Argentina,instituto de maternidad nuestra señora de la merced,tucumán,san miguel de tucumán,t4000cpc,,284,avenida fernando mate de luna 1535
1036,CDM,PPD,C16021,1-8B77E4,,Argentina,instituto de hematologia y medicina clinica dr ruben davoli,santa fe,rosario,2000,,31,laprida 1061
1293,CDM,PPD,SHP647-303,1-15ERY56,,Argentina,clinica universitaria reina fabiola,córdoba,córdoba,x5000fhp,,288,oncativo 1248
1040,CDM,PPD,SHP647-301,1-XVMKOV,,Argentina,centro diagnostico zabala,salta,salta,4400,,35,zabala 432
1044,CDM,PPD,C16021,1-CPUXPI,,Argentina,hospital san roque,córdoba,córdoba,5000,,39,bajada pucará 1900
1045,CDM,PPD,SHP607-202,1-15NDZDM,,Argentina,hospital universitario de maternidad y neonatología,córdoba,córdoba,5000,,40,rodriguez peña 285
1046,CDM,PRA,Brigatinib-3001,01004,1-1LR6Q30,Argentina,sanatorio duarte quiros,cordoba,cordoba,5000,,41,avenida duarte quiros 1948
1042,CDM,PPD,GOS,1103,,Argentina,centro privado metabólico,córdoba,córdoba,5000,,37,agustin garzon aguila 187
1301,CDM,PRA,Ponatinib-3001,01002,1-1KD1XEI,Argentina,sanatorio allende,cordoba,cordoba,x5000jhq,,296,avenida hiplito yrigoyen 384
1047,CDM,IQVIA,CHL-5001,032004,1-34Y578I,Argentina,hospital privado centro medico de cordoba sa,cordoba,cordoba,5016,,42,av naciones unidas 346parque velez sarsfield
1306,CDM,PPD,C16021,1035,,Argentina,hospital cordoba,córdoba,córdoba,x5004cdt,,301,avenida patria 656
1307,CDM,PPD,C16021,1-CPUXOG,,Argentina,ipac caraffa,córdoba,córdoba,x5009bsn,,302,avenue caraffa 2532
1049,CDM,PPD,C16019,1-2PWBPJ,,Argentina,fundación centro oncológico de integración regional coir,mendoza,mendoza city,5500,,44,montecaseros 1020
1304,CDM,PPD,C16021,1-CPUXRX,,Argentina,hospital italiano,córdoba,córdoba,x5004bal,,299,roma 550
1052,CDM,PPD,C16021,1-CPUXR9,,Argentina,hospital lagomaggiore,mendoza,mendoza city,5500,,47,timoteo gordillo sn
1308,CDM,PRA,Ponatinib-3001,01003,1-1KD4OEQ,Argentina,hospital privado centro medico de cordoba,cordoba,cordoba,x5014keh,,303,naciones unidas 346
1056,CDM,PPD,TAK-788-3001,1525ZZZZ,,Argentina,instituto médico río cuarto,córdoba,rio cuarto,5800,,51,hipólito irigoyen 1020
1057,CDM,PPD,TAK-788-3001,1-50EM49C,,Argentina,fundacion koriza,la pampa,santa rosa,6300,,52,telen 1639
1058,CDM,PPD,C16021,1-CPUXP5,,Argentina,clínica señor de los milagros,salta,salta,a4400erf,,53,sarmiento 557
1060,CDM,PPD,SHP609-302,006,,Argentina,hospital universitario austral,ciudad autónoma de buenosaires,buenos aires,b1629ahj,,55,avenida juan d peron 1500 asociacion civil de estudios superiores
1066,CDM,IQVIA,CHL-5001,032005,1-34Y574A,Argentina,hospital universitario austral,pilar,buenos aires,b1629odt,,61,av pte juan domingo peron 1500ex ruta 234  derqui
1068,CDM,PPD,SHP675-301,1-78W14RI,,Argentina,centro médico santa maría de la salud,buenos aires,san isidro,b1642,,63,avenida del libertador n° 16131
1069,CDM,PPD,SHP647-301,1-43I9S93,,Argentina,hospital nacional alejandro posadas,buenos aires,el palomar,b1684,,64,av marconi y pte illia
1076,CDM,PPD,C16021,1-8DTJIZ,,Argentina,cimel,buenos aires,lanús,b1824 kaj,,71,tucumán 1314
1077,CDM,PPD,C16021,1-8DTJHW,,Argentina,sanatorio itoiz,buenos aires,avellaneda,b1870cid,,72,alsina 174
1079,CDM,IQVIA,MLN0002SC-3030,01002,1-2H5JBP9,Argentina,instituto medico cer,quilmes,buenos aires,b1878dvb,,74,vicente lopez 1441
1081,CDM,PPD,FOS,422,,Argentina,sanatorio urquiza,buenos aires,quilmes,b1878eme,,76,urquiza 1537
1083,CDM,PPD,C16019,01906,,Argentina,hospital italiano de la plata,buenos aires,la plata,b1900ax,,78,calle 51 numero 1724 entre 29 y 30
1085,CDM,IQVIA,NDMM-5002,032003,1-3ARZ359,Argentina,hospital italiano de la plata,la plata,buenos aires,b1900axi,,80,av 51 entre 29 y 30
1087,CDM,PPD,Pevonedistat-3001,1-17Y2SIK,,Argentina,hospital interzonal general de agudos general san martín,buenos aires,la plata,b1904cfh,,82,avenida 1 n° 1791
1088,CDM,PPD,SHP675-301,1-78W14S7,,Argentina,instituto de nefrología pergamino,buenos aires,pergamino,b2700cpm,,83,avenida de mayo 1115
1089,CDM,PPD,FOS,1-37TU24T,,Argentina,centro nefrologico de la costa,buenos aires,santa teresita,b7107dir,,84,calle 8 n°866
1090,CDM,IQVIA,MLN0002SC-3031,01005,1-2CVPP0J,Argentina,centro de investigaciones medicas mar del plata,mar del plata,buenos aires,b7600fyk,,85,av colón 3083 1 y  5to piso
1092,CDM,PPD,C16021,1-CPUXRL,,Argentina,clínica colón,buenos aires,mar del plata,b7600fzd,,87,avenida colón 3651
1093,CDM,PPD,C16021,1-CPUXOS,,Argentina,instituto lavalle de oncologia y terapia radiante,buenos aires,bahía blanca,b8000ine,,88,lavalle 257
