SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
1024,1024,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1280,1280,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1282,1282,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1286,1286,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1031,1031,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1288,1288,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1032,1032,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1034,1034,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1035,1035,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1291,1291,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1292,1292,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1038,1038,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1039,1039,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1289,1289,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1036,1036,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1293,1293,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1040,1040,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1044,1044,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1045,1045,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1046,1046,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1042,1042,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1301,1301,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1047,1047,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1306,1306,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1307,1307,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1049,1049,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1304,1304,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1052,1052,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1308,1308,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1056,1056,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1057,1057,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1058,1058,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1060,1060,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1066,1066,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1068,1068,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1069,1069,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1076,1076,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1077,1077,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1079,1079,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1081,1081,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
1083,1083,1.0,1.0,1.0,3.0,1.0,Argentina,7.0
