SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
1315,1315,Darwin Hospital,Darwin Hospital,1.0,Northern Territory,Northern Territory,1.0,Casuarina,Casuarina,1.0,Rocklands Drive Tiwi,Rocklands Drive Tiwi,3.0,0811,0811,1.0,7.0
1316,1316,Liverpool Hospital,Liverpool Hospital,1.0,New South Wales,New South Wales,1.0,Liverpool,Liverpool,1.0,"Elizabeth Street, Locked Bag 7103, University Of New South WalesDepartment Of Hematology","Elizabeth Street, Locked Bag 7103, University Of New South WalesDepartment Of Hematology",3.0,1871,1871,1.0,7.0
1317,1316,Liverpool Hospital,Liverpool Hospital,1.0,New South Wales,New South Wales,1.0,Liverpool,Liverpool,1.0,"Elizabeth Street, Locked Bag 7103, University Of New South WalesDepartment Of Hematology","Elizabeth Street, Locked Bag 7103, University Of New South WalesDepartment Of Hematology",3.0,1871,1871,1.0,7.0
1318,1316,Liverpool Hospital,Liverpool Hospital,1.0,NSW,New South Wales,0.0,Liverpool,Liverpool,1.0,"Elizabeth Street, Locked Bag 7103, University Of New South WalesDepartment Of Hematology","Elizabeth Street, Locked Bag 7103, University Of New South WalesDepartment Of Hematology",3.0,1871,1871,1.0,6.0
1319,1319,Kinghorn Cancer Centre,Kinghorn Cancer Centre,1.0,New South Wales,New South Wales,1.0,Darlinghurst,Darlinghurst,1.0,370 Victoria Street,370 Victoria Street,3.0,2010,2010,1.0,7.0
1320,1320,Saint Vincent's Hospital Sydney,Saint Vincent's Hospital Sydney,1.0,NSW,NSW,1.0,Darlinghurst,Darlinghurst,1.0,370 Victoria Street,370 Victoria Street,3.0,2010,2010,1.0,7.0
1321,1320,Saint Vincent's Hospital Sydney,Saint Vincent's Hospital Sydney,1.0,NSW,NSW,1.0,Darlinghurst,Darlinghurst,1.0,390 Victoria Street,370 Victoria Street,3.0,2010,2010,1.0,7.0
1322,1322,St Vincent's Hospital Sydney,St Vincent's Hospital Sydney,1.0,New South Wales,New South Wales,1.0,Darlinghurst,Darlinghurst,1.0,"390 Victoria StreetPharmacy, Level 2","390 Victoria StreetPharmacy, Level 2",3.0,2010,2010,1.0,7.0
1323,1322,St Vincent's Hospital Sydney,St Vincent's Hospital Sydney,1.0,New South Wales,New South Wales,1.0,Darlinghurst,Darlinghurst,1.0,390 Victoria StreetXavier Building,"390 Victoria StreetPharmacy, Level 2",0.0,2010,2010,1.0,4.0
1324,1322,St Vincent's Hospital Sydney,St Vincent's Hospital Sydney,1.0,New South Wales,New South Wales,1.0,Darlinghurst,Darlinghurst,1.0,"390 Victoria StreetPharmacy, Level 2","390 Victoria StreetPharmacy, Level 2",3.0,2010,2010,1.0,7.0
1325,1322,St Vincent's Hospital Sydney,St Vincent's Hospital Sydney,1.0,New South Wales,New South Wales,1.0,Darlinghurst,Darlinghurst,1.0,"390 Victoria StreetPharmacy, Level 2Level 4","390 Victoria StreetPharmacy, Level 2",3.0,2010,2010,1.0,7.0
1326,1322,St Vincent's Hospital Sydney,St Vincent's Hospital Sydney,1.0,New South Wales,New South Wales,1.0,Darlinghurst,Darlinghurst,1.0,"Victoria StreetDepartment Of Haematology, Level 4, Xavier Building","390 Victoria StreetPharmacy, Level 2",0.0,2010,2010,1.0,4.0
1327,1322,St Vincent's Hospital Sydney,St Vincent's Hospital Sydney,1.0,New South Wales,New South Wales,1.0,Darlinghurst,Darlinghurst,1.0,"Victoria Streetde Lacey Building, Level 6Level 6","390 Victoria StreetPharmacy, Level 2",0.0,2010,2010,1.0,4.0
1328,1328,Neuroscience Research Australia (NeuRA),Neuroscience Research Australia (NeuRA),1.0,NSW,NSW,1.0,Randwick,Randwick,1.0,Po Box 1165,Po Box 1165,3.0,2031,2031,1.0,7.0
1329,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,Avoca StreetDiabetes CenterSuite 26,Avoca StreetDiabetes CenterSuite 26,3.0,2031,2031,1.0,7.0
1330,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,Avoca StreetDiabetes CenterSuite 26,Avoca StreetDiabetes CenterSuite 26,3.0,2031,2031,1.0,7.0
1331,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,Avoca StreetDiabetes CenterSuite 26,Avoca StreetDiabetes CenterSuite 26,3.0,2031,2031,1.0,7.0
1332,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,Avoca StreetDiabetes CenterSuite 26,Avoca StreetDiabetes CenterSuite 26,3.0,2031,2031,1.0,7.0
1333,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,Avoca StreetDiabetes CenterSuite 26,Avoca StreetDiabetes CenterSuite 26,3.0,2031,2031,1.0,7.0
1334,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,Avoca StreetDiabetes CenterSuite 26,Avoca StreetDiabetes CenterSuite 26,3.0,2031,2031,1.0,7.0
1335,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,Avoca StreetDiabetes CenterSuite 26,Avoca StreetDiabetes CenterSuite 26,3.0,2031,2031,1.0,7.0
1336,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,Barker StreetDepartment of Haematology,Avoca StreetDiabetes CenterSuite 26,0.0,2031,2031,1.0,4.0
1337,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,High SreetNephrology,Avoca StreetDiabetes CenterSuite 26,0.0,2031,2031,1.0,4.0
1338,1329,Prince of Wales Hospital,Prince of Wales Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,"Level 2, Barker STPrince of Wales Hospital Department of Medical Oncology",Avoca StreetDiabetes CenterSuite 26,0.0,2031,2031,1.0,4.0
1339,1339,Prince of Wales Hospital,Prince of Wales Hospital,1.0,NSW,NSW,1.0,Randwick,Randwick,1.0,"Barker Street, Level 4Seals Department Of Haematology, Campus Center Building","Barker Street, Level 4Seals Department Of Haematology, Campus Center Building",3.0,2031,2031,1.0,7.0
1340,1340,Prince of Wales Hospital,Prince of Wales Hospital,1.0,Randwick,Randwick,1.0,New South Wales,New South Wales,1.0,Barker Street,Barker Street,3.0,2031,2031,1.0,7.0
1341,1340,Royal Hospital for Women,Prince of Wales Hospital,0.0,New South Wales,Randwick,0.0,Randwick,New South Wales,0.0,Barker Street,Barker Street,3.0,2031,2031,1.0,4.0
1342,1342,Sydney Children's Hospital,Sydney Children's Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,High Street,High Street,3.0,2031,2031,1.0,7.0
1343,1342,Sydney Children's Hospital,Sydney Children's Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,High Street,High Street,3.0,2031,2031,1.0,7.0
1344,1342,Sydney Children's Hospital,Sydney Children's Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,High Street,High Street,3.0,2031,2031,1.0,7.0
1345,1342,Sydney Children's Hospital,Sydney Children's Hospital,1.0,New South Wales,New South Wales,1.0,Randwick,Randwick,1.0,High Street,High Street,3.0,2031,2031,1.0,7.0
1346,1346,Centre For Digestive Diseases,Centre For Digestive Diseases,1.0,New South Wales,New South Wales,1.0,Five Dock,Five Dock,1.0,144 Great North RoadLevel 1,144 Great North RoadLevel 1,3.0,2046,2046,1.0,7.0
1347,1346,Centre For Digestive Diseases,Centre For Digestive Diseases,1.0,New South Wales,New South Wales,1.0,Five Dock,Five Dock,1.0,144 Great North RoadLevel 1,144 Great North RoadLevel 1,3.0,2046,2046,1.0,7.0
1348,1348,Chris O'Brien Lifehouse Hospital,Chris O'Brien Lifehouse Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,119-143 Missenden Road,119-143 Missenden Road,3.0,2050,2050,1.0,7.0
1349,1348,Chris O'Brien Lifehouse Hospital,Chris O'Brien Lifehouse Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,119-143 Missenden RoadMedical Oncology,119-143 Missenden Road,0.0,2050,2050,1.0,4.0
1350,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,50 Missenden Road,50 Missenden Road,3.0,2050,2050,1.0,7.0
1351,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,50 Missenden Road,50 Missenden Road,3.0,2050,2050,1.0,7.0
1352,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,50 Missenden Road,50 Missenden Road,3.0,2050,2050,1.0,7.0
1353,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,50 Missenden Road,50 Missenden Road,3.0,2050,2050,1.0,7.0
1354,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,50 Missenden Road,50 Missenden Road,3.0,2050,2050,1.0,7.0
1355,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,59 Missenden RoadInstitute of Haematology,50 Missenden Road,0.0,2050,2050,1.0,4.0
1356,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,59 Missenden RoadInstitute of Haematology,50 Missenden Road,3.0,2050,2050,1.0,7.0
1357,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,Missenden RoadInstitute of Haematology,50 Missenden Road,3.0,2050,2050,1.0,7.0
1358,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,Missenden RoadInstitute of Haematology,50 Missenden Road,3.0,2050,2050,1.0,7.0
1359,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,Missenden RoadInstitute of Haematology,50 Missenden Road,3.0,2050,2050,1.0,7.0
1360,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,Missenden RoadInstitute of Haematology,50 Missenden Road,3.0,2050,2050,1.0,7.0
1361,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,Missenden RoadHaematology Research Unit,50 Missenden Road,0.0,2050,2050,1.0,4.0
1362,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,Missenden RoadInstitute of Haematology,50 Missenden Road,3.0,2050,2050,1.0,7.0
1363,1350,Royal Prince Alfred Hospital,Royal Prince Alfred Hospital,1.0,New South Wales,New South Wales,1.0,Camperdown,Camperdown,1.0,Missenden RoadInstitute of Haematology,50 Missenden Road,3.0,2050,2050,1.0,7.0
1364,1364,The University of New South Wales,The University of New South Wales,1.0,New South Wales,New South Wales,1.0,Sydney,Sydney,1.0,"High StreetThe Kirby Institute, National Centre in HIV Epidemiology and Clinical Research","High StreetThe Kirby Institute, National Centre in HIV Epidemiology and Clinical Research",3.0,2052,2052,1.0,7.0
1365,1365,GenesisCare St Leonards,GenesisCare St Leonards,1.0,New South Wales,New South Wales,1.0,St Leornards,St Leornards,1.0,38 Pacific HwyLevel 1,38 Pacific HwyLevel 1,3.0,2065,2065,1.0,7.0
