SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
1540,CDM,PPD,TAK-007-2001,1-BX0K5YC,,Australia,peter maccallum cancer centre,victoria,melbourne,3052,,226,grattan street parkvillemedical oncology level 2
1541,CDM,PPD,MLN0002-3025,3025-02001,,Australia,royal childrens hospital melbourne  pin,victoria,parkville,3052,,227,50 flemington rd
1553,CDM,PRA,Brigatinib-2002,02004,1-1KA4276,Australia,saint vincents hospital melbourne,vic,fitzroy,3065,,239,41 victoria parade
1555,CDM,IQVIA,MLN0002SC-3030,02010,1-27YXAXT,Australia,sanzruth st vincents hospital melbourne,fitzroy,victoria,3065,,241,41 victoria parade pharmacy departmentlevel 2 healy wing
1559,CDM,PPD,SHP647-301,1-XVZKRX,,Australia,st vincents hospital melbourne  ppds,vic,fitzroy,3065,,245,regent street ip pharmacy store loading dockdepartment of gastroenterology
1561,CDM,PPD,SHP647-307,307-004,,Australia,st vincents hospital melbourne  ppds,victoria,fitzroy,3065,,247,35 victoria parade
1566,CDM,PPD,SHP620-302,1-B8RE18O,,Australia,st vincents hospital melbourne  ppds,victoria,melbourne,3065,,252,41 victoria parade fitzroyhaematology trials unit
1575,CDM,PPD,Pevonedistat-2001,1-D87MYR,,Australia,northern hospital,victoria,epping,3076,,261,185 cooper street
1577,CDM,IQVIA,CHL-5001,036004,1-3C0R3MB,Australia,austin health,heidelberg heights,victoria,3081,,263,300 waterdale road heidelberg repatriation hospital
1578,CDM,PRA,Vedolizumab-3035,02002,1-1LL83E1,Australia,austin health,vic,heidelberg,3084,,264,145 studley road
1579,CDM,PPD,TAK-788-3001,1-507A3WB,,Australia,austin health,victoria,heidelberg,3084,,265,145 studley roadlvl 8 harold stokes buildingaustin health
1588,CDM,ICON,C25003,,87177,Australia,austin hospital,vic,heidelberg,3084,,274,cancer clinical trials level 4austin hospital 145 studley roadpo box 5555
1589,CDM,PPD,TAK-007-2001,1-8DNKYUV,,Australia,austin hospital,victoria,heidelberg,3084,,275,145 studley rdlevel 5 harold stokes buildinginstitute of breathing and sleep ibas
1591,CDM,PPD,SHP647-301,1-XVZWRU,,Australia,austin hospital,victoria,heidelberg,3084,,277,145 studley road
1601,CDM,PRA,TAK-041-2001,Stough,1-1L8GD83,Australia,swinburne university of technology,vic,hawthorn,3122,,287,brain sciences institute400 burwood road
1602,CDM,IQVIA,TAK-883-3001,303,1-4TQYWJ2,Australia,box hill hospital,box hill,victoria,3128,,288,8 arnold street
1605,CDM,PRA,Ponatinib-3001,02002,1-1KRDLJ6,Australia,box hill hospital,vic,box hill,3128,,291,ecru level 25 arnold street
1606,CDM,PPD,TAK-007-2001,1-8DBWBUS,,Australia,box hill hospital,victoria,box hill,3128,,292,2832 arnold stecru oncology research
1616,CDM,PRA,C31004,02005,1-1C4P6NL,Australia,cabrini hospital  malvern,vic,malvern,3144,,302,183 wattletree roadsuite 19 cabrini malvern
1617,CDM,PPD,TAK-788-3001,1-507A44E,,Australia,cabrini hospital malvern,victoria,malven,3144,,303,183 wattletree rdcabrini hospital
1628,CDM,PPD,TAK-788-3001,1-507A3VL,,Australia,monash medical centre  moorabbin campus,victoria,east bentleigh,3165,,314,823865 centre roadmedical oncology unit
1629,CDM,IQVIA,MLN0002SC-3030,02002,1-27YXB2K,Australia,monash medical centre clayton,bentleigh east,victoria,3165,,315,823865 centre road
1630,CDM,PPD,MLN0002-3024,1-7K1HL1H,,Australia,monash childrens hospital,victoria,clayton,3168,,316,246 clayton rd
1632,CDM,PPD,SHP647-306,1-16CZMMJ,,Australia,monash health monash medical centre,vic,clayton,3168,,318,246 clayton road
1640,CDM,PPD,MLN0002-3024,3024-02003,,Australia,monash health monash medical centre,victoria,clayton,3168,,326,246 clayton rd
1646,CDM,PRA,C31004,02008,1-1C4P6TV,Australia,monash medical centre,vic,clayton,3168,,332,246 clayton road
1649,CDM,IQVIA,CHL-5001,036002,1-34Y4PJ4,Australia,monash medical centre clayton,clayton,victoria,3168,,335,246 clayton roadst albansmonash health monash medical center
1652,CDM,IQVIA,MLN0002SC-3030,02014,1-27YXB25,Australia,the alfred hospital,melbourne,victoria,3181,,338,the alfred airmed level 5 main ward block55 commercial road
1654,CDM,PPD,SHP647-306,1-1G0SO3U,,Australia,the alfred hospital,vic,melbourne vic,3181,,340,commercial road  prahranintensive care unit
1657,CDM,PRA,C31004,02005A,1-1JM5UZM,Australia,cabrini hospital  brighton,vic,brighton,3186,,343,243 new street
1658,CDM,IQVIA,TAK-883-3001,304,1-4TQYWL4,Australia,frankston hospital,frankston,victoria,3199,,344,hastings road oncology day unitpeninsula heart centre
1659,CDM,PPD,C16029,1-Y2R3J7,,Australia,frankston hospital,vic,frankston,3199,,345,525 mcclelland drive
1660,CDM,PPD,C16021,02102,,Australia,frankston hospital,victoria,frankston,3199,,346,hastings road
1661,CDM,PPD,SHP647-307,1-192HH2O,,Australia,frankston private day surgery,victoria,frankston,3199,,347,2428 frankstonflinders roadlevel 2
1665,CDM,PRA,Brigatinib-2002,02002,1-1KA9GCQ,Australia,peninsula  south eastern haematology and oncology group,vic,frankston,3199,,351,frankston private2428 frankstonflinders road
1667,CDM,PRA,TAK-788-1004 DDI,02001,1-1NO1DLC,Australia,peninsula and southeast oncology,vic,frankston,3199,,353,2428 frankstonflinders road
1668,CDM,PPD,Pevonedistat-2001,1-D87N16,,Australia,peninsula health,victoria,frankston,3199,,354,hastings roadoncology day unit
1670,CDM,PPD,TAK-007-2001,1-8DBWBPA,,Australia,andrew love cancer center,victoria,geelong,3220,,356,70 swanston st
1671,CDM,PPD,TAK-788-3001,1-507A3VY,,Australia,barwon health,victoria,geelong,3220,,357,70 swanston streetandrew love cancer centre
1672,CDM,PPD,SHP620-303,1-TI7BMH,,Australia,geelong hospital,victoria,geelong,3220,,358,po box 281
1674,CDM,ICON,C25003,,87185,Australia,the geelong hospital,vic,geelong,3220,,360,the geelong hospital70 swanston st
1675,CDM,IQVIA,MLN0002SC-3030,02008,1-27YXAU7,Australia,ballarat base hospital,ballarat,victoria,3350,,361,drummond street north
1677,CDM,PPD,TAK-007-2001,1-8DBWBPY,,Australia,ballarat health services,victoria,ballarat central,3350,,363,drummond st
1678,CDM,PPD,Brigatinib-1003,1-62G3ZI5,,Australia,ballarat oncology and haematology services,victoria,wendouree,3355,,364,po box 281
1680,CDM,PRA,Vedolizumab-3035,02005,1-1LL83GJ,Australia,royal brisbane and womens hospital,qld,herston,4006,,366,ground floorbuilding 34butterfield street
1681,CDM,PPD,TAK-007-2001,1-8DBWBV4,,Australia,royal brisbane  womens hospital,queensland,herston,4029,,367,34 butterfield streetclinical research unit cancer care services ground floor building
1700,CDM,PRA,C31004,02001,1-1C4P69U,Australia,royal brisbane and womens hospital,qld,herston,4029,,386,butterfield street and bowen bridge road
1702,CDM,PPD,SHP620-303,1-TI7BL7,,Australia,the university of queensland,queensland,herston,4029,,388,herston road
1703,CDM,PPD,TAK-788-3001,1-50EVEFU,,Australia,prince charles hospital,queensland,chermside,4032,,389,rode road
1704,CDM,IQVIA,TAK-883-3001,305,1-4RCMT7G,Australia,the prince charles hospital,chermside,queensland,4032,,390,the prince charles hospitalrode rd
