SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
1540,1540,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1541,1541,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1553,1553,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1555,1555,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1559,1559,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1561,1561,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1566,1566,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1575,1575,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1577,1577,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1578,1578,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1579,1579,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1588,1588,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1589,1589,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1591,1591,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1601,1601,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1602,1602,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1605,1605,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1606,1606,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1616,1616,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1617,1617,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1628,1628,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1629,1629,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1630,1630,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1632,1632,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1640,1640,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1646,1646,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1649,1649,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1652,1652,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1654,1654,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1657,1657,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1658,1658,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1659,1659,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1660,1660,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1661,1661,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1665,1665,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1667,1667,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1668,1668,1.0,1.0,1.0,3.0,1.0,Australia,7.0
1670,1670,1.0,1.0,1.0,3.0,1.0,Australia,7.0
