SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
2049,CDM,PRA,TAK-018-2001,03001,1-1MZYT9S,Austria,medizinische universitat innsbruck,tyrol,innsbruck,6020,,159,universittsklinik fr innere medizin i  gastroenterologie und hepatologieanichstrasse 35
2050,CDM,PPD,MLN0002-3024,1-E3ZYPRA,,Austria,universitätsklinikum innsbruck,tirol,innsbruck,6020,,160,anichstraße 35klinische abteilung für gastroenterologie und hepatologiepädiatrie ii
2051,CDM,PPD,SHP647-305,1-43MCT6D,,Austria,universitätsklinikum innsbruck,tirol,innsbruck,6020,,161,anichstraße 35
2065,CDM,PPD,SHP647-304,1-4MONB59,,Austria,aö bezirkskrankenhaus hall,tirol,hall in tirol,6060,,175,milser straße 1012
2066,CDM,PPD,SHP647-301,1-XKL3HZ,,Austria,aö bezirkskrankenhaus hall,tirol,hall in tirol,6060,,176,milser straße 1012universitätsklinik für innere medizin
2070,CDM,PPD,SHP647-301,1-YVY3BH,,Austria,landeskrankenhaus hall,tirol,hall in tirol,6060,,180,milser straße 10
2072,CDM,PPD,C16021,1-AGCRRA,,Austria,landeskrankenhaus feldkirch,vorarlberg,feldkirch,6800,,182,carinagasse 47
2074,CDM,PPD,SHP607-202,1-15NDZIT,,Austria,landeskrankenhaus feldkirch,vorarlberg,feldkirch,6807,,184,carinagasse 47kinder und jugendheilkunde
2075,CDM,PPD,SHP675-301,1-78G3ODH,,Austria,landeskrankenhaus bregenz,vorarlberg,bregenz,6900,,185,carlpedenzstraße 2
2076,CDM,PPD,SHP647-305,1-XHANMO,,Austria,aö krankenhaus oberpullendorf,burgenland,oberpullendorf,7350,,186,spitalstraße 32
2078,CDM,PPD,SHP647-303,303-024,,Austria,lkhuniversitätsklinikum klinikum graz,steiermark,graz,8036,,188,auenbruggerplatz 15klinische abteilung fur gastroenterologie und hepatologie
2088,CDM,PPD,C16029,1-Y2R3QO,,Austria,medizinische universität graz,steiermark,graz,8036,,198,auenbruggerplatz 15klinische abteilung fur hamatologie
2095,CDM,PPD,MLN0002-3024,1-7K1HL3J,,Austria,klinikum welsgrieskirchen gmbh,bayern,münchen,80804,,205,kölner platz 1division of gastroenterology and hepatology
2096,CDM,IQVIA,MA25101,3009,1-12HOWKR,Austria,landeskrankenhaus feldkirch,lindenberg,bayern,83166,,206,ottogessler platz 1
2097,CDM,PPD,MLN0002-3024,1-CRNNJCY,,Austria,lkh hochsteiermark,steiermark,leoben,8700,,207,vordernberger straße 42
2104,CDM,PPD,TAK-788-3001,1-52R02K7,,Austria,klinikum klagenfurt am woerthersee,kärnten,klagenfurt am woerthersee,9020,,214,feschnigstrasse 11abteilung für pulmologie
2106,CDM,PRA,Brigatinib-2002,03002,1-1K9YQZJ,Austria,klinikum klagenfurt am worthersee,carinthia,klagenfurt am woerthersee,9020,,216,feschnigstrasse 11
2108,CDM,PPD,MLN0002-3024,1-7K1HL4T,,Austria,aö krankenhaus der barmherzigen brüder,kärnten,sankt veit an der glan,9300,,218,spitalgasse 26krankenhaus der barmherzigen brueder
2120,CDM,ICON,C25001,,69725,Austria,medizinische universitaet wien,vienna,vienna,a1090,,230,waerhringer guertel 1820akh wien
2121,CDM,PPD,SHP620-302,1-1EAEGHG,,Austria,st anna children´s hospital and cancer research institute,wien,vienna,a1090,,231,kinderspitalgasse 6stem cell transplantation unit
2122,CDM,PRA,Ponatinib-3001,03001,1-1LVA1Q8,Austria,ordensklinikum linz elisabethinen,upper austria,linz,a4020,,232,fadingerstrae 1
1891,CDM,PPD,FOS,048,,Austria,krankenhaus der barmherzigen brüder,wien,wien,1020,,1,große mohrengasse 9dermatologie und venerologie
1892,CDM,PPD,SHP647-303,1-16DB3IB,,Austria,krankenanstalt rudolfstiftung,wien,wien,1030,,2,juchgasse 254 medizinische abteilung mit gastroenterologie hepatologie zentralendoskopie und onkologie
1905,CDM,PPD,SHP647-303,1-16DDIQZ,,Austria,franzikusspital,wien,wien,1050,,15,nikolsdorfergasse 2636
1912,CDM,PPD,MLN0002-3024,1-7K1HKUW,,Austria,krankenhaus der barmherzigen schwestern wien,wien,wien,1060,,22,stumpergasse 13
1913,CDM,PPD,MLN0002-3024,1-7K1HL5H,,Austria,akh wien,wien,wien,1090,,23,währinger gürtel 1820
1914,CDM,PRA,Ponatinib-3001,03003,1-1KD16DG,Austria,allgemeines krankenhaus der stadt wien,vienna,vienna,1090,,24,universitaetsklinik fuer innere medizin iwaehringer guertel 1820
1915,CDM,PPD,Alofisel-5003,1-24UZIM3,,Austria,allgemeines krankenhaus der stadt wien,wien,wien,1090,,25,währinger gürtel 18 – 20medizinischer universität wien
1917,CDM,PPD,SHP620-302,1-CILI6PL,,Austria,allgemeines krankenhaus der stadt wien,wien,wien,1090,,27,währinger gürtel 1820
1921,CDM,PRA,TAK-018-2001,03002,1-1MZYTFM,Austria,allgemeines krankenhaus wien,vienna,wien,1090,,31,universittsklinik fr innere medizin iiiklinische abteilung fr gastroenterologie und hepatologiewhringer grtel 1820
1922,CDM,PPD,MLN0002-3024,1-7K1HL3U,,Austria,krankenanstalt rudolfstiftung,wien,wien,1090,,32,währinger straße
1925,CDM,PPD,MLN0002-3024,1-8H6XTXZ,,Austria,medizinische universitat wien medical university of vienna,wien,wien,1090,,35,währinger gürtel 1820
1933,CDM,PPD,MLN0002-3024,1-7K1HKZI,,Austria,st anna kinderspital,wien,wien,1090,,43,kinderspitalgasse 6
1935,CDM,PPD,MLN0002-3024,1-7K1HL0S,,Austria,klinik favoriten,wien,wien,1100,,45,kundratstraße 3
1936,CDM,PPD,MLN0002-3024,1-7K1HL4I,,Austria,rheuma zentrum favoriten,wien,wien,1100,,46,quellenstraße 181
1937,CDM,PPD,SHP647-305,1-23Z1BKG,,Austria,hanusch krankenhaus,wien,wien,1140,,47,heinrichcollinstrasse 30
1946,CDM,PRA,Ponatinib-3001,03002,1-1LVA1S2,Austria,hanusch krankenhaus wiener gebietskrankenkasse,vienna,wien,1140,,56,abteilung fr hmatologieheeinrichcollinstrasse 30
1947,CDM,PPD,C16010,03006,,Austria,klinik ottakring früher wilhelminenspital,wien,wien,1160,,57,montleartsraße 371 medizinische abteilung mit onkologie
1959,CDM,PPD,SHP647-301,1-43II0V7,,Austria,ordination,wien,wien,1190,,69,obkirchergasse 22219innere medizin iii
1964,CDM,PPD,TAK-788-3001,03001,,Austria,klinik floridsdorf,wien,wien,1210,,74,brünner straße 68abteilung für innere medizin und pneumologie
1965,CDM,PPD,MLN0002-3024,1-7K1HL2V,,Austria,ordination dr georg stummvoll,niederösterreich,baden,2500,,75,bahngasse 6
1966,CDM,PPD,SHP647-301,1-XHANWZ,,Austria,landesklinikum wiener neustadt,niederösterreich,wiener neustadt,2700,,76,corvinusring 35
1968,CDM,PRA,AP26113-13-301,462,1-1FMFFZ4,Austria,universitatsklinikum st polten,lower austria,sankt polten,3100,,78,propstfhrerstrasse 4
1969,CDM,PPD,TAK-007-2001,1-8DBWBWG,,Austria,universitätsklinikum st pölten,niederösterreich,sankt pölten,3100,,79,dunantplatz 1
1970,CDM,PPD,SHP647-307,1-16CUB23,,Austria,universitätsklinikum st pölten,oberösterreich,st pölten,3100,,80,propstführerstraße 4
1977,CDM,PPD,SHP647-301,1-43IEF7F,,Austria,privatordination stetter,niederösterreich,amstetten,3300,,87,hauptplatz 1719
1979,CDM,PPD,SHP647-301,1-XGDE2N,,Austria,a o krankenhaus der elisabethinen,oberösterreich,linz,4010,,89,fadingerstraße 14 interne abteilung gastroenterologie und hepatologie stoffwechsel und ernährungsmedizin
1982,CDM,PPD,Alofisel-5003,1-2NBKG0H,,Austria,elisabethinen hospital linz,oberösterreich,linz,4010,,92,fadingerstraße 1chirurgische abteilung
1984,CDM,PRA,Vedolizumab-3035,03001,1-1LLAVCN,Austria,ordensklinikum linz elisabethinen,upper austria,linz,4010,,94,onkologische abteilungfadingerstrasse 1
1985,CDM,PPD,SHP675-301,1-78GT2KU,,Austria,ordensklinikum linz gmbh barmherzige schwestern,oberösterreich,linz,4010,,95,seilerstätte 4
1989,CDM,PPD,TAK-007-2001,1-8DBWBW4,,Austria,ordensklinikum linz gmbh elisabethinen,oberösterreich,linz,4010,,99,fadingerstraße 1a2 interne kardiologie angiologie und interne intensivmedizininterne iv  gastroenterologie  hepatologie endokrinologie und stoffwechsel ernaehrungsmedizin
1991,CDM,PPD,C16021,1-8AZ8GA,,Austria,ordensklinikum linz krankenhaus der barmherzigen schwestern linz betriebsgesellschaft mbh,oberösterreich,linz,4010,,101,seilerstätte 4interne i für hämatologie und onkologie
1993,CDM,PRA,Brigatinib-2002,03005,1-1KMRUOT,Austria,krankenhaus elisabethinen linz,upper austria,linz,4020,,103,pneumologie 2 2bfadingerstrae 1
1994,CDM,PPD,Ponatinib-1501,1-5VVKG5G,,Austria,landes frauen und kinderklinik linz,oberösterreich,linz,4020,,104,krankenhausstraße 2630
1996,CDM,PPD,MLN0002-3024,1-CRNNJAA,,Austria,aö krankenhaus der barmherzigen brüder,oberösterreich,linz,4021,,106,seilerstätte 2neurologie
1997,CDM,PPD,MACS-2020-08401,1-AIHNGA6,,Austria,kepler universitätsklinikum linz,oberösterreich,linz,4021,,107,krankenhausstraße 9abteilung neurologie und psychiatrie
2003,CDM,PPD,SHP647-307,1-4MLX3SY,,Austria,konventhospital krankenhaus der barmherzigen brüder linz,oberösterreich,linz,4021,,113,seilerstätte 2
2008,CDM,PPD,SHP647-305,1-XG2U7Q,,Austria,konventhospital krankenhaus der barmherzigen brüder linz,oberösterreich,linz,4021,,118,seilerstätte 2neurologie
2015,CDM,PPD,TAK-788-3001,1-52R02LA,,Austria,oö gesundheits und spitalsaglkh steyr,oberösterreich,steyr,4400,,125,sierninger straße 170aö krankenhaus steyr
2016,CDM,PPD,SHP647-305,1-YVY35O,,Austria,klinikum welsgrieskirchen gmbh,oberösterreich,wels,4600,,126,grieskirchner straße 42
2023,CDM,PPD,SHP647-302,1-16CUAV2,,Austria,klinikum welsgrieskirchen gmbh,wien,wels,4600,,133,grieskirchner strasse 42division of gastroenterology and hepatology
