SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
1891,1891,Krankenhaus der Barmherzigen Brüder,Krankenhaus der Barmherzigen Brüder,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Große Mohrengasse 9Dermatologie und Venerologie,Große Mohrengasse 9Dermatologie und Venerologie,3.0,1020,1020,1.0,7.0
1892,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1893,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1894,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1895,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1896,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1897,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Juchgasse 254. Medizinische Abteilung,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",0.0,1030,1030,1.0,4.0
1898,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1899,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1900,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1901,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1902,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1903,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1904,1892,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie","Juchgasse 254. Medizinische Abteilung mit Gastroenterologie, Hepatologie, Zentralendoskopie und Onkologie",3.0,1030,1030,1.0,7.0
1905,1905,Franzikusspital,Franzikusspital,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Nikolsdorfergasse 26-36,Nikolsdorfergasse 26-36,3.0,1050,1050,1.0,7.0
1906,1905,Franzikusspital,Franzikusspital,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Nikolsdorfergasse 26-36,Nikolsdorfergasse 26-36,3.0,1050,1050,1.0,7.0
1907,1905,Franzikusspital,Franzikusspital,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Nikolsdorfergasse 26-36,Nikolsdorfergasse 26-36,3.0,1050,1050,1.0,7.0
1908,1905,Franzikusspital,Franzikusspital,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Nikolsdorfergasse 26-36,Nikolsdorfergasse 26-36,3.0,1050,1050,1.0,7.0
1909,1905,Franzikusspital,Franzikusspital,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Nikolsdorfergasse 26-36,Nikolsdorfergasse 26-36,3.0,1050,1050,1.0,7.0
1910,1905,Franzikusspital,Franzikusspital,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Nikolsdorfergasse 26-36,Nikolsdorfergasse 26-36,3.0,1050,1050,1.0,7.0
1911,1905,Franzikusspital,Franzikusspital,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Nikolsdorfergasse 26-36,Nikolsdorfergasse 26-36,3.0,1050,1050,1.0,7.0
1912,1912,Krankenhaus der Barmherzigen Schwestern Wien,Krankenhaus der Barmherzigen Schwestern Wien,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Stumpergasse 13,Stumpergasse 13,3.0,1060,1060,1.0,7.0
1913,1913,AKH Wien,AKH Wien,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20,Währinger Gürtel 18-20,3.0,1090,1090,1.0,7.0
1914,1914,Allgemeines Krankenhaus der Stadt Wien,Allgemeines Krankenhaus der Stadt Wien,1.0,VIENNA,VIENNA,1.0,Vienna,Vienna,1.0,Universitaetsklinik Fuer Innere Medizin IWaehringer Guertel 1820,Universitaetsklinik Fuer Innere Medizin IWaehringer Guertel 1820,3.0,1090,1090,1.0,7.0
1915,1915,Allgemeines Krankenhaus der Stadt Wien,Allgemeines Krankenhaus der Stadt Wien,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18 – 20Medizinischer Universität Wien,Währinger Gürtel 18 – 20Medizinischer Universität Wien,3.0,1090,1090,1.0,7.0
1916,1915,Allgemeines Krankenhaus der Stadt Wien,Allgemeines Krankenhaus der Stadt Wien,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20DermatologieEbene 9.D5,Währinger Gürtel 18 – 20Medizinischer Universität Wien,0.0,1090,1090,1.0,4.0
1917,1917,Allgemeines Krankenhaus der Stadt Wien,Allgemeines Krankenhaus der Stadt Wien,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20,Währinger Gürtel 18-20,3.0,1090,1090,1.0,7.0
1918,1915,Allgemeines Krankenhaus der Stadt Wien,Allgemeines Krankenhaus der Stadt Wien,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20Abteilung für Endokrinologie and StoffwechselAbteilung für Endokrinologie & Stoffwechsel,Währinger Gürtel 18 – 20Medizinischer Universität Wien,0.0,1090,1090,1.0,4.0
1919,1917,Allgemeines Krankenhaus der Stadt Wien,Allgemeines Krankenhaus der Stadt Wien,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20,Währinger Gürtel 18-20,3.0,1090,1090,1.0,7.0
1920,1915,Allgemeines Krankenhaus der Stadt Wien,Allgemeines Krankenhaus der Stadt Wien,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20Innere Medizin III,Währinger Gürtel 18 – 20Medizinischer Universität Wien,0.0,1090,1090,1.0,4.0
1921,1921,Allgemeines Krankenhaus Wien,Allgemeines Krankenhaus Wien,1.0,VIENNA,VIENNA,1.0,Wien,Wien,1.0,Universittsklinik fr Innere Medizin IIIKlinische Abteilung fr Gastroenterologie und HepatologieWhringer Grtel 1820,Universittsklinik fr Innere Medizin IIIKlinische Abteilung fr Gastroenterologie und HepatologieWhringer Grtel 1820,3.0,1090,1090,1.0,7.0
1922,1922,Krankenanstalt Rudolfstiftung,Krankenanstalt Rudolfstiftung,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Straße,Währinger Straße,3.0,1090,1090,1.0,7.0
1923,1913,Medical University of Vienna,AKH Wien,0.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20,Währinger Gürtel 18-20,3.0,1090,1090,1.0,6.0
1924,1915,Medical University of Vienna,Allgemeines Krankenhaus der Stadt Wien,0.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20Dermatologie,Währinger Gürtel 18 – 20Medizinischer Universität Wien,3.0,1090,1090,1.0,6.0
1925,1925,Medizinische Universitat Wien (Medical University of Vienna),Medizinische Universitat Wien (Medical University of Vienna),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20,Währinger Gürtel 18-20,3.0,1090,1090,1.0,7.0
1926,1925,Medizinische Universitat Wien (Medical University of Vienna),Medizinische Universitat Wien (Medical University of Vienna),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20,Währinger Gürtel 18-20,3.0,1090,1090,1.0,7.0
1927,1925,Medizinische Universitat Wien (Medical University of Vienna),Medizinische Universitat Wien (Medical University of Vienna),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20,Währinger Gürtel 18-20,3.0,1090,1090,1.0,7.0
1928,1925,Medizinische Universitat Wien (Medical University of Vienna),Medizinische Universitat Wien (Medical University of Vienna),1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Währinger Gürtel 18-20Department of Medicine 1, Division of Haematology",Währinger Gürtel 18-20,0.0,1090,1090,1.0,4.0
1929,1925,Medizinische Universitat Wien (Medical University of Vienna),Medizinische Universitat Wien (Medical University of Vienna),1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Währinger Gürtel 18-20AKH Wien, Klinische Abteilung für Gastroenterologie und Hepatologie, Klinik für Innere Medizin III",Währinger Gürtel 18-20,0.0,1090,1090,1.0,4.0
1930,1925,Medizinische Universitat Wien (Medical University of Vienna),Medizinische Universitat Wien (Medical University of Vienna),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20Department of Dermatology,Währinger Gürtel 18-20,0.0,1090,1090,1.0,4.0
1931,1915,Medizinische Universitat Wien (Medical University of Vienna),Allgemeines Krankenhaus der Stadt Wien,0.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20Dermatologie,Währinger Gürtel 18 – 20Medizinischer Universität Wien,3.0,1090,1090,1.0,6.0
1932,1925,Medizinische Universitat Wien (Medical University of Vienna),Medizinische Universitat Wien (Medical University of Vienna),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Währinger Gürtel 18-20,Währinger Gürtel 18-20,3.0,1090,1090,1.0,7.0
1933,1933,St. Anna Kinderspital,St. Anna Kinderspital,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Kinderspitalgasse 6,Kinderspitalgasse 6,3.0,1090,1090,1.0,7.0
1934,1913,Universitätsklinik für Kinder- und Jugendheilkunde,AKH Wien,0.0,Salzburg,Wien,0.0,Wien,Wien,1.0,Währinger Gürtel 16,Währinger Gürtel 18-20,3.0,1090,1090,1.0,5.0
1935,1935,Klinik Favoriten,Klinik Favoriten,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Kundratstraße 3,Kundratstraße 3,3.0,1100,1100,1.0,7.0
1936,1936,Rheuma Zentrum Favoriten,Rheuma Zentrum Favoriten,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Quellenstraße 181,Quellenstraße 181,3.0,1100,1100,1.0,7.0
1937,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Strasse 30,Heinrich-Collin-Strasse 30,3.0,1140,1140,1.0,7.0
1938,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Strasse 30,Heinrich-Collin-Strasse 30,3.0,1140,1140,1.0,7.0
1939,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Strasse 30,Heinrich-Collin-Strasse 30,3.0,1140,1140,1.0,7.0
1940,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Strasse 30,Heinrich-Collin-Strasse 30,3.0,1140,1140,1.0,7.0
1941,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Strasse 30,Heinrich-Collin-Strasse 30,3.0,1140,1140,1.0,7.0
1942,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Straße 30Hämatologisches-Onkologisches Zentrum,Heinrich-Collin-Strasse 30,0.0,1140,1140,1.0,4.0
1943,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Strasse 30,Heinrich-Collin-Strasse 30,3.0,1140,1140,1.0,7.0
1944,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Straße 30Hämatologisches-Onkologisches Zentrum,Heinrich-Collin-Strasse 30,3.0,1140,1140,1.0,7.0
1945,1937,Hanusch Krankenhaus,Hanusch Krankenhaus,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Heinrich-Collin-Strasse 30,Heinrich-Collin-Strasse 30,3.0,1140,1140,1.0,7.0
1946,1946,Hanusch Krankenhaus Wiener Gebietskrankenkasse,Hanusch Krankenhaus Wiener Gebietskrankenkasse,1.0,VIENNA,VIENNA,1.0,Wien,Wien,1.0,Abteilung fr HmatologieHeeinrichCollinStrasse 30,Abteilung fr HmatologieHeeinrichCollinStrasse 30,3.0,1140,1140,1.0,7.0
1947,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartsraße 371. Medizinische Abteilung mit Onkologie,Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,7.0
1948,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 37Institut für NuklearmedizinPavillon 29,Montleartsraße 371. Medizinische Abteilung mit Onkologie,0.0,1160,1160,1.0,4.0
1949,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 37Institut für NuklearmedizinPavillon 29,Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,7.0
1950,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 37,Montleartsraße 371. Medizinische Abteilung mit Onkologie,0.0,1160,1160,1.0,4.0
1951,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Montleartstraße 371. Medizinische Abteilung, Zentrum für Onkologie und Hämatologie",Montleartsraße 371. Medizinische Abteilung mit Onkologie,0.0,1160,1160,1.0,4.0
1952,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 37Institut für NuklearmedizinPavillon 29,Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,7.0
1953,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 37Institut für NuklearmedizinPavillon 29,Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,7.0
1954,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,"Montleartstraße 371. Medizinische Abteilung, Zentrum für Onkologie und HämatologiePavilion 23",Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,7.0
1955,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 37Institut für NuklearmedizinPavillon 29,Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,7.0
1956,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 37Institut für NuklearmedizinPavillon 29,Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,7.0
1957,1947,Klinik Ottakring (früher: Wilhelminenspital),Klinik Ottakring (früher: Wilhelminenspital),1.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 37Institut für NuklearmedizinPavillon 29,Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,7.0
1958,1947,Medizinische Universitat Wien (Medical University of Vienna),Klinik Ottakring (früher: Wilhelminenspital),0.0,Wien,Wien,1.0,Wien,Wien,1.0,Montleartstraße 371. Medizinische Abteilung mit OnkologiePavilion 23,Montleartsraße 371. Medizinische Abteilung mit Onkologie,3.0,1160,1160,1.0,6.0
1959,1959,Ordination,Ordination,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Obkirchergasse 22/2/19Innere Medizin III,Obkirchergasse 22/2/19Innere Medizin III,3.0,1190,1190,1.0,7.0
1960,1959,Ordination,Ordination,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Obkirchergasse 22/2/19Innere Medizin III,Obkirchergasse 22/2/19Innere Medizin III,3.0,1190,1190,1.0,7.0
1961,1959,Ordination,Ordination,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Obkirchergasse 22/2/19Innere Medizin III,Obkirchergasse 22/2/19Innere Medizin III,3.0,1190,1190,1.0,7.0
1962,1959,Ordination,Ordination,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Obkirchergasse 22/2/19Innere Medizin III,Obkirchergasse 22/2/19Innere Medizin III,3.0,1190,1190,1.0,7.0
1963,1959,Ordination,Ordination,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Obkirchergasse 22/2/19Innere Medizin III,Obkirchergasse 22/2/19Innere Medizin III,3.0,1190,1190,1.0,7.0
1964,1964,Klinik Floridsdorf,Klinik Floridsdorf,1.0,Wien,Wien,1.0,Wien,Wien,1.0,Brünner Straße 68Abteilung für Innere Medizin und Pneumologie,Brünner Straße 68Abteilung für Innere Medizin und Pneumologie,3.0,1210,1210,1.0,7.0
1965,1965,Ordination Dr. Georg Stummvoll,Ordination Dr. Georg Stummvoll,1.0,Niederösterreich,Niederösterreich,1.0,Baden,Baden,1.0,Bahngasse 6,Bahngasse 6,3.0,2500,2500,1.0,7.0
