SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
2621,2621,instituto do câncer arnaldo vieira de carvalho,instituto do câncer arnaldo vieira de carvalho,1.0,são paulo,são paulo,1.0,são paulo,são paulo,1.0,rua aurora 8583o andar,rua aurora 8583o andar,3.0,01209000,01209000,1.0,7.0
2622,2622,ipec  instituto de pesquisa clínica,ipec  instituto de pesquisa clínica,1.0,são paulo,são paulo,1.0,são paulo,são paulo,1.0,rua marques de itu 503conj 31,rua marques de itu 503conj 31,3.0,01223001,01223001,1.0,7.0
2629,2629,instituto de ensino e pesquisa são lucas,instituto de ensino e pesquisa são lucas,1.0,são paulo,são paulo,1.0,são paulo,são paulo,1.0,rua arnolfo de azevedo 121,rua arnolfo de azevedo 121,3.0,01236030,01236030,1.0,7.0
2632,2632,hospital são paulo,hospital são paulo,1.0,são paulo,são paulo,1.0,são paulo,são paulo,1.0,rua novo horizonte 94 ap 22 sender miszputen,rua novo horizonte 94 ap 22 sender miszputen,3.0,01244020,01244020,1.0,7.0
2637,2637,instituto do câncer do estado de são paulo octávio frias de oliveira,instituto do câncer do estado de são paulo octávio frias de oliveira,1.0,são paulo,são paulo,1.0,são paulo,são paulo,1.0,avenida doutor arnaldo numero 251oncologia clinica pesquisa clinica,avenida doutor arnaldo numero 251oncologia clinica pesquisa clinica,3.0,01246 000,01246 000,1.0,7.0
2638,2638,centro de oncologia inrad hcfmusp,centro de oncologia inrad hcfmusp,1.0,são paulo,são paulo,1.0,são paulo,são paulo,1.0,rua drive arnaldo 251 5º andar,rua drive arnaldo 251 5º andar,3.0,01246000,01246000,1.0,7.0
2639,2639,hospital das clinicas da faculdade de medicina da universidade de sao paulo,hospital das clinicas da faculdade de medicina da universidade de sao paulo,1.0,sao paulo,sao paulo,1.0,sao paulo,sao paulo,1.0,avendia doutor arnaldo 251pesquisa clnicacerqueira cesar,avendia doutor arnaldo 251pesquisa clnicacerqueira cesar,3.0,01246000,01246000,1.0,7.0
2641,2641,instituto do câncer do estado de são paulo octávio frias de oliveira,instituto do câncer do estado de são paulo octávio frias de oliveira,1.0,rio de janeiro,rio de janeiro,1.0,são paulo,são paulo,1.0,avenida doutor arnaldo 251  12º andar,avenida doutor arnaldo 251  12º andar,3.0,01246000,01246000,1.0,7.0
2642,2642,faculdade de medicina da universidade de são paulo,faculdade de medicina da universidade de são paulo,1.0,são paulo,são paulo,1.0,sao paulo,sao paulo,1.0,av dr arnaldo  455  cerqueira césar,av dr arnaldo  455  cerqueira césar,3.0,01246903,01246903,1.0,7.0
2645,2645,hospital sirio libanes,hospital sirio libanes,1.0,sao paulo,sao paulo,1.0,sao paulo,sao paulo,1.0,rua dona adma jafet 115,rua dona adma jafet 115,3.0,01308050,01308050,1.0,7.0
