SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
2621,29973,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2622,29974,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2629,29981,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2632,29984,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2637,29989,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2638,29990,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2639,29991,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2641,29993,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2642,29994,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2645,29997,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2646,29998,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2649,30001,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2657,30009,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2658,30010,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2659,30011,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2672,30024,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2674,30026,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2675,30027,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2676,30028,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2677,30029,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2679,30031,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2681,30033,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2682,30034,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2686,30038,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2688,30040,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
2689,30041,1.0,1.0,1.0,3.0,1.0,Brazil,7.0
