SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
4,4,IMI Contact Address - TBD,IMI Contact Address - TBD,1.0,,,1.0,,,1.0,,,3.0,,,1.0,7.0
77,77,Laboratory Shipment Address - Princess Margaret Hospital,Laboratory Shipment Address - Princess Margaret Hospital,1.0,Ontario,Ontario,1.0,Toronto,Toronto,1.0,620 University Ave.8th FloorRoom 206,620 University Ave.8th FloorRoom 206,3.0,M5G 2C1,M5G 2C1,1.0,7.0
78,77,"University Health Network, Princess Margaret Hospital",Laboratory Shipment Address - Princess Margaret Hospital,0.0,Ontario,Ontario,1.0,Toronto,Toronto,1.0,610 University Ave.5th Floor Room 207,620 University Ave.8th FloorRoom 206,3.0,M5G 2M9,M5G 2C1,0.0,5.0
92,92,BC Cancer Agency,BC Cancer Agency,1.0,British Columbia,British Columbia,1.0,Vancouver,Vancouver,1.0,600 West 10th Avenue,600 West 10th Avenue,3.0,V5Z 1H6,V5Z 1H6,1.0,7.0
118,118,Queen Elizabeth II Health Science Centre,Queen Elizabeth II Health Science Centre,1.0,Nova Scotia,Nova Scotia,1.0,Halifax,Halifax,1.0,1276 South Park Street,1276 South Park Street,3.0,B3H 2Y9,B3H 2Y9,1.0,7.0
182,182,Mcgill University - Jewish General Hospital,Mcgill University - Jewish General Hospital,1.0,Quebec,Quebec,1.0,Montreal,Montreal,1.0,546 Pine West,546 Pine West,3.0,H2W 1S6,H2W 1S6,1.0,7.0
183,183,Manna Research Inc.,Manna Research Inc.,1.0,Ontario,Ontario,1.0,Toronto,Toronto,1.0,2291 Kipling Avenue,2291 Kipling Avenue,3.0,M9W 4L6,M9W 4L6,1.0,7.0
334,334,"BC Cancer Agency, Vancouver Centre","BC Cancer Agency, Vancouver Centre",1.0,British Columbia,British Columbia,1.0,Vancouver,Vancouver,1.0,"600 West 10th Ave,","600 West 10th Ave,",3.0,V5Z 4E6,V5Z 4E6,1.0,7.0
335,335,UBC BCCA Research Ethics Board,UBC BCCA Research Ethics Board,1.0,British Columbia,British Columbia,1.0,Vancouver,Vancouver,1.0,"Fairmont Medical Building750 West Broadway, Ste 1315","Fairmont Medical Building750 West Broadway, Ste 1315",3.0,V5Z IJ3,V5Z IJ3,1.0,7.0
336,336,Cross Cancer Institute,Cross Cancer Institute,1.0,Alberta,Alberta,1.0,Edmonton,Edmonton,1.0,11560 University Avenue,11560 University Avenue,3.0,T6G 1Z2,T6G 1Z2,1.0,7.0
337,337,Jewish General Hospital - Oncology Pharmacy,Jewish General Hospital - Oncology Pharmacy,1.0,Quebec,Quebec,1.0,Montreal,Montreal,1.0,"3755 Côte Ste-Catherine, Pavillion E, 8th floor","3755 Côte Ste-Catherine, Pavillion E, 8th floor",3.0,H3T 1E2,H3T 1E2,1.0,7.0
338,338,McGill UHC-Center for Applied Ethics,McGill UHC-Center for Applied Ethics,1.0,Quebec,Quebec,1.0,Montreal,Montreal,1.0,"2155 Guy St, Room 231","2155 Guy St, Room 231",3.0,H3H 2R9,H3H 2R9,1.0,7.0
339,339,Royal Victoria Hospital (RVH) - McGill University Health Centre (MUHC),Royal Victoria Hospital (RVH) - McGill University Health Centre (MUHC),1.0,Quebec,Quebec,1.0,Montreal,Montreal,1.0,687 Av Des Pins O,687 Av Des Pins O,3.0,H3A 1A1,H3A 1A1,1.0,7.0
340,340,Royal-Victoria Hospital- Study Coordinator's Office,Royal-Victoria Hospital- Study Coordinator's Office,1.0,Quebec,Quebec,1.0,Montreal,Montreal,1.0,"687 Pine Avenue, Pavillion A, 3rd Floor,","687 Pine Avenue, Pavillion A, 3rd Floor,",3.0,H3A 1A1,H3A 1A1,1.0,7.0
341,341,Princess Margaret Cancer Centre,Princess Margaret Cancer Centre,1.0,Ontario,Ontario,1.0,Toronto,Toronto,1.0,"Department of Medical Oncology and Hematology620 University Avenue, 6-606","Department of Medical Oncology and Hematology620 University Avenue, 6-606",3.0,M5G 2M9,M5G 2M9,1.0,7.0
342,342,University Health Network (UHN) - Princess Margaret Cancer Centre - Myeloma Clinic,University Health Network (UHN) - Princess Margaret Cancer Centre - Myeloma Clinic,1.0,Ontario,Ontario,1.0,Toronto,Toronto,1.0,610 University Avenue,610 University Avenue,3.0,M5G 2M9,M5G 2M9,1.0,7.0
353,353,Pharmacy - University Health Network,Pharmacy - University Health Network,1.0,Ontario,Ontario,1.0,Toronto,Toronto,1.0,610 University Ave.Room 4-115,610 University Ave.Room 4-115,3.0,M5G 2M9,M5G 2M9,1.0,7.0
354,354,Princess Margaret Cancer Centre,Princess Margaret Cancer Centre,1.0,Ontario,Ontario,1.0,Toronto,Toronto,1.0,610 University Avenue,610 University Avenue,3.0,M5G 2M9,M5G 2M9,1.0,7.0
355,355,University Health Network,University Health Network,1.0,Ontario,Ontario,1.0,Toronto,Toronto,1.0,610 University Ave,610 University Ave,3.0,M5G 2M9,M5G 2M9,1.0,7.0
