SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,CONCAT_ADDRESS
14339,CDM,PPD,FEB-1008,1-D1V3PB,,Canada,montreal childrens hospital,quebec,montreal,h3h 1p3,Disqualified,2300 rue tupper
4,CDM,ICON,C16007,,,Canada,imi contact address  tbd,,,,ACTIVE,
14340,CDM,PPD,FEB-1008,1-D1V3PO,,Canada,sainte justine hospital,quebec,montreal,h3t 1c5,Disqualified,3175 ch de lane côtesaintecatherine pediatrics
6152,CDM,IQVIA,TAK-883-3001,203,1-4RTU1EU,Canada,institut universitaire de cardiologie et de pneumologie de quebec,quebec,quebec,g1v 4g5,Dropped,2725 chemin stefoy u1771
16398,CDM,PPD,C16029,1-YWQSNZ,,Canada,windsor regional hospital,ontario,windsor,n8w 1l9,Disqualified,1995 lens avenue
36887,CDM,PRA,TAK-981-1501,07001,8180,Canada,jewish general hospital,quebec,montreal,h3t 1e2,Active Enrolling,3755 chemin de la ctesaintecatherine
8215,CDM,PPD,C14023,1-41ZL995,,Canada,tom baker cancer centre,alberta,calgary,ab t2n 2t9,Disqualified,1403 29 street northwest
34843,CDM,PPD,TMX-67_301,3519,,Canada,alpha clinical research llc,quebec,quebec,g3k 2p8,Closed,1147 boul pie xi n
18460,CDM,PPD,HGT-FIR-096,1-1KV34O,,Canada,mcgill university health center,quebec,montreal,h3g 1a4,Disqualified,1650 cedar avenue
34844,CDM,PPD,TMX-67_301,3520,,Canada,groupe de recherche en maladies osseuses inc,quebec,quebec city,g1v 3m7,Closed,1200 avenue germains des pres
8221,CDM,PPD,C14023,1-4204N9J,,Canada,cancer care manitoba,manitoba,winnipeg,r3e 0v9,Void,675 mcdermot avenue
38945,CDM,PPD,Vedolizumab-4005,1-V6HALX,,Canada,vancouver general hospital,british columbia,vancouver,v5z 1m9,Disqualified,855 west 12th avenue
12321,CDM,PPD,C16014,1-E8Q6N,,Canada,memorial university of newfoundland,newfoundland,saint johns,a1b 3v6,Disqualified,300 prince philip drive
45091,CTMS,PRA,AP26113-13-201,,,Canada,,,,,,
36908,CDM,PRA,AP26113-13-301,083,1-1F5KUQG,Canada,princess margaret cancer centre,on,toronto,m5g 2m9,Activated,610 university avenuefloor 5207
2099,CDM,IQVIA,C14018,7101,1-14CAU66,Canada,centre de santé et de services sociaux champlaincharlesle moyne,,,,,
41012,CTMS,PPD,C21005,07003,,Canada,centre hospitalier universitaire de sherbrookehospital fleurimont,,,,Closed,
41013,CTMS,PPD,C21005,07010,,Canada,southern interior medical research incorporated,,,,Closed,
38968,CTMS,,C14005,07002,,Canada,hopital maisonneuve  rosemont,,,,Closed,
38971,CTMS,,C14005,AML11,,Canada,northwest alabama cancer center,,,,Under Consideration,
38972,CTMS,,C14005,AML15,,Canada,rush university medical center,,,,Under Consideration,
45117,CTMS,PPD,C21012,1-1IDB9UG,,Canada,urology resource centre,,,,Withdrawn,
16446,CDM,PPD,HGT-FIR-096,1-1FOO0R,,Canada,rockyview general hospital,,calgary,t2v 1,Disqualified,7007 14th street southwest
41028,CTMS,PPD,C21004,07004,,Canada,london health sciences centreuniversity hospital,,,,Closed,
41029,CTMS,PPD,C21004,07006,,Canada,guelph urology associates,,,,Closed,
41030,CTMS,PPD,C21004,07008,,Canada,dr ken jansz,,,,Closed,
41031,CTMS,PPD,C21004,07026,,Canada,sinkaf incorporated,,,,Withdrawn,
45127,CTMS,Quintiles,AALL07P1,11001,,Canada,montreal childrens hospital,,,,Active,
12358,CDM,PPD,C16029,07002,,Canada,lakeridge health center,ontario,oshawa,l1g 2b9,Closed,1 hospital courtlakeridge health
77,CDM,ICON,C16007,,,Canada,laboratory shipment address  princess margaret hospital,ontario,toronto,m5g 2c1,ACTIVE,620 university ave8th floorroom 206
28758,CDM,PPD,SPD489-347,200,,Canada,center for pediatric excellence,ontario,ottawa,k2g 1w2,Withdrawn,1647 woodroffe avenue
28759,CDM,PPD,SPD489-347,202,,Canada,foothills medical centre,alberta,calgary,t2n 4z6,Withdrawn,3280 hospital drive northwest
92,CDM,ICON,C25001,07001,,Canada,bc cancer agency,british columbia,vancouver,v5z 1h6,ACTIVE,600 west 10th avenue
