SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
14339,14339,1.0,1.0,1.0,3.0,1.0,Canada,7.0
4,4,1.0,1.0,1.0,3.0,1.0,Canada,7.0
14340,14340,1.0,1.0,1.0,3.0,1.0,Canada,7.0
6152,6152,1.0,1.0,1.0,3.0,1.0,Canada,7.0
16398,16398,1.0,1.0,1.0,3.0,1.0,Canada,7.0
36887,36887,1.0,1.0,1.0,3.0,1.0,Canada,7.0
8215,8215,1.0,1.0,1.0,3.0,1.0,Canada,7.0
34843,34843,1.0,1.0,1.0,3.0,1.0,Canada,7.0
18460,18460,1.0,1.0,1.0,3.0,1.0,Canada,7.0
34844,34844,1.0,1.0,1.0,3.0,1.0,Canada,7.0
8221,8221,1.0,1.0,1.0,3.0,1.0,Canada,7.0
38945,38945,1.0,1.0,1.0,3.0,1.0,Canada,7.0
12321,12321,1.0,1.0,1.0,3.0,1.0,Canada,7.0
45091,45091,1.0,1.0,1.0,3.0,1.0,Canada,7.0
36908,36908,1.0,1.0,1.0,3.0,1.0,Canada,7.0
2099,2099,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41012,41012,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41013,41013,1.0,1.0,1.0,3.0,1.0,Canada,7.0
38968,38968,1.0,1.0,1.0,3.0,1.0,Canada,7.0
38971,38971,1.0,1.0,1.0,3.0,1.0,Canada,7.0
38972,38972,1.0,1.0,1.0,3.0,1.0,Canada,7.0
45117,45117,1.0,1.0,1.0,3.0,1.0,Canada,7.0
16446,16446,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41028,41028,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41029,41029,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41030,41030,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41031,41031,1.0,1.0,1.0,3.0,1.0,Canada,7.0
45127,45127,1.0,1.0,1.0,3.0,1.0,Canada,7.0
12358,12358,1.0,1.0,1.0,3.0,1.0,Canada,7.0
77,77,1.0,1.0,1.0,3.0,1.0,Canada,7.0
28758,28758,1.0,1.0,1.0,3.0,1.0,Canada,7.0
28759,28759,1.0,1.0,1.0,3.0,1.0,Canada,7.0
92,92,1.0,1.0,1.0,3.0,1.0,Canada,7.0
22632,22632,1.0,1.0,1.0,3.0,1.0,Canada,7.0
16491,16491,1.0,1.0,1.0,3.0,1.0,Canada,7.0
16492,16492,1.0,1.0,1.0,3.0,1.0,Canada,7.0
16493,16493,1.0,1.0,1.0,3.0,1.0,Canada,7.0
4207,4207,1.0,1.0,1.0,3.0,1.0,Canada,7.0
28785,28785,1.0,1.0,1.0,3.0,1.0,Canada,7.0
28786,28786,1.0,1.0,1.0,3.0,1.0,Canada,7.0
118,118,1.0,1.0,1.0,3.0,1.0,Canada,7.0
22647,22647,1.0,1.0,1.0,3.0,1.0,Canada,7.0
12409,12409,1.0,1.0,1.0,3.0,1.0,Canada,7.0
43130,43130,1.0,1.0,1.0,3.0,1.0,Canada,7.0
10362,10362,1.0,1.0,1.0,3.0,1.0,Canada,7.0
39037,39037,1.0,1.0,1.0,3.0,1.0,Canada,7.0
2176,2176,1.0,1.0,1.0,3.0,1.0,Canada,7.0
2177,2177,1.0,1.0,1.0,3.0,1.0,Canada,7.0
39042,39042,1.0,1.0,1.0,3.0,1.0,Canada,7.0
39043,39043,1.0,1.0,1.0,3.0,1.0,Canada,7.0
10370,10370,1.0,1.0,1.0,3.0,1.0,Canada,7.0
10371,10371,1.0,1.0,1.0,3.0,1.0,Canada,7.0
43142,43142,1.0,1.0,1.0,3.0,1.0,Canada,7.0
43143,43143,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41096,41096,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41097,41097,1.0,1.0,1.0,3.0,1.0,Canada,7.0
26755,26755,1.0,1.0,1.0,3.0,1.0,Canada,7.0
16521,16521,1.0,1.0,1.0,3.0,1.0,Canada,7.0
8332,8332,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41104,41104,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41105,41105,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41106,41106,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41108,41108,1.0,1.0,1.0,3.0,1.0,Canada,7.0
39064,39064,1.0,1.0,1.0,3.0,1.0,Canada,7.0
39065,39065,1.0,1.0,1.0,3.0,1.0,Canada,7.0
10395,10395,1.0,1.0,1.0,3.0,1.0,Canada,7.0
10396,10396,1.0,1.0,1.0,3.0,1.0,Canada,7.0
10397,10397,1.0,1.0,1.0,3.0,1.0,Canada,7.0
2208,2208,1.0,1.0,1.0,3.0,1.0,Canada,7.0
2209,2209,1.0,1.0,1.0,3.0,1.0,Canada,7.0
43169,43169,1.0,1.0,1.0,3.0,1.0,Canada,7.0
14497,14497,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41124,41124,1.0,1.0,1.0,3.0,1.0,Canada,7.0
8361,8361,1.0,1.0,1.0,3.0,1.0,Canada,7.0
37036,37036,1.0,1.0,1.0,3.0,1.0,Canada,7.0
39084,39084,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41134,41134,1.0,1.0,1.0,3.0,1.0,Canada,7.0
37042,37042,1.0,1.0,1.0,3.0,1.0,Canada,7.0
6325,6325,1.0,1.0,1.0,3.0,1.0,Canada,7.0
182,182,1.0,1.0,1.0,3.0,1.0,Canada,7.0
183,183,1.0,1.0,1.0,3.0,1.0,Canada,7.0
28856,28856,1.0,1.0,1.0,3.0,1.0,Canada,7.0
8395,8395,1.0,1.0,1.0,3.0,1.0,Canada,7.0
6360,6360,1.0,1.0,1.0,3.0,1.0,Canada,7.0
4312,4312,1.0,1.0,1.0,3.0,1.0,Canada,7.0
28893,28893,1.0,1.0,1.0,3.0,1.0,Canada,7.0
2273,2273,1.0,1.0,1.0,3.0,1.0,Canada,7.0
2274,2274,1.0,1.0,1.0,3.0,1.0,Canada,7.0
2277,2277,1.0,1.0,1.0,3.0,1.0,Canada,7.0
28915,28915,1.0,1.0,1.0,3.0,1.0,Canada,7.0
16627,16627,1.0,1.0,1.0,3.0,1.0,Canada,7.0
43255,43255,1.0,1.0,1.0,3.0,1.0,Canada,7.0
12536,12536,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41210,41210,1.0,1.0,1.0,3.0,1.0,Canada,7.0
41211,41211,1.0,1.0,1.0,3.0,1.0,Canada,7.0
30972,30972,1.0,1.0,1.0,3.0,1.0,Canada,7.0
4355,4355,1.0,1.0,1.0,3.0,1.0,Canada,7.0
43268,43268,1.0,1.0,1.0,3.0,1.0,Canada,7.0
33027,33027,1.0,1.0,1.0,3.0,1.0,Canada,7.0
8459,8459,1.0,1.0,1.0,3.0,1.0,Canada,7.0
