SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
4248,CDM,PPD,C16021,1-CJRYVL,,Chile,hospital clinico viña del mar,valparaíso,viña del mar,2352499,,1,limache 1741
4249,CDM,PRA,AP24534-14-203,828,1-1HIHTE6,Chile,centro de investigaciones clinicas vina del mar,valparaiso,vina del mar,2540364,,2,anabaena 336
4250,CDM,PPD,Ponatinib-1501,1-5VWG6T4,,Chile,hospital roberto del rio,regiónmetropolitanadesantiago,santiago,257 100,,3,profesor zanartu 1085 independencia
4251,CDM,PRA,AP24534-14-203,980,1-1LOD4QI,Chile,sociedad de investigaciones medicas,cautin,temuco,4810469,,4,lago puyehue 1745
4252,CDM,PPD,TAK-788-3001,1-5A0ZDJQ,,Chile,clinical research chile spa,los ríos,valdivia,5110683,,5,beauchef 683
4253,CDM,PPD,SHP620-302,1-235QPCG,,Chile,clinica santa maria,regiónmetropolitanadesantiago,santiago,7500000,,6,avenida bellavista 0415
4254,CDM,PPD,TAK-788-3001,1-5A0ZDK2,,Chile,prosalud,regiónmetropolitanadesantiago,santiago,7500006,,7,general salvo 159
4255,CDM,PRA,AP24534-14-203,829,1-1FC7U6Y,Chile,hospital del salvador,metropolitana,providencia,7500922,,8,avenida salvador 364
4256,CDM,PPD,SHP620-302,1-235QP8L,,Chile,hospital del salvador,regiónmetropolitanadesantiago,santiago,7500922,,9,avenida salvador 364providencia
4257,CDM,PPD,TAK-788-3001,1-4ZUIF1W,,Chile,iram cancer research,regiónmetropolitanadesantiago,santiago,7630370,,10,américo vespucio norte 1314vitacura
4258,CDM,PPD,C16021,1-CJRYU7,,Chile,hospital naval almirante nef,valparaíso,viña del mar,7650568,,11,subida alessandri 1505
4259,CDM,PRA,Brigatinib-3001,08002,1-1LR7MX8,Chile,centro de investigacion clinica bradford hill,santiago,recoleta,76894,,12,manzano 343
4260,CDM,PPD,SHP607-202,1-15MGMYA,,Chile,hospital san juan de dios,regiónmetropolitanadesantiago,santiago,8350488,,13,avenida brillante 106unidad de neonatología
4261,CDM,PPD,SHP620-302,1-235QPCT,,Chile,hospital clínico universidad de chile,regiónmetropolitanadesantiago,santiago,8380456,,14,santos dumont 999
