SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,Unnamed: 15,CONCAT_ADDRESS
8193,CDM,IQVIA,261203,545,1-1XGRFSY,Italy,fondazione irccs ca granda ospedale maggiore policlinico,milano,milano,20122,,333,via pace 9
8195,CDM,IQVIA,SHP655-201,601,1-44KZA6W,Italy,fondazione irccs ca granda ospedale maggiore policlinico,milano,milano,20122,,335,via pace 9uoc medicina generale emostasi e trombosi
8198,CDM,PPD,SHP634-401,401512,,Italy,fondazione irccs cà granda ospedale maggiore policlinico,lombardia,milano,20122,,338,via francesco sforzaendocrinologia e malattie metabolichepadiglione zonda
8199,CDM,PPD,SHP647-306,1-194Q8JR,,Italy,fondazione irccs cà granda ospedale maggiore policlinico,lombardia,milano,20122,,339,via francesco sforza 28
8206,CDM,PPD,SHP647-304,1-4MONB8T,,Italy,fondazione irccs cà granda ospedale maggiore policlinico,lombardia,milano,20122,,346,via francesco sforza 28uo gastroenterologia ed endoscopia digestiva
8214,CDM,PPD,C16029,28018,,Italy,fondazione irccs cà granda ospedale maggiore policlinico,milano,milano,20122,,354,via francesco sforza 35dipartimento delle units multispecialistiche e dei trapianti area ematologica trasfusionale uoc onc
8219,CDM,IQVIA,TAK-994-1501,28003,1-53CJ2HN,Italy,ospedale san raffaele san raffaele turro,milano,milano,20127,,359,via stamira dancona 20
8220,CDM,PRA,Ponatinib-3001,28003,1-1KR0U49,Italy,istituto scientifico universitario san raffaele,milano,milano,20132,,360,dipartimento di oncoematologicavia olgettina 60
8221,CDM,PRA,Brigatinib-3001,28015,1-1L6OLO8,Italy,istituto scientifico universitario san raffaele,milano,milano,20132,,361,unit operativa di oncologia medicavia olgettina 60
8223,CDM,IQVIA,C34001,28003,1-2NB9B0I,Italy,ospedale san raffaele,milan,milano,20132,,363,via olgettina 60ambulatori di ematologia settore r piano 1
8224,CDM,PRA,Brigatinib-1001,28001,1-1K6TWDB,Italy,ospedale san raffaele,milano,milano,20132,,364,via olgettina 60dipartimento di oncologia medicasettore q  1 piano
8225,CDM,PPD,SHP647-307,1-4MLX3S8,,Italy,ospedale san raffaele srl  ppds,lombardia,milan,20132,,365,via olgettina 60
8228,CDM,PPD,SHP647-301,1-XGCP7R,,Italy,ospedale san raffaele srl  ppds,lombardia,milano,20132,,368,via olgettina 60unità funzionale epatogastroenterologia clinica
8233,CDM,PPD,TAK-079-1005,1-5D7EOWR,,Italy,ospedale san raffaele srl  ppds,milano,milan,20132,,373,via olgettina 48unità operativa di neurologia
8234,CDM,PRA,C31004,28001,1-1C5QLEE,Italy,fondazione irccs  istituto nazionale dei tumori  milano,milano,milano,20133,,374,via giacomo venezian 1
8235,CDM,PPD,TAK-079-1005,1-5D7EOWE,,Italy,fondazione irccs di rilievo nazionale istituto nazionale neurologico carlo besta,lombardia,milano,20133,,375,via celoria 11uoc neurologia 4  neuroimmunologia e malattie neuromuscolari
8236,CDM,ICON,C25003,,5593,Italy,fondazione irccs istituto nazionale dei tumori,lombardy,milano,20133,,376,via venezian 1
8237,CDM,PPD,TAK-007-2001,1-87MOPMR,,Italy,istituto nazionale dei tumori,lombardia,milano,20133,,377,via g venezian 1oncologia medica 3  struttura semplice trattamento medico dei sarcomi dell adulto
8239,CDM,PPD,Pevonedistat-2001,w1-D8V3PA,,Italy,istituto nazionale dei tumori,lombardia,milano,20133,,379,via gvenezian 1dipartimento di ematologia e oncoematologia pediatrica
8240,CDM,PPD,C16029,1-YFS7G8,,Italy,istituto nazionale dei tumori,lombardia,milano,20133,,380,via venezian 1unità operativa trapianto midollo osseo
8243,CDM,PPD,NSMM-5001,1-MNRKQG,,Italy,istituto nazionale dei tumori,milano,milano,20133,,383,via venezian 1dipartimento di ematologia e oncoematologia pediatrica
