SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
7861,7861,Azienda Ospedaliera Città della Salute e della Scienza di Torino,Azienda Ospedaliera Città della Salute e della Scienza di Torino,1.0,Torino,Torino,1.0,Torino,Torino,1.0,Corso Bramante 88/90,Corso Bramante 88/90,3.0,00126,00126,1.0,7.0
7862,7862,Policlinico Universitario Campus Bio-Medico,Policlinico Universitario Campus Bio-Medico,1.0,ROMA,ROMA,1.0,ROMA,ROMA,1.0,Dipto Oncologia MedicaVia Alvaro del Portillo 200,Dipto Oncologia MedicaVia Alvaro del Portillo 200,3.0,00128,00128,1.0,7.0
7863,7863,Policlinico Universitario Campus Biomedico Di Roma,Policlinico Universitario Campus Biomedico Di Roma,1.0,Roma,Roma,1.0,Roma,Roma,1.0,Via Alvaro del Portillo 200,Via Alvaro del Portillo 200,3.0,00128,00128,1.0,7.0
7864,7863,Policlinico Universitario Campus Biomedico Di Roma,Policlinico Universitario Campus Biomedico Di Roma,1.0,Roma,Roma,1.0,Roma,Roma,1.0,via Alvaro del Portillo 200,Via Alvaro del Portillo 200,3.0,00128,00128,1.0,7.0
7865,7863,Policlinico Universitario Campus Biomedico Di Roma,Policlinico Universitario Campus Biomedico Di Roma,1.0,Roma,Roma,1.0,Roma,Roma,1.0,via Alvaro del Portillo 200,Via Alvaro del Portillo 200,3.0,00128,00128,1.0,7.0
7866,7863,Policlinico Universitario Campus Biomedico Di Roma,Policlinico Universitario Campus Biomedico Di Roma,1.0,Roma,Roma,1.0,Roma,Roma,1.0,via Alvaro del Portillo 200,Via Alvaro del Portillo 200,3.0,00128,00128,1.0,7.0
7867,7863,Policlinico Universitario Campus Biomedico Di Roma,Policlinico Universitario Campus Biomedico Di Roma,1.0,Roma,Roma,1.0,Roma,Roma,1.0,via Alvaro del Portillo 200,Via Alvaro del Portillo 200,3.0,00128,00128,1.0,7.0
7868,7863,Policlinico Universitario Campus Biomedico Di Roma,Policlinico Universitario Campus Biomedico Di Roma,1.0,Roma,Roma,1.0,Roma,Roma,1.0,Via Alvaro del Portillo 200,Via Alvaro del Portillo 200,3.0,00128,00128,1.0,7.0
7869,7863,Policlinico Universitario Campus Biomedico Di Roma,Policlinico Universitario Campus Biomedico Di Roma,1.0,Roma,Roma,1.0,Roma,Roma,1.0,via Alvaro del Portillo 200,Via Alvaro del Portillo 200,3.0,00128,00128,1.0,7.0
7870,7870,Azienda Ospedaliera Universitaria Policlinico Tor Vergata,Azienda Ospedaliera Universitaria Policlinico Tor Vergata,1.0,Roma,Roma,1.0,Roma,Roma,1.0,"Viale Oxford, 81Azienda Ospedaliera Univ Pol Tor Vergata - Dermatologia","Viale Oxford, 81Azienda Ospedaliera Univ Pol Tor Vergata - Dermatologia",3.0,00133,00133,1.0,7.0
7871,7870,Azienda Ospedaliera Universitaria Policlinico Tor Vergata,Azienda Ospedaliera Universitaria Policlinico Tor Vergata,1.0,Roma,Roma,1.0,Roma,Roma,1.0,"Viale Oxford, 81Azienda Ospedaliera Univ Pol Tor Vergata - Dermatologia","Viale Oxford, 81Azienda Ospedaliera Univ Pol Tor Vergata - Dermatologia",3.0,00133,00133,1.0,7.0
7872,7872,Azienda Ospedaliera Universitaria Policlinico Tor Vergata,Azienda Ospedaliera Universitaria Policlinico Tor Vergata,1.0,Rome,Rome,1.0,Roma,Roma,1.0,Viale Oxford 81,Viale Oxford 81,3.0,00133,00133,1.0,7.0
7873,7870,Fondazione PTV - Policlinico Tor Vergata,Azienda Ospedaliera Universitaria Policlinico Tor Vergata,0.0,Rome,Roma,0.0,Roma,Roma,1.0,Viale Oxford 81Azienda Ospedaliera Univ Pol Tor Vergata - Dermatologia,"Viale Oxford, 81Azienda Ospedaliera Univ Pol Tor Vergata - Dermatologia",3.0,00133,00133,1.0,5.0
7874,7874,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Via Montpellier, 1Dipartimento Di Neuroscienze","Via Montpellier, 1Dipartimento Di Neuroscienze",3.0,00133,00133,1.0,7.0
7875,7875,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva","Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva",3.0,00133,00133,1.0,7.0
7876,7874,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C Servizio di Reumatologia","Via Montpellier, 1Dipartimento Di Neuroscienze",0.0,00133,00133,1.0,4.0
7877,7874,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C. Oncoematologia","Via Montpellier, 1Dipartimento Di Neuroscienze",0.0,00133,00133,1.0,4.0
7878,7875,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva","Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva",3.0,00133,00133,1.0,7.0
7879,7879,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81","Viale Oxford, 81",3.0,00133,00133,1.0,7.0
7880,7875,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva","Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva",3.0,00133,00133,1.0,7.0
7881,7879,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81","Viale Oxford, 81",3.0,00133,00133,1.0,7.0
7882,7875,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva","Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva",3.0,00133,00133,1.0,7.0
7883,7875,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva","Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva",3.0,00133,00133,1.0,7.0
7884,7875,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva","Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva",3.0,00133,00133,1.0,7.0
7885,7875,Fondazione PTV Policlinico Tor Vergata,Fondazione PTV Policlinico Tor Vergata,1.0,Lazio,Lazio,1.0,Roma,Roma,1.0,"Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva","Viale Oxford, 81U.O.C. Gastroenterologia ed Endoscopia Digestiva",3.0,00133,00133,1.0,7.0
