SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
8193,8193,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8195,8195,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8198,8198,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8199,8199,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8206,8206,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8214,8214,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8219,8219,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8220,8220,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8221,8221,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8223,8223,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8224,8224,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8225,8225,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8228,8228,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8233,8233,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8234,8234,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8235,8235,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8236,8236,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8237,8237,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8239,8239,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8240,8240,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8243,8243,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8246,8246,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8247,8247,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8249,8249,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8254,8254,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8256,8256,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8257,8257,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8260,8260,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8262,8262,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8264,8264,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8265,8265,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8268,8268,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8270,8270,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8273,8273,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8275,8275,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8277,8277,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8278,8278,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8281,8281,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8290,8290,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8291,8291,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8293,8293,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8294,8294,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8297,8297,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8298,8298,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8305,8305,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8312,8312,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8313,8313,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8314,8314,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8316,8316,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8317,8317,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8319,8319,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8322,8322,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8323,8323,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8324,8324,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8330,8330,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8332,8332,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8333,8333,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8334,8334,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8335,8335,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8336,8336,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8337,8337,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8338,8338,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8339,8339,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8341,8341,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8343,8343,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8344,8344,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8348,8348,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8350,8350,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8353,8353,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8355,8355,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8356,8356,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8357,8357,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8358,8358,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8368,8368,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8369,8369,1.0,1.0,1.0,3.0,1.0,Italy,7.0
8370,8370,1.0,1.0,1.0,3.0,1.0,Italy,7.0
