SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
13522,13522,Cukurova Universitesi Tip Fakultesi Balcali Hastanesi,Cukurova Universitesi Tip Fakultesi Balcali Hastanesi,1.0,Adana,Adana,1.0,Adana,Adana,1.0,Cukurova Universitesi Tıp Fakultesi Balcalı HastanesiHematolojı Anabilim Dali,Cukurova Universitesi Tıp Fakultesi Balcalı HastanesiHematolojı Anabilim Dali,3.0,01130,01130,1.0,7.0
13523,13523,Baskent University Medical Faculty Adana Practice and Research Center,Baskent University Medical Faculty Adana Practice and Research Center,1.0,Adana,Adana,1.0,Adana,Adana,1.0,"39 Street, Yuregir","39 Street, Yuregir",3.0,01250,01250,1.0,7.0
13524,13524,Cukurova Universitesi Tip Fakultesi Balcali Hastanesi,Cukurova Universitesi Tip Fakultesi Balcali Hastanesi,1.0,Adana,Adana,1.0,Balcai,Balcai,1.0,"BalcalıCocuk Sagligi Ana Bilim Dali, Cocuk Metabolizma","BalcalıCocuk Sagligi Ana Bilim Dali, Cocuk Metabolizma",3.0,01300,01300,1.0,7.0
13525,13525,Cukurova Universitesi,Cukurova Universitesi,1.0,ADANA,ADANA,1.0,Adana,Adana,1.0,Balcali,Balcali,3.0,01330,01330,1.0,7.0
13526,13526,Cukurova Universitesi Tip Fakultesi Balcali Hastanesi,Cukurova Universitesi Tip Fakultesi Balcali Hastanesi,1.0,Adana,Adana,1.0,Adana,Adana,1.0,BalcaliHematology Dept,BalcaliHematology Dept,3.0,01330,01330,1.0,7.0
13527,13527,Ege University Medical Faculty,Ege University Medical Faculty,1.0,Izmir,Izmir,1.0,Izmir,Izmir,1.0,Ege Üniversitesi Hastanesi BornovaMedical Oncology Department,Ege Üniversitesi Hastanesi BornovaMedical Oncology Department,3.0,0232,0232,1.0,7.0
13528,13528,Ankara University Medical Faculty Ibni Sina Hospital,Ankara University Medical Faculty Ibni Sina Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Hacettepe street,Hacettepe street,3.0,06100,06100,1.0,7.0
13529,13528,Ankara University Medical Faculty Ibni Sina Hospital,Ankara University Medical Faculty Ibni Sina Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Hacettepe street,Hacettepe street,3.0,06100,06100,1.0,7.0
13530,13528,Ankara University Medical Faculty Ibni Sina Hospital,Ankara University Medical Faculty Ibni Sina Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Hacettepe street,Hacettepe street,3.0,06100,06100,1.0,7.0
13531,13528,Ankara University Medical Faculty Ibni Sina Hospital,Ankara University Medical Faculty Ibni Sina Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Hacettepe street,Hacettepe street,3.0,06100,06100,1.0,7.0
13532,13528,Ankara University Medical Faculty Ibni Sina Hospital,Ankara University Medical Faculty Ibni Sina Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Hacettepe street,Hacettepe street,3.0,06100,06100,1.0,7.0
13533,13528,Ankara University Medical Faculty Ibni Sina Hospital,Ankara University Medical Faculty Ibni Sina Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Hacettepe street,Hacettepe street,3.0,06100,06100,1.0,7.0
13534,13528,Ankara University Medical Faculty Ibni Sina Hospital,Ankara University Medical Faculty Ibni Sina Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Hacettepe street,Hacettepe street,3.0,06100,06100,1.0,7.0
13535,13535,Gazi Universitesi Tip Fakultesi,Gazi Universitesi Tip Fakultesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"BeşevlerDahiliye AD, Gastroenteroloji BD","BeşevlerDahiliye AD, Gastroenteroloji BD",3.0,06100,06100,1.0,7.0
13536,13535,Gazi Universitesi Tip Fakultesi,Gazi Universitesi Tip Fakultesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"BeşevlerDahiliye AD, Gastroenteroloji BD","BeşevlerDahiliye AD, Gastroenteroloji BD",3.0,06100,06100,1.0,7.0
13537,13535,Gazi Universitesi Tip Fakultesi,Gazi Universitesi Tip Fakultesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"BeşevlerDahiliye AD, Gastroenteroloji BD","BeşevlerDahiliye AD, Gastroenteroloji BD",3.0,06100,06100,1.0,7.0
13538,13535,Gazi Universitesi Tip Fakultesi,Gazi Universitesi Tip Fakultesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"BeşevlerDahiliye AD, Gastroenteroloji BD","BeşevlerDahiliye AD, Gastroenteroloji BD",3.0,06100,06100,1.0,7.0
13539,13535,Gazi Universitesi Tip Fakultesi,Gazi Universitesi Tip Fakultesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"BeşevlerDahiliye AD, Gastroenteroloji BD","BeşevlerDahiliye AD, Gastroenteroloji BD",3.0,06100,06100,1.0,7.0
13540,13535,Gazi Universitesi Tip Fakultesi,Gazi Universitesi Tip Fakultesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"BeşevlerDahiliye AD, Gastroenteroloji BD","BeşevlerDahiliye AD, Gastroenteroloji BD",3.0,06100,06100,1.0,7.0
13541,13535,Gazi Universitesi Tip Fakultesi,Gazi Universitesi Tip Fakultesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"BeşevlerDahiliye AD, Gastroenteroloji BD","BeşevlerDahiliye AD, Gastroenteroloji BD",3.0,06100,06100,1.0,7.0
13542,13542,Hacettepe Universitesi Tip Fakultesi Hastanesi,Hacettepe Universitesi Tip Fakultesi Hastanesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Sihhiye,Sihhiye,3.0,06100,06100,1.0,7.0
13543,13542,Hacettepe Universitesi Tip Fakultesi Hastanesi,Hacettepe Universitesi Tip Fakultesi Hastanesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,SihhiyeIc Hastaliklari Anabiim Dali,Sihhiye,0.0,06100,06100,1.0,4.0
13544,13544,Hacettepe University Medical Faculty,Hacettepe University Medical Faculty,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali","Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali",3.0,06100,06100,1.0,7.0
13545,13544,Hacettepe University Medical Faculty,Hacettepe University Medical Faculty,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali","Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali",3.0,06100,06100,1.0,7.0
13546,13544,Hacettepe University Medical Faculty,Hacettepe University Medical Faculty,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali","Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali",3.0,06100,06100,1.0,7.0
13547,13544,Hacettepe University Medical Faculty,Hacettepe University Medical Faculty,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali","Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali",3.0,06100,06100,1.0,7.0
13548,13544,Hacettepe University Medical Faculty,Hacettepe University Medical Faculty,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali","Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali",3.0,06100,06100,1.0,7.0
13549,13544,Hacettepe University Medical Faculty,Hacettepe University Medical Faculty,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,"Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali","Ahmet Adnan Saygun Main Street, SihhiyeIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali",3.0,06100,06100,1.0,7.0
13550,13550,Hacettepe University Medical Faculty,Hacettepe University Medical Faculty,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Hacettepe MahallesiMedical Oncology Department,Hacettepe MahallesiMedical Oncology Department,3.0,06230,06230,1.0,7.0
13551,13551,Gazi Universitesi Tip Fakultesi,Gazi Universitesi Tip Fakultesi,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Bahriye Ucok Main Street,Bahriye Ucok Main Street,3.0,06500,06500,1.0,7.0
13552,13552,Gazi University Faculty of Medicine,Gazi University Faculty of Medicine,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,BesevlerIc hastaliklari Anabilim Dali Hematoloji Bilim Dali,BesevlerIc hastaliklari Anabilim Dali Hematoloji Bilim Dali,3.0,06500,06500,1.0,7.0
13553,13553,Gazi University Medical Faculty Gazi Hospital,Gazi University Medical Faculty Gazi Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Bahriye Ucok Main StreetHematology Department,Bahriye Ucok Main StreetHematology Department,3.0,06500,06500,1.0,7.0
13554,13553,Gazi University Medical Faculty Gazi Hospital,Gazi University Medical Faculty Gazi Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Bahriye Ucok Main StreetHematoloji Bilim Dali,Bahriye Ucok Main StreetHematology Department,0.0,06500,06500,1.0,4.0
