SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,CONCAT_ADDRESS
13578,CDM,PPD,TAK-788-3001,55004,,Turkey,trakya university medical faculty,edirne,edirne,22020,,gullapoglu yerleskesimedical oncology department
13579,CDM,PPD,TAK-788-3001,55005,,Turkey,baskent university medical faculty adana practice and research center,adana,istanbul,2591,,dadaloglu mah2591 sok no4a 01250 yüreir adanamedical oncology department
13582,CDM,PPD,SHP647-306,1-3UCXXAK,,Turkey,gaziantep university medical faculty sahinbey research and practice hospital,gaziantep,gaziantep,27310,,universite bulvari sehitkamil
13589,CDM,PPD,Pevonedistat-3001,1-1ABP9DR,,Turkey,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34093,,capa fatihic hastaliklari anabilim dali hematoloji bilim dali
13598,CDM,PPD,SHP647-302,1-3UCXXM3,,Turkey,haseki egitim ve arastirma hastanesi,istanbul,fatih,34096,,adnan adivar cad
13605,CDM,PPD,Pevonedistat-3001,1-16V921T,,Turkey,istanbul university cerrahpasa medical faculty hospital,istanbul,istanbul,34098,,181 cerrahpasa street
13608,CDM,PPD,SHP647-306,1-2UENRVN,,Turkey,acibadem fulya hospital,istanbul,istanbul,34349,,dikilitas mah hakki yeten cad yesilcimen sokno23 fulya besiktas
13615,CDM,PPD,SHP647-302,1-3UCXXCA,,Turkey,istanbul universitesi istanbul tip fakultesi hastanesi,istanbul,istanbul,34360,,tesvikiye cadgastroenteroloji bd
13622,CDM,PPD,SHP647-302,1-5Q9AMK5,,Turkey,medicana international istanbul hospital,istanbul,istanbul,34520,,beylikduzu caddesi no 3 beylikduzu
13627,CDM,PPD,SHP647-307,307-885,,Turkey,acibadem altunizade hospital,istanbul,istanbul,34662,,yurtcan sokagi no1 uskudargastroenterology
13633,CDM,PPD,SHP647-301,1-111647K,,Turkey,haydarpasa numune education and research hospital,istanbul,üsküdar,34668,,selimiye tibbiye cad no 40gastroenteroloji bilim dali
13634,CDM,PPD,TAK-788-3001,55006,,Turkey,tc saglik bakanligi goztepe prof dr suleyman yalcin city hospital,istanbul,istanbul,34722,,egitim mahallesi fahrettin kerim gokay caddesi no 1611merdivenkoy poliklinigi tibbi onkoloji bolumu
13635,CDM,PPD,SHP647-302,302-886,,Turkey,acibadem kozyatagi hospital,istanbul,istanbul,34742,,inonu cad okur sok no20 kozyatagigastroenteroloji
13641,CDM,PPD,TAK-788-3001,1-52QPCH9,,Turkey,marmara university pendik training and research hospital,istanbul,istanbul,34899,,fevzi cakmak mahallesi muhsin yazicioglu cd no10tibbi onkoloji bolumu
13642,CDM,PPD,NSMM-5001,55004,,Turkey,dokuz eylul university medical faculty,izmir,izmir,35040,,bornovaic hastaliklari anabilim dali hematoloji bilim dali
13643,CDM,PPD,Pevonedistat-2001,1-D9AO12,,Turkey,ege universitesi tip fakultesi hastanesi,izmir,izmir,35040,,bornovaic hastaliklari anabilim dali hematoloji bilim dali
13647,CDM,PPD,SHP607-202,1-15O2IMB,,Turkey,dokuz eylul university medical faculty,izmir,izmir,35100,,bornova
13522,CDM,PPD,C16029,1-YTJMQG,,Turkey,cukurova universitesi tip fakultesi balcali hastanesi,adana,adana,1130,,cukurova universitesi tıp fakultesi balcalı hastanesihematolojı anabilim dali
13523,CDM,PPD,SHP620-302,636,,Turkey,baskent university medical faculty adana practice and research center,adana,adana,1250,,39 street yuregir
13524,CDM,PPD,SHP607-202,1-15O2II2,,Turkey,cukurova universitesi tip fakultesi balcali hastanesi,adana,balcai,1300,,balcalıcocuk sagligi ana bilim dali cocuk metabolizma
13525,CDM,PRA,Ponatinib-3001,55002,1-1LRGMTJ,Turkey,cukurova universitesi,adana,adana,1330,,balcali
13526,CDM,PPD,NSMM-5001,55011,,Turkey,cukurova universitesi tip fakultesi balcali hastanesi,adana,adana,1330,,balcalihematology dept
13527,CDM,PPD,TAK-788-3001,55002,,Turkey,ege university medical faculty,izmir,izmir,232,,ege üniversitesi hastanesi bornovamedical oncology department
13652,CDM,PPD,SHP647-307,1-3UCGHFK,,Turkey,dokuz eylul universitesi tip fakultesi hastanesi,izmir,izmir,35340,,mithatpasa cad no 1606 inciralti yerleskesi balcova
13528,CDM,PPD,SHP647-305,1-XVMKM0,,Turkey,ankara university medical faculty ibni sina hospital,ankara,ankara,6100,,hacettepe street
13663,CDM,PPD,Pevonedistat-3001,1-16V9215,,Turkey,erciyes university school of medicine,kayseri,kayseri,38039,,talas waycardiology department
13664,CDM,PPD,TAK-788-3001,55007,,Turkey,kocaeli university hospital,kocaeli,kocaeli,41380,,umuttepe yerleskesimedical oncology department
13665,CDM,PPD,NSMM-5001,55003,,Turkey,johns hopkins medicine  anadolu saglik merkezi,kocaeli,gebze,41400,,cumhuriyet mahallesi 2255 sokak no 3
13666,CDM,PPD,Pevonedistat-3001,55006,,Turkey,ondokuz mayis universitesi tip fakultesi hastanesi,samsun,samsun,55139,,kurupelitic hastaliklari anabilim dali hematoloji bilim dali
13535,CDM,PPD,SHP647-304,1-3UCV539,,Turkey,gazi universitesi tip fakultesi,ankara,ankara,6100,,beşevlerdahiliye ad gastroenteroloji bd
13667,CDM,PPD,SHP647-301,1-XYBGN6,,Turkey,turkiye yuksek ihtisas egitim ve arastirma hastanesi,ankara,ankara,6100,,ataturk bulvari kızılay sokak no4
13542,CDM,PPD,SHP647-301,1-ZNUS9S,,Turkey,hacettepe universitesi tip fakultesi hastanesi,ankara,ankara,6100,,sihhiye
13544,CDM,PPD,SHP647-305,1-1RS45WL,,Turkey,hacettepe university medical faculty,ankara,ankara,6100,,ahmet adnan saygun main street sihhiyeic hastaliklari anabilim dali gastroenteroloji bilim dali
13674,CDM,PPD,C16019,55908,,Turkey,karadeniz technical university faculty of medicine,trabzon,trabzon,61080,,farabi streethematoloji bilim dali
13675,CDM,PPD,TAK-788-3001,55008,,Turkey,sakarya university medical faculty,sakarya,sakarya,811,,sakarya universitesi tip fakultesi dekanligimedical oncology department
13550,CDM,PPD,TAK-788-3001,55003,,Turkey,hacettepe university medical faculty,ankara,ankara,6230,,hacettepe mahallesimedical oncology department
13551,CDM,PPD,C16019,55907,,Turkey,gazi universitesi tip fakultesi,ankara,ankara,6500,,bahriye ucok main street
13552,CDM,PPD,C16011,1-J84W5Z,,Turkey,gazi university faculty of medicine,ankara,ankara,6500,,besevleric hastaliklari anabilim dali hematoloji bilim dali
13553,CDM,PPD,NSMM-5001,1-OEX916,,Turkey,gazi university medical faculty gazi hospital,ankara,ankara,6500,,bahriye ucok main streethematology department
13555,CDM,PPD,Pevonedistat-3001,55001,,Turkey,gazi university medical faculty gazi hospital,ankara,ankara,6500,,bahriye ucok main street
13559,CDM,PPD,SHP607-202,1-15O2ILZ,,Turkey,ankara university medica faculty hematology department clinical research area  ppds,ankara,ankara,6590,,dikimevicocuk sagligi ve hastaliklari abdneonatoloji bd
13560,CDM,PPD,Pevonedistat-2001,1-D88V0O,,Turkey,ankara university medical faculty ppds,ankara,ankara,6590,,cebeci kampusuhematoloji anabilim dali
13563,CDM,PPD,NSMM-5001,55009,,Turkey,akdeniz university medical faculty,antalya,antalya,7059,,dumlupinar bulvari kampushematology dept
13564,CDM,PPD,SHP647-307,1-3UCXXKO,,Turkey,uludag university medical faculty,bursa,bursa,16059,,gorukle campusgastroenterology department
