SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
13578,13578,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13579,13579,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13582,13582,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13589,13589,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13598,13598,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13605,13605,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13608,13608,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13615,13615,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13622,13622,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13627,13627,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13633,13633,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13634,13634,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13635,13635,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13641,13641,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13642,13642,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13643,13643,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13647,13647,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13522,13522,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13523,13523,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13524,13524,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13525,13525,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13526,13526,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13527,13527,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13652,13652,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13528,13528,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13663,13663,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13664,13664,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13665,13665,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13666,13666,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13535,13535,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13667,13667,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13542,13542,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13544,13544,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13674,13674,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13675,13675,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13550,13550,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13551,13551,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13552,13552,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13553,13553,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13555,13555,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13559,13559,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13560,13560,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13563,13563,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13564,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
