SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM,CONCAT_ADDRESS
102400,USA,80810,keefe memorial hospital,co,cheyenne wells,CHEYENNE,(719) 767-5661,Critical Access Hospitals,Government - Hospital District or Authority,79889,602 n 6thw st
102401,USA,80821,lincoln community hospital,co,hugo,LINCOLN,(719) 743-2421,Critical Access Hospitals,Voluntary non-profit - Other,71500,111 6th st
102402,USA,80863,uchealth pikes peak regional hospital,co,woodland park,TELLER,(719) 687-9999,Critical Access Hospitals,Voluntary non-profit - Private,12734,16420 westhighway 24
102403,USA,80918,uchealth grandview hospital,co,colorado springs,EL PASO,(719) 272-3623,Acute Care Hospitals,Voluntary non-profit - Private,50790,5623 pulpit peak view
102404,USA,80923,peak view behavioral health,co,colorado springs,EL PASO,(719) 444-8484,Psychiatric,Proprietary,39065,7353 sisters grove
102405,USA,81003,parkview medical center inc,co,pueblo,PUEBLO,(719) 584-4000,Acute Care Hospitals,Voluntary non-profit - Private,29430,400 w 16thst
102406,USA,81004,centura healthst mary corwin medical center,co,pueblo,PUEBLO,(719) 557-4000,Acute Care Hospitals,Voluntary non-profit - Church,18909,1008 minnequa ave
102407,USA,81073,southeast colorado hospital,co,springfield,BACA,(719) 523-4501,Critical Access Hospitals,Government - Hospital District or Authority,90242,373 e tenth ave
102408,USA,81082,mt san rafael hospital,co,trinidad,LAS ANIMAS,(719) 846-9213,Critical Access Hospitals,Voluntary non-profit - Private,22023,410 benedicta ave
102409,USA,81089,spanish peaks regional health center,co,walsenburg,HUERFANO,(719) 738-5100,Critical Access Hospitals,Government - Hospital District or Authority,56475,23500 us hwy 160
102410,USA,81140,san luis valley health conejos county hospital,co,la jara,CONEJOS,(719) 274-5121,Critical Access Hospitals,Voluntary non-profit - Private,93013,19021 us highway 285
102411,USA,81201,heart of the rockies regional medical center,co,salida,CHAFFEE,(719) 530-2200,Critical Access Hospitals,Government - Hospital District or Authority,12630,1000 rushdr
102412,USA,81212,centura healthst thomas more hospital,co,canon city,FREMONT,(719) 285-2000,Critical Access Hospitals,Voluntary non-profit - Private,58836,1338 phayavenue
102413,USA,81321,southwest memorial hospital,co,cortez,MONTEZUMA,(970) 565-6666,Critical Access Hospitals,Voluntary non-profit - Private,33919,1311 n mildred rd
102414,USA,81401,montrose memorial hospital,co,montrose,MONTROSE,(970) 249-2211,Acute Care Hospitals,Voluntary non-profit - Private,93864,800 s 3rdst
102415,USA,81416,delta county memorial hospital,co,delta,DELTA,(970) 874-7681,Acute Care Hospitals,Government - Local,72839,1501 e 3rdst
102416,USA,81501,west springs hospital,co,grand junction,MESA,(970) 263-4918,Psychiatric,Voluntary non-profit - Private,92276,515 28 34rd
102417,USA,81505,community hospital,co,grand junction,MESA,(970) 256-6201,Acute Care Hospitals,Voluntary non-profit - Private,29185,2351 g road
102418,USA,81601,valley view hospital association,co,glenwood springs,GARFIELD,(970) 945-6535,Acute Care Hospitals,Voluntary non-profit - Private,10477,1906 blakeave
102419,USA,81641,pioneers medical center,co,meeker,RIO BLANCO,(970) 878-5047,Critical Access Hospitals,Government - Hospital District or Authority,24960,100 pioneers medicalcenter dr
102420,USA,81648,rangely district hospital,co,rangely,RIO BLANCO,(970) 675-5011,Critical Access Hospitals,Government - Hospital District or Authority,61421,225 eaglecrest st
102421,USA,82240,community hospital,wy,torrington,GOSHEN,(307) 532-4181,Critical Access Hospitals,Voluntary non-profit - Private,86763,2000 campbell drive
102422,USA,82301,memorial hospital of carbon county,wy,rawlins,CARBON,(307) 324-2221,Critical Access Hospitals,Government - Local,36273,2221 westelm street
102423,USA,82401,washakie medical center,wy,worland,WASHAKIE,(307) 347-3221,Critical Access Hospitals,Government - Local,38703,400 south15th street
