SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
100,100,HOSPITAL DR CAYETANO COLL Y TOSTE,HOSPITAL DR CAYETANO COLL Y TOSTE,1.0,PR,PR,1.0,ARECIBO,ARECIBO,1.0,CARRETERA129 KM.1 AVENIDA SANLUIS,CARRETERA129 KM.1 AVENIDA SANLUIS,3.0,613,613,1.0,7.0
101,101,HOSPITAL METROPOLITANO DE LA MONTANA,HOSPITAL METROPOLITANO DE LA MONTANA,1.0,PR,PR,1.0,BDA NUEVA,BDA NUEVA,1.0,CALLE ISAAC GONZALEZESQUINA LEDESMA,CALLE ISAAC GONZALEZESQUINA LEDESMA,3.0,641,641,1.0,7.0
102,102,"DOCTORS' CENTER HOSPITAL, INC","DOCTORS' CENTER HOSPITAL, INC",1.0,PR,PR,1.0,MANATI,MANATI,1.0,"MARGINAL CARRETERA NO 2, KM 477","MARGINAL CARRETERA NO 2, KM 477",3.0,674,674,1.0,7.0
103,103,MANATI MEDICAL CENTER DR OTERO LOPEZ,MANATI MEDICAL CENTER DR OTERO LOPEZ,1.0,PR,PR,1.0,MANATI,MANATI,1.0,CALLE HERNANDEZ CARRION URB ATENAS,CALLE HERNANDEZ CARRION URB ATENAS,3.0,674,674,1.0,7.0
104,104,HOSPITAL PEREA,HOSPITAL PEREA,1.0,PR,PR,1.0,MAYAGUEZ,MAYAGUEZ,1.0,15 DR BASORA STREET,15 DR BASORA STREET,3.0,681,681,1.0,7.0
105,105,HOSPITAL DE LA CONCEPCION,HOSPITAL DE LA CONCEPCION,1.0,PR,PR,1.0,SAN GERMAN,SAN GERMAN,1.0,ROAD NUMBER 2 KM 173.4 CAIN ALTO,ROAD NUMBER 2 KM 173.4 CAIN ALTO,3.0,683,683,1.0,7.0
106,106,HOSPITAL METROPOLITANO DR TITO MATTEI,HOSPITAL METROPOLITANO DR TITO MATTEI,1.0,PR,PR,1.0,YAUCO,YAUCO,1.0,ROAD 128 KM 1.0,ROAD 128 KM 1.0,3.0,698,698,1.0,7.0
107,107,MENNONITE GENERAL HOSPITAL INC,MENNONITE GENERAL HOSPITAL INC,1.0,PR,PR,1.0,AIBONITO,AIBONITO,1.0,CALLE JOSEC VASQUEZBO. CAONILLAS,CALLE JOSEC VASQUEZBO. CAONILLAS,3.0,705,705,1.0,7.0
108,108,HIMA SAN PABLO-CAGUAS,HIMA SAN PABLO-CAGUAS,1.0,PR,PR,1.0,CAGUAS,CAGUAS,1.0,AVE LUIS MUNOZ MARIN,AVE LUIS MUNOZ MARIN,3.0,725,725,1.0,7.0
109,109,HOSPITAL MENONITA CAGUAS INC,HOSPITAL MENONITA CAGUAS INC,1.0,PR,PR,1.0,CAGUAS,CAGUAS,1.0,CARR 172 EXIT 21 URBTURABO GARDENS,CARR 172 EXIT 21 URBTURABO GARDENS,3.0,725,725,1.0,7.0
110,110,INSPIRA BEHAVIOR CARE CORP,INSPIRA BEHAVIOR CARE CORP,1.0,PR,PR,1.0,PONCE,PONCE,1.0,CALLE GUADALUPE 184(ANTIGUO HOSPITAL SAN LUCAS),CALLE GUADALUPE 184(ANTIGUO HOSPITAL SAN LUCAS),3.0,733,733,1.0,7.0
111,111,SAN LUKE'S MEMORIAL HOSPITAL INC,SAN LUKE'S MEMORIAL HOSPITAL INC,1.0,PR,PR,1.0,PONCE,PONCE,1.0,TITO CASTRO AVE #917,TITO CASTRO AVE #917,3.0,733,733,1.0,7.0
