SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
22016,CDM,PPD,TAK-071-2002,1-B8X39UL,,United_States,hattiesburg clinic,mississippi,hattiesburg,394017233,,6958,301 s 28th avesouthern heart center
22017,CDM,PPD,SHP647-306,1-25THNFJ,,United_States,hattiesburg gi associates,mississippi,hattiesburg,394021301,,6959,100 methodist blvd
22031,CDM,PPD,SHP647-301,1-205DFJG,,United_States,gastroenterology center pa,mississippi,gulfport,39501,,6973,4500 west railroad st
22038,CDM,PRA,SYR-322_309,58007,1-1ENGFOL,United_States,gulfside clinical research,ms,gulfport,39501,,6980,3300 15th street
22039,CDM,PPD,SHP647-305,1-Y0WJGA,,United_States,digestive health center pa,mississippi,ocean springs,39564,,6981,3890 bienville boulevard
22048,CDM,PPD,SHP647-305,1-10977ER,,United_States,regional digestive specialists pc,mississippi,pascagoula,39581,,6990,4511 hospital street
22050,CDM,PPD,TAK-788-2001,1-74VZMU5,,United_States,singing river health system,mississippi,pascagoula,39581,,6992,2809 denny avenueregional cancer center
22051,CDM,IQVIA,MLN0002SC-3031,58121,1-2Q5T3EJ,United_States,digestive health center pa,pascagoula,mississippi,395814117,,6993,3616 hospital street suite a
22052,CDM,PPD,C16014,1-CLBK3,,United_States,north mississippi hematology and oncology associates ltd,mississippi,columbus,39705,,6994,2221 5th street northsuite 2
22054,CDM,PPD,SHP634-404,1-1HJW2DN,,United_States,new orleans center for clinical research noccr  knoxville,tennessee,knoxville,39720,,6996,1924 alcoa highway
22055,CDM,PPD,SHP465-308,106,,United_States,kentucky pediatricadult research,kentucky,bardstown,40004,,6997,201 south 5th street
22057,CDM,PPD,TAK-007-2001,1-7EZ4UEC,,United_States,james graham brown cancer center,kentucky,louisville,40202,,6999,529 south jackson street
21559,CDM,PPD,SHP647-303,1-246IL1O,,United_States,clarksville gastroenterology pc,tennessee,clarksville,37043,,6501,132 hillcrest drive
21564,CDM,PPD,SHP647-306,1-15YDWSD,,United_States,gi specialists of clarksville pc,tennessee,montgomery county,37043,,6506,280 warfield boulevard clarksville
21571,CDM,PRA,C16047,58014L,1-1M2PFQZ,United_States,scri  tennessee oncology  dickson clinic,tn,dickson,37055,,6513,103 natchez park drivesuite 103
21573,CDM,PRA,C16047,58014K,1-1M2PFPS,United_States,tennessee oncology,tn,gallatin,37066,,6515,223 big station camp boulevardsuite 201
21574,CDM,PRA,C16047,58014G,1-1M2PFJZ,United_States,scri  tennessee oncology  gallatin clinic,tn,gallatin,370668466,,6516,225 big station camp boulevardsuite 201
21576,CDM,PPD,SHP647-305,1-112AVHW,,United_States,bluegrass clinical research inc,tennessee,franklin,37067,,6518,740 cool springs boulevardsuite 210
21577,CDM,IQVIA,TAK-883-3001,105,1-4RGBWKC,United_States,clinical research solutions llc,franklin,tennessee,37067,,6519,4601 carothers pkwysuite 350
21579,CDM,PPD,C16014,1-HHSPU,,United_States,dial research associates inc,tennessee,franklin,37067,,6521,100 covey drive
21581,CDM,PPD,Pevonedistat-1016,1-3M8FDY5,,United_States,sarah cannon cancer center,tennessee,franklin,37067,,6523,4323 caruthers parkwaysuite 307
21582,CDM,PRA,C16047,58014J,1-1M2PFOL,United_States,scri  tennessee oncology  franklin clinic,tn,franklin,37067,,6524,4323 carothers parkwaysuite 500
21584,CDM,PPD,SHP647-302,1-15TZTQI,,United_States,ace research specialists llc,tennessee,hermitage,37076,,6526,5651 frist boulevardsuite 309
21591,CDM,PPD,SHP647-301,1-XZH9OJ,,United_States,associates in gastroenterology plc,tennessee,hermitage,37076,,6533,5653 frist boulevardsuite 730
21593,CDM,PRA,C31004,58006F,1-1EJGNAJ,United_States,scri  tennessee oncology  hermitage summit clinic,tn,hermitage,37076,,6535,5653 frist boulevardsuite 434
21595,CDM,PRA,C31004,58006J,1-1EJGNI8,United_States,tennessee oncology  lebanon clinic location,tn,lebanon,37090,,6537,103 physicians waysuite 120
21597,CDM,PRA,C31004,58006L,1-1EJMYGH,United_States,scri  tennessee oncology  murfreesboro clinic,tn,murfreesboro,37129,,6539,1840 medical center parkwaysuite 300
21599,CDM,PPD,SHP647-303,1-1643IS0,,United_States,midstate gastroenterology,tennessee,murfreesboro,37130,,6541,1115b dow street
21607,CDM,PRA,C16047,58014M,1-1M2PFS7,United_States,tennessee oncology  shelbyville clinic,tn,shelbyville,37160,,6549,120 frank martin roadsuite 102
21609,CDM,PRA,C31004,58006B,1-1EJC3UE,United_States,tennessee oncology  smyrna clinic,tn,smyrma,37167,,6551,300 stonecrest boulevardsuite 400
21611,CDM,PPD,SHP647-303,1-1652MUA,,United_States,frist clinic pc,tennessee,nashville,37203,,6553,2400 patterson street
21617,CDM,PPD,SHP465-308,142,,United_States,pediatric neurology associates,tennessee,nashville,37203,,6559,2201 murphy avenue
21618,CDM,PPD,C16027,1-RZQ4FU,,United_States,sarah cannon cancer center,tennessee,nashville,37203,,6560,250 25th avenuesuite 412
21624,CDM,PRA,TAK-573-1001,58100,11789,United_States,sarah cannon research institute,tennessee,nashville,37203,,6566,1100 charlotte avenuesuite 800
21625,CDM,PPD,C16021,1-8IWLVN,,United_States,sarah cannon research institute,tennessee,nashville,37203,,6567,250 25th avenue northsuite 110
21634,CDM,IQVIA,C34001,58001,1-13IZAV0,United_States,scri  tennessee oncology,nashville,tennessee,37203,,6576,250 25th avenue n suite 200suite 707
