SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,Unnamed: 15,CONCAT_ADDRESS
15136,CDM,PPD,SHP647-305,1-ZGYDYW,,United_States,emerson hospital,massachusetts,concord,01742,,78.0,131 old road to 9 acre corsuite 530
15138,CDM,PPD,SHP647-301,1-1119K7O,,United_States,community clinical research networks,massachusetts,marlborough,01752,,80.0,79 mosher lane
15140,CDM,PPD,SHP621-301,1-HI0JKA,,United_States,lahey clinic,massachusetts,burlington,01805,,82.0,41 mall roadtransplantation
15142,CDM,PPD,C16014,58103,,United_States,lahey clinic,massachussets,burlington,01805,,84.0,41 mall road lahey clinichematology
15143,CDM,PPD,TAK-788-2001,1-74VZMQW,,United_States,lahey hospital and medical center,massachusetts,burlington,01805,,85.0,41 burlington mall road
15145,CDM,PPD,SHP647-305,1-YJYSX0,,United_States,lahey outpatient center,massachusetts,burlington,01805,,87.0,41 mall road3rd floor
15147,CDM,PPD,SHP647-301,1-203PCDR,,United_States,pentucket medical associates,massachusetts,haverhill,01830,,89.0,1 park waygastroenterology  merrimack valley endoscopy center
15119,CDM,PPD,MLN0002-3024,1-DKKUSHI,,United_States,umass memorial medical center,massachusetts,worcester,016550002,,61.0,55 lake ave n
15120,CDM,PPD,SHP647-301,1-203PCDF,,United_States,greater boston gastroenterology pc,massachusetts,framingham,01702,,62.0,475 franklin streetsuite 110
15129,CDM,PPD,SHP647-305,1-1444GKV,,United_States,bedford va research corporation inc  navref  ppds,maryland,bedford,01730,,71.0,200 springs road
15132,CDM,PPD,SHP647-302,1-15MO4TK,,United_States,edith nourse rogers memorial veterans hospital  navref  ppds,massachusetts,bedford,01730,,74.0,200 springs road
