SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
15059,15059,tufts medical center  ppds,tufts medical center  ppds,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,800 washington street,800 washington street,3.0,211,211,1.0,7.0
15061,15061,ponce medical school foundation,ponce medical school foundation,1.0,pr,pr,1.0,ponce,ponce,1.0,280 monterrey street,280 monterrey street,3.0,716,716,1.0,7.0
15062,15062,ponce medical school foundation inc,ponce medical school foundation inc,1.0,puerto rico,puerto rico,1.0,ponce,ponce,1.0,280 monterrey streetcaimed center,280 monterrey streetcaimed center,3.0,716,716,1.0,7.0
15063,15063,fundacion de investigacion de diego fdi clinical research,fundacion de investigacion de diego fdi clinical research,1.0,puerto rico,puerto rico,1.0,humacao,humacao,1.0,355 calle font marteloryder memorial hospital  nursing home rmhc,355 calle font marteloryder memorial hospital  nursing home rmhc,3.0,792,792,1.0,7.0
15064,15064,rafael h zaragozaurdaz,rafael h zaragozaurdaz,1.0,san juan,san juan,1.0,puerto rico,puerto rico,1.0,317 ave manuel domenech,317 ave manuel domenech,3.0,918,918,1.0,7.0
15065,15065,hospital auxilio mutuo cancer center,hospital auxilio mutuo cancer center,1.0,puerto rico,puerto rico,1.0,san juan,san juan,1.0,avenida ponce de leon 725 edificio nino jesus pda 3712 piso 4internal medicine,avenida ponce de leon 725 edificio nino jesus pda 3712 piso 4internal medicine,3.0,919,919,1.0,7.0
15066,15066,san juan va medical center  navref  ppds,san juan va medical center  navref  ppds,1.0,puerto rico,puerto rico,1.0,san juan,san juan,1.0,10 casia street,10 casia street,3.0,921,921,1.0,7.0
15067,15067,san juan community oncology group,san juan community oncology group,1.0,puerto rico,puerto rico,1.0,san juan,san juan,1.0,735 ponce de león,735 ponce de león,3.0,9221965,9221965,1.0,7.0
15068,15068,puerto rico clinical and translational research consortium,puerto rico clinical and translational research consortium,1.0,pr,pr,1.0,san juan,san juan,1.0,1st floor university hospitalpo box 365067,1st floor university hospitalpo box 365067,3.0,936,936,1.0,7.0
15069,15069,pr hematology oncology group,pr hematology oncology group,1.0,puerto rico,puerto rico,1.0,bayamon,bayamon,1.0,100 paseo san pablosuite 510,100 paseo san pablosuite 510,3.0,961,961,1.0,7.0
15070,15070,hampshire gastroenterology associates,hampshire gastroenterology associates,1.0,massachusetts,massachusetts,1.0,florence,florence,1.0,10 main street,10 main street,3.0,1062,1062,1.0,7.0
15078,15078,bay state medical associates,bay state medical associates,1.0,massachusetts,massachusetts,1.0,springfield,springfield,1.0,759 chestnut street,759 chestnut street,3.0,1199,1199,1.0,7.0
15079,15079,baystate medical associates,baystate medical associates,1.0,massachusetts,massachusetts,1.0,springfield,springfield,1.0,baystate medical center3300 main street,baystate medical center3300 main street,3.0,1199,1199,1.0,7.0
15087,15087,berkshire gastroenterology pc,berkshire gastroenterology pc,1.0,massachusetts,massachusetts,1.0,pittsfield,pittsfield,1.0,24 charles street,24 charles street,3.0,1201,1201,1.0,7.0
15094,15094,berkshire hematology oncology,berkshire hematology oncology,1.0,massachussets,massachussets,1.0,north adams,north adams,1.0,77 hospital avenue,77 hospital avenue,3.0,1247,1247,1.0,7.0
15096,15096,university of massachusetts memorial health care,university of massachusetts memorial health care,1.0,massachusetts,massachusetts,1.0,fitchburg,fitchburg,1.0,275 nichols roadhealth alliance,275 nichols roadhealth alliance,3.0,1420,1420,1.0,7.0
15099,15099,university of massachusetts medical school,university of massachusetts medical school,1.0,massachusetts,massachusetts,1.0,worcester,worcester,1.0,281 lincoln street,281 lincoln street,3.0,1605,1605,1.0,7.0
15100,15100,university of massachusetts memorial childrens medical center,university of massachusetts memorial childrens medical center,1.0,massachusetts,massachusetts,1.0,worcester,worcester,1.0,119 belmont street,119 belmont street,3.0,1605,1605,1.0,7.0
15102,15102,reliant medical group,reliant medical group,1.0,massachusetts,massachusetts,1.0,worcester,worcester,1.0,123 summer street,123 summer street,3.0,1608,1608,1.0,7.0
15114,15114,umass memorial medical center,umass memorial medical center,1.0,massachussets,massachussets,1.0,worcester,worcester,1.0,55 lake ave norths7715,55 lake ave norths7715,3.0,1655,1655,1.0,7.0
15118,15118,umass memorial medical center,umass memorial medical center,1.0,massachusetts,massachusetts,1.0,worcester,worcester,1.0,55 lake ave n,55 lake ave n,3.0,16550002,16550002,1.0,7.0
15120,15120,greater boston gastroenterology pc,greater boston gastroenterology pc,1.0,massachusetts,massachusetts,1.0,framingham,framingham,1.0,475 franklin streetsuite 110,475 franklin streetsuite 110,3.0,1702,1702,1.0,7.0
15129,15129,bedford va research corporation inc  navref  ppds,bedford va research corporation inc  navref  ppds,1.0,maryland,maryland,1.0,bedford,bedford,1.0,200 springs road,200 springs road,3.0,1730,1730,1.0,7.0
15132,15132,edith nourse rogers memorial veterans hospital  navref  ppds,edith nourse rogers memorial veterans hospital  navref  ppds,1.0,massachusetts,massachusetts,1.0,bedford,bedford,1.0,200 springs road,200 springs road,3.0,1730,1730,1.0,7.0
15136,15136,emerson hospital,emerson hospital,1.0,massachusetts,massachusetts,1.0,concord,concord,1.0,131 old road to 9 acre corsuite 530,131 old road to 9 acre corsuite 530,3.0,1742,1742,1.0,7.0
15138,15138,community clinical research networks,community clinical research networks,1.0,massachusetts,massachusetts,1.0,marlborough,marlborough,1.0,79 mosher lane,79 mosher lane,3.0,1752,1752,1.0,7.0
15140,15140,lahey clinic,lahey clinic,1.0,massachusetts,massachusetts,1.0,burlington,burlington,1.0,41 mall roadtransplantation,41 mall roadtransplantation,3.0,1805,1805,1.0,7.0
15142,15142,lahey clinic,lahey clinic,1.0,massachussets,massachussets,1.0,burlington,burlington,1.0,41 mall road lahey clinichematology,41 mall road lahey clinichematology,3.0,1805,1805,1.0,7.0
15143,15143,lahey hospital and medical center,lahey hospital and medical center,1.0,massachusetts,massachusetts,1.0,burlington,burlington,1.0,41 burlington mall road,41 burlington mall road,3.0,1805,1805,1.0,7.0
15145,15145,lahey outpatient center,lahey outpatient center,1.0,massachusetts,massachusetts,1.0,burlington,burlington,1.0,41 mall road3rd floor,41 mall road3rd floor,3.0,1805,1805,1.0,7.0
15147,15147,pentucket medical associates,pentucket medical associates,1.0,massachusetts,massachusetts,1.0,haverhill,haverhill,1.0,1 park waygastroenterology  merrimack valley endoscopy center,1 park waygastroenterology  merrimack valley endoscopy center,3.0,1830,1830,1.0,7.0
15154,15154,beverly hospital,beverly hospital,1.0,massachusetts,massachusetts,1.0,beverly,beverly,1.0,85 herrick street,85 herrick street,3.0,1915,1915,1.0,7.0
15155,15155,north shore cancer center,north shore cancer center,1.0,massachusetts,massachusetts,1.0,peabody,peabody,1.0,17 centennial drive,17 centennial drive,3.0,1960,1960,1.0,7.0
15158,15158,bluetheory clinical trials,bluetheory clinical trials,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,137a lewis wharf,137a lewis wharf,3.0,2110,2110,1.0,7.0
15162,15162,tufts medical center,tufts medical center,1.0,ma,ma,1.0,boston,boston,1.0,800 washington streetmailbox 245,800 washington streetmailbox 245,3.0,2111,2111,1.0,7.0
15163,15163,tufts medical center,tufts medical center,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,800 washington streetproger building,800 washington streetproger building,3.0,2111,2111,1.0,7.0
15175,15175,tufts university  boston  ppds,tufts university  boston  ppds,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,136 harrison avenue,136 harrison avenue,3.0,2111,2111,1.0,7.0
15176,15176,floating hospital for children,floating hospital for children,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,800 washington streettuftsnew england medical center,800 washington streettuftsnew england medical center,3.0,21111552,21111552,1.0,7.0
15177,15177,massachusetts general hospital,massachusetts general hospital,1.0,boston,boston,1.0,massachusetts,massachusetts,1.0,165 cambridge st 9th floor,165 cambridge st 9th floor,3.0,2114,2114,1.0,7.0
15178,15178,massachusetts general hospital,massachusetts general hospital,1.0,boston,boston,1.0,massachusetts,massachusetts,1.0,55 fruit st suite 1201warren building,55 fruit st suite 1201warren building,3.0,2114,2114,1.0,7.0
15180,15180,massachusetts general hospital,massachusetts general hospital,1.0,boston,boston,1.0,massachusetts,massachusetts,1.0,55 fruit streetbul 416,55 fruit streetbul 416,3.0,2114,2114,1.0,7.0
15181,15181,massachusetts general hospital,massachusetts general hospital,1.0,ma,ma,1.0,boston,boston,1.0,55 fruit street,55 fruit street,3.0,2114,2114,1.0,7.0
15182,15182,massachusetts general hospital,massachusetts general hospital,1.0,ma,ma,1.0,boston,boston,1.0,55 fruit streetlawrence house 226,55 fruit streetlawrence house 226,3.0,2114,2114,1.0,7.0
15224,15224,massgeneral hospital for children,massgeneral hospital for children,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,175 cambridge st 5th floor5th floor,175 cambridge st 5th floor5th floor,3.0,2114,2114,1.0,7.0
15230,15230,massgeneral hospital for children,massgeneral hospital for children,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,175 cambridge streetcrpz 5560,175 cambridge streetcrpz 5560,3.0,2114,2114,1.0,7.0
15238,15238,st louis clinical trials llc,st louis clinical trials llc,1.0,boston,boston,1.0,ma,ma,1.0,55 fruit streetwhite building floor 12,55 fruit streetwhite building floor 12,3.0,2114,2114,1.0,7.0
15246,15246,massachusetts general hospital,massachusetts general hospital,1.0,boston,boston,1.0,massachusetts,massachusetts,1.0,165 cambridge street suite 302,165 cambridge street suite 302,3.0,21142752,21142752,1.0,7.0
15247,15247,boston childrens hospital,boston childrens hospital,1.0,boston,boston,1.0,massachusetts,massachusetts,1.0,21 autumn street3rd floor  rm 3302,21 autumn street3rd floor  rm 3302,3.0,2115,2115,1.0,7.0
15249,15249,boston childrens hospital,boston childrens hospital,1.0,boston,boston,1.0,massachusetts,massachusetts,1.0,300 longwood avefegan6th fl,300 longwood avefegan6th fl,3.0,2115,2115,1.0,7.0
15269,15269,boston childrens hospital division of endocrinology,boston childrens hospital division of endocrinology,1.0,boston,boston,1.0,massachusetts,massachusetts,1.0,300 longwoodfarley 4,300 longwoodfarley 4,3.0,2115,2115,1.0,7.0
15273,15273,brigham and womens hospital,brigham and womens hospital,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,75 francis street,75 francis street,3.0,2115,2115,1.0,7.0
15276,15276,brigham and womens hospital,brigham and womens hospital,1.0,massachusetts,massachusetts,1.0,boston,boston,1.0,75 francis streetheart and vascular center,75 francis streetheart and vascular center,3.0,2115,2115,1.0,7.0
15282,15282,brigham and womens hospital,brigham and womens hospital,1.0,massachussets,massachussets,1.0,boston,boston,1.0,75 francis streetallergyimmunologysuite 540 and suite 301,75 francis streetallergyimmunologysuite 540 and suite 301,3.0,2115,2115,1.0,7.0
15293,15293,boston childrens hospital,boston childrens hospital,1.0,boston,boston,1.0,massachusetts,massachusetts,1.0,300 longwood ave farley 4 room 4943,300 longwood ave farley 4 room 4943,3.0,21155724,21155724,1.0,7.0
