SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,Unnamed: 15,CONCAT_ADDRESS
15104,CDM,PPD,SHP647-305,1-XE26TS,,United_States,umass memorial medical center,massachusetts,worcester,1655,,46.0,55 lake avenue north
15114,CDM,PPD,SHP620-302,022,,United_States,umass memorial medical center,massachussets,worcester,1655,,56.0,55 lake ave norths7715
15118,CDM,PPD,MLN0002-3024,1-7JSVWIQ,,United_States,umass memorial medical center,massachusetts,worcester,16550002,,60.0,55 lake ave n
15059,CDM,PPD,SHP621-301,301-118,,United_States,tufts medical center  ppds,massachusetts,boston,211,,1.0,800 washington street
15061,CDM,PRA,Zik-101,44002,1-1GIN0K8,United_States,ponce medical school foundation,pr,ponce,716,,3.0,280 monterrey street
15062,CDM,PPD,C16029,1-1AUNVZP,,United_States,ponce medical school foundation inc,puerto rico,ponce,716,,4.0,280 monterrey streetcaimed center
15063,CDM,PPD,C16029,1-1AUNVZ0,,United_States,fundacion de investigacion de diego fdi clinical research,puerto rico,humacao,792,,5.0,355 calle font marteloryder memorial hospital  nursing home rmhc
15064,CDM,IQVIA,SHP643-403,102,1-4AJMNO1,United_States,rafael h zaragozaurdaz,san juan,puerto rico,918,,6.0,317 ave manuel domenech
15065,CDM,PPD,C16029,1-1AUNVXY,,United_States,hospital auxilio mutuo cancer center,puerto rico,san juan,919,,7.0,avenida ponce de leon 725 edificio nino jesus pda 3712 piso 4internal medicine
15066,CDM,PPD,C16029,1-1AUNVYB,,United_States,san juan va medical center  navref  ppds,puerto rico,san juan,921,,8.0,10 casia street
15067,CDM,PPD,C16029,1-1AUNVXL,,United_States,san juan community oncology group,puerto rico,san juan,9221965,,9.0,735 ponce de león
15068,CDM,PRA,Zik-101,44001,1-1GIN07M,United_States,puerto rico clinical and translational research consortium,pr,san juan,936,,10.0,1st floor university hospitalpo box 365067
15069,CDM,PPD,C16029,1-1AUNVZD,,United_States,pr hematology oncology group,puerto rico,bayamon,961,,11.0,100 paseo san pablosuite 510
15070,CDM,PPD,SHP647-304,1-24D0UH7,,United_States,hampshire gastroenterology associates,massachusetts,florence,1062,,12.0,10 main street
15078,CDM,PPD,SHP607-202,1-15MY454,,United_States,bay state medical associates,massachusetts,springfield,1199,,20.0,759 chestnut street
15079,CDM,PPD,SHP647-303,1-246T7EK,,United_States,baystate medical associates,massachusetts,springfield,1199,,21.0,baystate medical center3300 main street
15089,CDM,PPD,SHP647-304,1-24D0UI9,,United_States,berkshire gastroenterology pc,massachusetts,pittsfield,1201,,31.0,24 charles street
15094,CDM,PPD,C16014,1-E46RV,,United_States,berkshire hematology oncology,massachussets,north adams,1247,,36.0,77 hospital avenue
15096,CDM,PPD,C16014,58147,,United_States,university of massachusetts memorial health care,massachusetts,fitchburg,1420,,38.0,275 nichols roadhealth alliance
15097,CDM,PPD,Pevonedistat-2001,1-D8Y2U0,,United_States,umass memorial medical center,massachusetts,worcester,1605,,39.0,55 lake avenue northdepartment of hematology oncology
15098,CDM,PPD,Pevonedistat-3001,1-16QRYJP,,United_States,university of massachusetts,massachusetts,worcester,1605,,40.0,55 lake avenue north
15099,CDM,PPD,C16014,58047,,United_States,university of massachusetts medical school,massachusetts,worcester,1605,,41.0,281 lincoln street
15100,CDM,PPD,SHP607-202,1-17HMXX9,,United_States,university of massachusetts memorial childrens medical center,massachusetts,worcester,1605,,42.0,119 belmont street
15102,CDM,PPD,NSMM-5001,1-LECJLC,,United_States,reliant medical group,massachusetts,worcester,1608,,44.0,123 summer street
