SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,Unnamed: 15,CONCAT_ADDRESS
15175,CDM,PPD,SHP607-202,1-15MUJQO,,United_States,tufts university  boston  ppds,massachusetts,boston,2111,,117.0,136 harrison avenue
15176,CDM,PPD,SHP607-202,1-15MUJR1,,United_States,floating hospital for children,massachusetts,boston,21111552,,118.0,800 washington streettuftsnew england medical center
15177,CDM,IQVIA,TED-R13-002,0528,1-15SKCZG,United_States,massachusetts general hospital,boston,massachusetts,2114,,119.0,165 cambridge st 9th floor
15119,CDM,PPD,MLN0002-3024,1-DKKUSHI,,United_States,umass memorial medical center,massachusetts,worcester,16550002,,61.0,55 lake ave n
15120,CDM,PPD,SHP647-301,1-203PCDF,,United_States,greater boston gastroenterology pc,massachusetts,framingham,1702,,62.0,475 franklin streetsuite 110
15129,CDM,PPD,SHP647-305,1-1444GKV,,United_States,bedford va research corporation inc  navref  ppds,maryland,bedford,1730,,71.0,200 springs road
15132,CDM,PPD,SHP647-302,1-15MO4TK,,United_States,edith nourse rogers memorial veterans hospital  navref  ppds,massachusetts,bedford,1730,,74.0,200 springs road
15136,CDM,PPD,SHP647-305,1-ZGYDYW,,United_States,emerson hospital,massachusetts,concord,1742,,78.0,131 old road to 9 acre corsuite 530
15138,CDM,PPD,SHP647-301,1-1119K7O,,United_States,community clinical research networks,massachusetts,marlborough,1752,,80.0,79 mosher lane
15140,CDM,PPD,SHP621-301,1-HI0JKA,,United_States,lahey clinic,massachusetts,burlington,1805,,82.0,41 mall roadtransplantation
15142,CDM,PPD,C16014,58103,,United_States,lahey clinic,massachussets,burlington,1805,,84.0,41 mall road lahey clinichematology
15143,CDM,PPD,TAK-788-2001,1-74VZMQW,,United_States,lahey hospital and medical center,massachusetts,burlington,1805,,85.0,41 burlington mall road
15145,CDM,PPD,SHP647-305,1-YJYSX0,,United_States,lahey outpatient center,massachusetts,burlington,1805,,87.0,41 mall road3rd floor
15149,CDM,PPD,SHP647-304,1-24D0UHW,,United_States,pentucket medical associates,massachusetts,haverhill,1830,,91.0,1 park waygastroenterology  merrimack valley endoscopy center
15154,CDM,PPD,SHP607-202,1-15NMR6W,,United_States,beverly hospital,massachusetts,beverly,1915,,96.0,85 herrick street
15155,CDM,PPD,TAK-788-2001,1-74VZMR9,,United_States,north shore cancer center,massachusetts,peabody,1960,,97.0,17 centennial drive
15156,CDM,PPD,SHP647-301,1-ZGYX0E,,United_States,sw gastroenterological associates,massachusetts,norwood,2062,,98.0,886 washington streetsuite 1
15158,CDM,PPD,SHP647-301,1-XFVQYJ,,United_States,bluetheory clinical trials,massachusetts,boston,2110,,100.0,137a lewis wharf
15160,CDM,PPD,SHP621-301,1-HK0J1A,,United_States,floating hospital for children,massachusetts,boston,2111,,102.0,800 washington street
15162,CDM,PRA,C34005,58012,1-1CZ7Z10,United_States,tufts medical center,ma,boston,2111,,104.0,800 washington streetmailbox 245
15163,CDM,ICON,C16007,,62201,United_States,tufts medical center,massachusetts,boston,2111,,105.0,800 washington streetproger building
15165,CDM,PPD,Pevonedistat-2001,1-D901XE,,United_States,tufts medical center  ppds,massachusetts,boston,2111,,107.0,750 washington st
15167,CDM,PPD,Pevonedistat-2001,1-JHTBKE,,United_States,tufts medical center  ppds,massachusetts,boston,2111,,109.0,800 washington streetsouth building 8th floor
