SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM,CONCAT_ADDRESS
104002,United_States_of_America,76123,mesa springs,tx,fort worth,TARRANT,(817) 292-4600,Psychiatric,Proprietary,93416,5560 mesasprings driverive
104003,United_States_of_America,76132,oceans behavioral hospital of fort worth,tx,fort worth,TARRANT,(817) 361-1991,Psychiatric,Proprietary,85068,6200 overtton ridge blvdblvd
104004,United_States_of_America,76132,texas health harris methodist hospital southwest f,tx,fort worth,TARRANT,(817) 433-5000,Acute Care Hospitals,Voluntary non-profit - Private,10841,6100 harriis pkwy
104005,United_States_of_America,76132,usmd hospital  at fort worth lp,tx,fort worth,TARRANT,(817) 433-9100,Acute Care Hospitals,Proprietary,42963,5900 altammesa blvd
104006,United_States_of_America,76177,medical city alliance,tx,fort worth,TARRANT,(817) 639-1100,Acute Care Hospitals,Voluntary non-profit - Private,80539,3101 northh tarrant parkwayparkway
104008,United_States_of_America,76180,medical city north hills,tx,north richland hills,TARRANT,(817) 255-1000,Acute Care Hospitals,Proprietary,47999,4401 boothh calloway roadroad
104009,United_States_of_America,76201,texas health presbyterian hospital denton,tx,denton,DENTON,(940) 898-7000,Acute Care Hospitals,Voluntary non-profit - Private,94405,3000 n i335
104010,United_States_of_America,76201,university behavioral health,tx,denton,DENTON,(940) 320-8100,Psychiatric,Government - State,71771,2026 westuniversity drivey drive
104011,United_States_of_America,76208,mayhill hospital,tx,denton,DENTON,(940) 239-3000,Acute Care Hospitals,Proprietary,49909,2809 southh mayhill roadroad
104013,United_States_of_America,76210,medical city denton,tx,denton,DENTON,(940) 384-3535,Acute Care Hospitals,Proprietary,12607,3535 southh i35 east
104014,United_States_of_America,76227,baylor scott and white emergency hospital aubrey,tx,aubrey,DENTON,(972) 347-2525,Acute Care Hospitals,Proprietary,52234,26791 highhway 380
104015,United_States_of_America,76234,wise regional health system,tx,decatur,WISE,(940) 627-5921,Acute Care Hospitals,Government - Hospital District or Authority,82907,609 medicaal center drivedrive
104016,United_States_of_America,76240,north texas medical center,tx,gainesville,COOKE,(940) 612-8600,Acute Care Hospitals,Government - Hospital District or Authority,40433,1900 hospiital blvd
104017,United_States_of_America,76244,texas health harris methodist hospital alliance,tx,fort worth,TARRANT,(682) 212-2000,Acute Care Hospitals,Voluntary non-profit - Private,15791,10864 texaas health trailtrail
104018,United_States_of_America,76252,muenster memorial hospital,tx,muenster,COOKE,(940) 759-2271,Critical Access Hospitals,Government - Hospital District or Authority,43021,605 n maplle street
104019,United_States_of_America,76255,nocona general hospital,tx,nocona,MONTAGUE,(940) 825-3235,Acute Care Hospitals,Government - Hospital District or Authority,18367,100 park rroad
104020,United_States_of_America,76262,baylor medical center at trophy club,tx,trophy club,DENTON,(817) 837-4600,Acute Care Hospitals,Proprietary,38348,2850  e sttate highway 114ay 114
104021,United_States_of_America,76301,red river hospital,tx,wichita falls,WICHITA,(940) 322-3171,Psychiatric,Proprietary,70093,1505 8th sst
104022,United_States_of_America,76301,united regional health care system,tx,wichita falls,WICHITA,(940) 764-3055,Acute Care Hospitals,Voluntary non-profit - Private,40515,1600 11thstreet
