SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
104002,104002,MESA SPRINGS,MESA SPRINGS,1.0,TX,TX,1.0,FORT WORTH,FORT WORTH,1.0,5560 MESASPRINGS DRIVERIVE,5560 MESASPRINGS DRIVERIVE,3.0,76123,76123,1.0,7.0
104003,104003,OCEANS BEHAVIORAL HOSPITAL OF FORT WORTH,OCEANS BEHAVIORAL HOSPITAL OF FORT WORTH,1.0,TX,TX,1.0,FORT WORTH,FORT WORTH,1.0,6200 OVERTTON RIDGE BLVDBLVD,6200 OVERTTON RIDGE BLVDBLVD,3.0,76132,76132,1.0,7.0
104004,104004,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,1.0,TX,TX,1.0,FORT WORTH,FORT WORTH,1.0,6100 HARRIIS PKWY,6100 HARRIIS PKWY,3.0,76132,76132,1.0,7.0
104005,104005,USMD HOSPITAL  AT FORT WORTH LP,USMD HOSPITAL  AT FORT WORTH LP,1.0,TX,TX,1.0,FORT WORTH,FORT WORTH,1.0,5900 ALTAMMESA BLVD,5900 ALTAMMESA BLVD,3.0,76132,76132,1.0,7.0
104006,104006,MEDICAL CITY ALLIANCE,MEDICAL CITY ALLIANCE,1.0,TX,TX,1.0,FORT WORTH,FORT WORTH,1.0,3101 NORTHH TARRANT PARKWAYPARKWAY,3101 NORTHH TARRANT PARKWAYPARKWAY,3.0,76177,76177,1.0,7.0
104007,104006,WISE HEALTH SYSTEM,MEDICAL CITY ALLIANCE,0.0,TX,TX,1.0,FORT WORTH,FORT WORTH,1.0,3200 NORTHH TARRANT PARKWAYPARKWAY,3101 NORTHH TARRANT PARKWAYPARKWAY,3.0,76177,76177,1.0,6.0
104008,104008,MEDICAL CITY NORTH HILLS,MEDICAL CITY NORTH HILLS,1.0,TX,TX,1.0,NORTH RICHLAND HILLS,NORTH RICHLAND HILLS,1.0,4401 BOOTHH CALLOWAY ROADROAD,4401 BOOTHH CALLOWAY ROADROAD,3.0,76180,76180,1.0,7.0
104009,104009,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,1.0,TX,TX,1.0,DENTON,DENTON,1.0,3000 N I-335,3000 N I-335,3.0,76201,76201,1.0,7.0
104010,104010,UNIVERSITY BEHAVIORAL HEALTH,UNIVERSITY BEHAVIORAL HEALTH,1.0,TX,TX,1.0,DENTON,DENTON,1.0,2026 WESTUNIVERSITY DRIVEY DRIVE,2026 WESTUNIVERSITY DRIVEY DRIVE,3.0,76201,76201,1.0,7.0
104011,104011,MAYHILL HOSPITAL,MAYHILL HOSPITAL,1.0,TX,TX,1.0,DENTON,DENTON,1.0,2809 SOUTHH MAYHILL ROADROAD,2809 SOUTHH MAYHILL ROADROAD,3.0,76208,76208,1.0,7.0
