SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,COUNTRY,NUM_OF_MATCHES_FOUND
13522,13522,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13523,13523,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13524,13524,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13525,13525,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13526,13526,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13527,13527,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13528,13528,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13529,13528,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13530,13528,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13531,13528,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13532,13528,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13533,13528,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13534,13528,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13535,13535,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13536,13535,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13537,13535,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13538,13535,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13539,13535,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13540,13535,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13541,13535,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13542,13542,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13543,13542,1.0,1.0,1.0,0.0,1.0,Turkey,4.0
13544,13544,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13545,13544,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13546,13544,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13547,13544,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13548,13544,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13549,13544,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13550,13550,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13551,13551,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13552,13552,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13553,13553,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13554,13553,1.0,1.0,1.0,0.0,1.0,Turkey,4.0
13555,13555,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13556,13555,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13557,13552,0.0,1.0,1.0,3.0,1.0,Turkey,6.0
13558,13553,1.0,1.0,1.0,0.0,1.0,Turkey,4.0
13559,13559,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13560,13560,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13561,13560,1.0,1.0,1.0,0.0,1.0,Turkey,4.0
13562,13560,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13563,13563,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13564,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13565,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13566,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13567,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13568,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13569,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13570,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13571,13564,1.0,1.0,1.0,0.0,1.0,Turkey,4.0
13572,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13573,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13574,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13575,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13576,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
13577,13564,1.0,1.0,1.0,3.0,1.0,Turkey,7.0
