SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
100002,100002.0,HOSPITAL DR CAYETANO COLL Y TOSTE,HOSPITAL DR CAYETANO COLL Y TOSTE,1.0,PR,PR,1.0,ARECIBO,ARECIBO,1.0,CARRETERA129 KM.1 AVENIDA SANLUIS,CARRETERA129 KM.1 AVENIDA SANLUIS,3.0,613,613,1.0,7.0
100003,100003.0,HOSPITAL METROPOLITANO DE LA MONTANA,HOSPITAL METROPOLITANO DE LA MONTANA,1.0,PR,PR,1.0,BDA NUEVA,BDA NUEVA,1.0,CALLE ISAAC GONZALEZESQUINA LEDESMA,CALLE ISAAC GONZALEZESQUINA LEDESMA,3.0,641,641,1.0,7.0
100004,100004.0,"DOCTORS' CENTER HOSPITAL, INC","DOCTORS' CENTER HOSPITAL, INC",1.0,PR,PR,1.0,MANATI,MANATI,1.0,"MARGINAL CARRETERA NO 2, KM 477","MARGINAL CARRETERA NO 2, KM 477",3.0,674,674,1.0,7.0
100005,100005.0,MANATI MEDICAL CENTER DR OTERO LOPEZ,MANATI MEDICAL CENTER DR OTERO LOPEZ,1.0,PR,PR,1.0,MANATI,MANATI,1.0,CALLE HERNANDEZ CARRION URB ATENAS,CALLE HERNANDEZ CARRION URB ATENAS,3.0,674,674,1.0,7.0
100006,100006.0,HOSPITAL PEREA,HOSPITAL PEREA,1.0,PR,PR,1.0,MAYAGUEZ,MAYAGUEZ,1.0,15 DR BASORA STREET,15 DR BASORA STREET,3.0,681,681,1.0,7.0
100007,100007.0,HOSPITAL DE LA CONCEPCION,HOSPITAL DE LA CONCEPCION,1.0,PR,PR,1.0,SAN GERMAN,SAN GERMAN,1.0,ROAD NUMBER 2 KM 173.4 CAIN ALTO,ROAD NUMBER 2 KM 173.4 CAIN ALTO,3.0,683,683,1.0,7.0
100008,100008.0,HOSPITAL METROPOLITANO DR TITO MATTEI,HOSPITAL METROPOLITANO DR TITO MATTEI,1.0,PR,PR,1.0,YAUCO,YAUCO,1.0,ROAD 128 KM 1.0,ROAD 128 KM 1.0,3.0,698,698,1.0,7.0
100009,100009.0,MENNONITE GENERAL HOSPITAL INC,MENNONITE GENERAL HOSPITAL INC,1.0,PR,PR,1.0,AIBONITO,AIBONITO,1.0,CALLE JOSEC VASQUEZBO. CAONILLAS,CALLE JOSEC VASQUEZBO. CAONILLAS,3.0,705,705,1.0,7.0
100010,100010.0,HIMA SAN PABLO-CAGUAS,HIMA SAN PABLO-CAGUAS,1.0,PR,PR,1.0,CAGUAS,CAGUAS,1.0,AVE LUIS MUNOZ MARIN,AVE LUIS MUNOZ MARIN,3.0,725,725,1.0,7.0
100011,100011.0,HOSPITAL MENONITA CAGUAS INC,HOSPITAL MENONITA CAGUAS INC,1.0,PR,PR,1.0,CAGUAS,CAGUAS,1.0,CARR 172 EXIT 21 URBTURABO GARDENS,CARR 172 EXIT 21 URBTURABO GARDENS,3.0,725,725,1.0,7.0
100012,100012.0,INSPIRA BEHAVIOR CARE CORP,INSPIRA BEHAVIOR CARE CORP,1.0,PR,PR,1.0,PONCE,PONCE,1.0,CALLE GUADALUPE 184(ANTIGUO HOSPITAL SAN LUCAS),CALLE GUADALUPE 184(ANTIGUO HOSPITAL SAN LUCAS),3.0,733,733,1.0,7.0
100013,100013.0,SAN LUKE'S MEMORIAL HOSPITAL INC,SAN LUKE'S MEMORIAL HOSPITAL INC,1.0,PR,PR,1.0,PONCE,PONCE,1.0,TITO CASTRO AVE #917,TITO CASTRO AVE #917,3.0,733,733,1.0,7.0
100014,100014.0,HOSPITAL MENONITA DE CAYEY,HOSPITAL MENONITA DE CAYEY,1.0,PR,PR,1.0,CAYEY,CAYEY,1.0,BO. RINCONSECTOR LAS LOMAS KM.3.1 CARR 14,BO. RINCONSECTOR LAS LOMAS KM.3.1 CARR 14,3.0,737,737,1.0,7.0
100015,100015.0,HIMA-SAN PABLO FAJARDO,HIMA-SAN PABLO FAJARDO,1.0,PR,PR,1.0,FAJARDO,FAJARDO,1.0,GENERAL VALERO AVE#44,GENERAL VALERO AVE#44,3.0,738,738,1.0,7.0
100016,100016.0,FIRST HOSPITAL PANAMERICANO,FIRST HOSPITAL PANAMERICANO,1.0,PR,PR,1.0,CIDRA,CIDRA,1.0,STATE ROAD787 KM 15,STATE ROAD787 KM 15,3.0,739,739,1.0,7.0
100017,100017.0,HOSPITAL SAN CRISTOBAL,HOSPITAL SAN CRISTOBAL,1.0,PR,PR,1.0,COTO LAUREL,COTO LAUREL,1.0,CARR 506 KM 1 0,CARR 506 KM 1 0,3.0,780,780,1.0,7.0
100018,100018.0,HOSPITAL MENONITA GUAYAMA,HOSPITAL MENONITA GUAYAMA,1.0,PR,PR,1.0,GUAYAMA,GUAYAMA,1.0,AVE. PEDROALBIZU CAMPOS URB.LA HACIENDA,AVE. PEDROALBIZU CAMPOS URB.LA HACIENDA,3.0,785,785,1.0,7.0
100019,100019.0,RYDER MEMORIAL HOSPITAL INC,RYDER MEMORIAL HOSPITAL INC,1.0,PR,PR,1.0,HUMACAO,HUMACAO,1.0,355 AVE FONT MARTELO,355 AVE FONT MARTELO,3.0,791,791,1.0,7.0
100020,100020.0,"ROY LESTER SCHNEIDER HOSPITAL,THE","ROY LESTER SCHNEIDER HOSPITAL,THE",1.0,VI,VI,1.0,ST THOMAS,ST THOMAS,1.0,9048 SUGARESTATE,9048 SUGARESTATE,3.0,801,801,1.0,7.0
100021,100021.0,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,1.0,VI,VI,1.0,ST CROIX,ST CROIX,1.0,"#4007 ESTDIAMOND RUBY, CHRISTIANSTED","#4007 ESTDIAMOND RUBY, CHRISTIANSTED",3.0,820,820,1.0,7.0
100022,100022.0,PRESBYTERIAN COMMUNITY HOSP,PRESBYTERIAN COMMUNITY HOSP,1.0,PR,PR,1.0,SAN JUAN,SAN JUAN,1.0,1451 ASHFORD AVENUE,1451 ASHFORD AVENUE,3.0,907,907,1.0,7.0
100023,100023.0,DOCTORS' CENTER HOSPITAL SAN JUAN,DOCTORS' CENTER HOSPITAL SAN JUAN,1.0,PR,PR,1.0,FERNANDEZ JUNCOS,FERNANDEZ JUNCOS,1.0,PDA. 20 C/SAN RAFAEL # 1395,PDA. 20 C/SAN RAFAEL # 1395,3.0,909,909,1.0,7.0
100024,100024.0,HOSPITAL PAVIA SANTURCE,HOSPITAL PAVIA SANTURCE,1.0,PR,PR,1.0,FERNANDEZ JUNCOS,FERNANDEZ JUNCOS,1.0,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,3.0,910,910,1.0,7.0
100025,100025.0,METROPOLITAN HOSPITAL,METROPOLITAN HOSPITAL,1.0,PR,PR,1.0,SAN JUAN,SAN JUAN,1.0,CARRETERA21 1785 URB LAS LOMAS,CARRETERA21 1785 URB LAS LOMAS,3.0,915,915,1.0,7.0
100026,100026.0,AUXILIO MUTUO HOSPITAL,AUXILIO MUTUO HOSPITAL,1.0,PR,PR,1.0,HATO REY,HATO REY,1.0,PONCE DE LEON AVENUESTOP 37 1/2,PONCE DE LEON AVENUESTOP 37 1/2,3.0,918,918,1.0,7.0
100027,100027.0,"HOSPITAL PAVIA HATO REY, INC","HOSPITAL PAVIA HATO REY, INC",1.0,PR,PR,1.0,HATO REY,HATO REY,1.0,AVE PONCEDE LEON 435,AVE PONCEDE LEON 435,3.0,919,919,1.0,7.0
100028,100028.0,HOSPITAL SAN FRANCISCO,HOSPITAL SAN FRANCISCO,1.0,PR,PR,1.0,SAN JUAN,SAN JUAN,1.0,371 DE DIEGO AVE,371 DE DIEGO AVE,3.0,923,923,1.0,7.0
100029,100029.0,SAN JUAN CAPESTRANO HOSPITAL INC,SAN JUAN CAPESTRANO HOSPITAL INC,1.0,PR,PR,1.0,RIO PIEDRAS,RIO PIEDRAS,1.0,CARR 877 KM 1 6 CAMINO LAS LOMAS RR2,CARR 877 KM 1 6 CAMINO LAS LOMAS RR2,3.0,928,928,1.0,7.0
100030,100030.0,HIMA SAN PABLO CUPEY,HIMA SAN PABLO CUPEY,1.0,PR,PR,1.0,SAN JUAN,SAN JUAN,1.0,CARR 844 KM 5 CUPEYBAJO,CARR 844 KM 5 CUPEYBAJO,3.0,928,928,1.0,7.0
100031,100031.0,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,1.0,PR,PR,1.0,SAN JUAN,SAN JUAN,1.0,BO. MONACILLOS CARR22 CENTROMEDICO DE PUERTO RIC,BO. MONACILLOS CARR22 CENTROMEDICO DE PUERTO RIC,3.0,935,935,1.0,7.0
100032,100032.0,CENTRO CARDIOVASCULAR,CENTRO CARDIOVASCULAR,1.0,PR,PR,1.0,RIO PIEDRAS,RIO PIEDRAS,1.0,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM","AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",3.0,936,936,1.0,7.0
100033,100033.0,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,1.0,PR,PR,1.0,BAYAMON,BAYAMON,1.0,LAUREL AVESANTA JUANITA #100,LAUREL AVESANTA JUANITA #100,3.0,956,956,1.0,7.0
100034,100034.0,HOSPITAL HERMANOS MELENDEZ INC,HOSPITAL HERMANOS MELENDEZ INC,1.0,PR,PR,1.0,BAYAMON,BAYAMON,1.0,CARRETERA#2 KM 11 7,CARRETERA#2 KM 11 7,3.0,960,960,1.0,7.0
100035,100035.0,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,1.0,PR,PR,1.0,CAROLINA,CAROLINA,1.0,EDIF JESUST PINEIROAVE FERNANDEZ JUNCOS BO PUEBL,EDIF JESUST PINEIROAVE FERNANDEZ JUNCOS BO PUEBL,3.0,979,979,1.0,7.0
100036,100036.0,"COOLEY DICKINSON HOSPITAL INC,THE","COOLEY DICKINSON HOSPITAL INC,THE",1.0,MA,MA,1.0,NORTHAMPTON,NORTHAMPTON,1.0,30 LOCUSTSTREET,30 LOCUSTSTREET,3.0,1060,1060,1.0,7.0
100037,100037.0,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,1.0,MA,MA,1.0,PALMER,PALMER,1.0,40 WRIGHTSTREET,40 WRIGHTSTREET,3.0,1069,1069,1.0,7.0
100038,100038.0,BAYSTATE NOBLE HOSPITAL,BAYSTATE NOBLE HOSPITAL,1.0,MA,MA,1.0,WESTFIELD,WESTFIELD,1.0,115 WEST SILVER STREET,115 WEST SILVER STREET,3.0,1085,1085,1.0,7.0
100039,100039.0,MERCY MEDICAL CTR,MERCY MEDICAL CTR,1.0,MA,MA,1.0,SPRINGFIELD,SPRINGFIELD,1.0,271 CAREWSTREET,271 CAREWSTREET,3.0,1104,1104,1.0,7.0
100040,100040.0,BERKSHIRE MEDICAL CENTER INC - 1,BERKSHIRE MEDICAL CENTER INC - 1,1.0,MA,MA,1.0,PITTSFIELD,PITTSFIELD,1.0,725 NORTHSTREET,725 NORTHSTREET,3.0,1201,1201,1.0,7.0
100041,100041.0,FAIRVIEW HOSPITAL,FAIRVIEW HOSPITAL,1.0,MA,MA,1.0,GREAT BARRINGTON,GREAT BARRINGTON,1.0,29 LEWIS AVENUE,29 LEWIS AVENUE,3.0,1230,1230,1.0,7.0
100042,100042.0,ATHOL MEMORIAL HOSPITAL,ATHOL MEMORIAL HOSPITAL,1.0,MA,MA,1.0,ATHOL,ATHOL,1.0,2033 MAINSTREET,2033 MAINSTREET,3.0,1331,1331,1.0,7.0
100043,100043.0,HEYWOOD HOSPITAL -,HEYWOOD HOSPITAL -,1.0,MA,MA,1.0,GARDNER,GARDNER,1.0,242 GREENSTREET,242 GREENSTREET,3.0,1440,1440,1.0,7.0
100044,100044.0,HARRINGTON MEMORIAL HOSPITAL-1,HARRINGTON MEMORIAL HOSPITAL-1,1.0,MA,MA,1.0,SOUTHBRIDGE,SOUTHBRIDGE,1.0,100 SOUTHSTREET,100 SOUTHSTREET,3.0,1550,1550,1.0,7.0
100045,100045.0,ST VINCENT HOSPITAL,ST VINCENT HOSPITAL,1.0,MA,MA,1.0,WORCESTER,WORCESTER,1.0,123 SUMMERSTREET,123 SUMMERSTREET,3.0,1608,1608,1.0,7.0
100046,100046.0,METROWEST MEDICAL CENTER,METROWEST MEDICAL CENTER,1.0,MA,MA,1.0,FRAMINGHAM,FRAMINGHAM,1.0,115 LINCOLN STREET,115 LINCOLN STREET,3.0,1701,1701,1.0,7.0
100047,100045.0,WHITTIER PAVILION,ST VINCENT HOSPITAL,0.0,MA,MA,1.0,HAVERHILL,WORCESTER,0.0,76 SUMMERSTREET,123 SUMMERSTREET,3.0,1830,1608,0.0,4.0
100048,100048.0,LAWRENCE GENERAL HOSPITAL,LAWRENCE GENERAL HOSPITAL,1.0,MA,MA,1.0,LAWRENCE,LAWRENCE,1.0,ONE GENERAL STREET,ONE GENERAL STREET,3.0,1842,1842,1.0,7.0
100049,100049.0,WINCHESTER HOSPITAL,WINCHESTER HOSPITAL,1.0,MA,MA,1.0,WINCHESTER,WINCHESTER,1.0,41 HIGHLAND AVENUE,41 HIGHLAND AVENUE,3.0,1890,1890,1.0,7.0
100050,100050.0,BEVERLY HOSPITAL CORPORATION,BEVERLY HOSPITAL CORPORATION,1.0,MA,MA,1.0,BEVERLY,BEVERLY,1.0,85 HERRICKSTREET,85 HERRICKSTREET,3.0,1915,1915,1.0,7.0
100051,100051.0,WESTWOOD PEMBROKE HEALTH SYSTEMS,WESTWOOD PEMBROKE HEALTH SYSTEMS,1.0,MA,MA,1.0,WESTWOOD,WESTWOOD,1.0,45 CLAPBOARDTREE STREET,45 CLAPBOARDTREE STREET,3.0,2090,2090,1.0,7.0
100052,100052.0,TUFTS MEDICAL CENTER,TUFTS MEDICAL CENTER,1.0,MA,MA,1.0,BOSTON,BOSTON,1.0,800 WASHINGTON STREET,800 WASHINGTON STREET,3.0,2111,2111,1.0,7.0
100053,100053.0,MASSACHUSETTS EYE AND EAR INFIRMARY -,MASSACHUSETTS EYE AND EAR INFIRMARY -,1.0,MA,MA,1.0,BOSTON,BOSTON,1.0,243 CHARLES STREET,243 CHARLES STREET,3.0,2114,2114,1.0,7.0
100054,100054.0,"SHRINERS' HOSPITAL FOR CHILDREN - BOSTON, THE","SHRINERS' HOSPITAL FOR CHILDREN - BOSTON, THE",1.0,MA,MA,1.0,BOSTON,BOSTON,1.0,51 BLOSSOMSTREET,51 BLOSSOMSTREET,3.0,2114,2114,1.0,7.0
100055,100055.0,BOSTON MEDICAL CENTER CORPORATION-,BOSTON MEDICAL CENTER CORPORATION-,1.0,MA,MA,1.0,BOSTON,BOSTON,1.0,1 BOSTON MEDICAL CENTER PLACE,1 BOSTON MEDICAL CENTER PLACE,3.0,2118,2118,1.0,7.0
100056,100056.0,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,1.0,MA,MA,1.0,BOSTON,BOSTON,1.0,85 EAST NEWTON STREET,85 EAST NEWTON STREET,3.0,2118,2118,1.0,7.0
100057,100057.0,NEW ENGLAND BAPTIST HOSPITAL,NEW ENGLAND BAPTIST HOSPITAL,1.0,MA,MA,1.0,BOSTON,BOSTON,1.0,125 PARKERHILL AVENUE,125 PARKERHILL AVENUE,3.0,2120,2120,1.0,7.0
100058,100058.0,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1.0,MA,MA,1.0,BOSTON,BOSTON,1.0,1153 CENTRE STREET,1153 CENTRE STREET,3.0,2130,2130,1.0,7.0
